rank	opening_candidate	closing_candidate	score	reliability	ranking_scope	line_probability	page_probability	directionality	ranking_z_score	permutation_p	mean_distance	adjacent_share	page_balance_stddev	AABB	ABAB
1	or	aiin	0.422442	0.950980	line	0.231959	0.597938	0.182356	12.921422	0.00990099	18.818966	0.245690	0.000000	40	39
2	chol	daiin	0.419778	0.951807	line	0.189873	0.731646	0.140287	6.531085	0.00990099	17.415225	0.114187	0.000000	55	36
3	sho	daiin	0.410139	0.862069	line	0.264000	0.808000	0.255736	5.893060	0.00990099	16.287129	0.009901	0.000000	11	18
4	s	aiin	0.409572	0.945946	line	0.217143	0.485714	0.177460	11.764108	0.00990099	16.558824	0.347059	0.000000	17	51
5	qokeedy	chedy	0.404651	0.938650	line	0.143791	0.696078	0.080299	7.164527	0.00990099	20.300469	0.032864	0.000000	40	24
6	r	aiin	0.401849	0.893617	line	0.196429	0.494048	0.176587	7.451246	0.00990099	18.650602	0.301205	0.000000	25	12
7	ol	aiin	0.393427	0.961832	line	0.114901	0.456014	0.031568	5.085809	0.00990099	22.307087	0.055118	0.000000	45	33
8	qokedy	chedy	0.393197	0.932432	line	0.155797	0.800725	0.096273	7.516152	0.00990099	19.542986	0.049774	0.000000	35	35
9	ar	aiin	0.392542	0.952607	line	0.151741	0.592040	0.080313	7.942050	0.00990099	22.521008	0.113445	0.000000	47	48
10	o	aiin	0.389843	0.908257	line	0.151515	0.434343	0.121753	5.083997	0.00990099	22.860465	0.081395	0.000000	20	28
11	qol	chedy	0.387425	0.874214	line	0.208633	0.776978	0.162998	7.024280	0.00990099	18.462963	0.138889	0.000000	21	20
12	qokal	chedy	0.387367	0.907834	line	0.157360	0.629442	0.117678	6.082639	0.00990099	16.838710	0.088710	0.000000	28	25
13	or	ol	0.387211	0.950980	line	0.134021	0.585052	0.038868	5.410353	0.00990099	22.052863	0.044053	0.000000	50	44
14	qokal	dal	0.386844	0.907834	line	0.091371	0.395939	0.078974	5.064247	0.00990099	22.051282	0.064103	0.000000	21	12
15	or	ar	0.385556	0.950980	line	0.115979	0.440722	0.041353	5.275588	0.00990099	21.508772	0.052632	0.000000	37	36
16	qokain	ol	0.383809	0.931741	line	0.146520	0.681319	0.117795	4.825924	0.00990099	22.731183	0.069892	0.000000	31	29
17	otar	ar	0.381183	0.883721	line	0.157895	0.532895	0.118094	6.491782	0.00990099	20.444444	0.148148	0.000000	26	16
18	okedy	chedy	0.379603	0.857143	line	0.166667	0.716667	0.142857	5.372040	0.00990099	21.290698	0.046512	0.000000	18	10
19	saiin	chedy	0.377120	0.863946	line	0.173228	0.511811	0.169260	4.691812	0.00990099	17.184615	0.046154	0.000000	15	12
20	ain	ar	0.375687	0.844961	line	0.155963	0.495413	0.126113	5.488438	0.00990099	20.500000	0.111111	0.000000	19	8
21	o	l	0.375516	0.902913	line	0.176768	0.368687	0.101499	14.050619	0.00990099	14.630137	0.342466	0.000000	12	20
22	okar	ar	0.375364	0.875000	line	0.142857	0.592857	0.110519	5.712829	0.00990099	19.987952	0.144578	0.000000	21	13
23	qokal	shedy	0.374396	0.907834	line	0.137056	0.680203	0.093176	5.089630	0.00990099	18.768657	0.097015	0.000000	23	24
24	qokedy	shedy	0.372700	0.932432	line	0.123188	0.786232	0.026191	5.081351	0.00990099	17.612903	0.041475	0.000000	29	42
25	shey	qokain	0.371904	0.930796	line	0.104089	0.394052	0.049144	5.796531	0.00990099	18.509434	0.141509	0.000000	26	25
26	al	ar	0.371875	0.927798	line	0.140078	0.540856	0.033113	7.330272	0.00990099	22.410072	0.064748	0.000000	36	34
27	qokeedy	qokal	0.370646	0.907834	line	0.065359	0.287582	0.019674	5.001294	0.00990099	23.204545	0.079545	0.000000	23	12
28	sol	shedy	0.368200	0.770115	line	0.194030	0.582090	0.191720	5.389147	0.00990099	17.179487	0.102564	0.000000	9	4
29	ol	or	0.368072	0.950980	line	0.095153	0.470377	-0.038868	5.910475	0.00990099	20.988550	0.026718	0.000000	45	48
