target_a	target_b	control_rank	control_a	control_b	distance	js_similarity	weighted_overlap	jaccard_support_overlap	observations_a	observations_b	reliability
or	s	1	am	qokeedy	1	0.12758550572465088	0.08717130262957898	0.05042016806722689	86	306	1
or	s	1	am	qokeedy	2	0.17982908905814077	0.11658306733546134	0.07462686567164178	86	306	1
or	s	1	am	qokeedy	3	0.20757502203268785	0.15108679130566957	0.08979591836734693	86	306	1
or	s	1	am	qokeedy	4	0.3535874432763272	0.2698738410092718	0.125	86	306	1
or	s	1	am	qokeedy	5	0.22693957446987922	0.15579875360997114	0.09019607843137255	86	306	1
or	s	1	am	qokeedy	6	0.2799327717768294	0.2080863353093175	0.1125	86	306	1
or	s	1	am	qokeedy	7	0.29210761298141397	0.21317829457364337	0.10655737704918032	86	306	1
or	s	1	am	qokeedy	8	0.24959481128974537	0.19721842225262198	0.08835341365461848	86	306	1
or	s	1	am	qokeedy	9	0.2033691507655233	0.14888280893752848	0.07421875	86	306	1
or	s	1	am	qokeedy	10	0.23605029291113344	0.1757865937072504	0.08764940239043825	86	306	1
or	s	1	am	qokeedy	11	0.1905229376051415	0.13292293661650706	0.06746031746031746	86	306	1
or	s	1	am	qokeedy	12	0.2362862078035931	0.17905456756345953	0.09795918367346938	86	306	1
or	s	1	am	qokeedy	13	0.189249877417358	0.13801489588083296	0.07392996108949416	86	306	1
or	s	1	am	qokeedy	14	0.3123562335954444	0.2251861985104119	0.124	86	306	1
or	s	1	am	qokeedy	15	0.24773196994252022	0.18414652682778532	0.08661417322834646	86	306	1
or	s	1	am	qokeedy	16	0.2284528627846646	0.16887064903480772	0.10196078431372549	86	306	1
or	s	1	am	qokeedy	17	0.19212423890586894	0.13436692506459952	0.08171206225680934	86	306	1
or	s	1	am	qokeedy	18	0.20073209652756563	0.12821097431220552	0.08949416342412451	86	306	1
or	s	1	am	qokeedy	19	0.2460962997435332	0.19721842225262196	0.08943089430894309	86	306	1
or	s	1	am	qokeedy	20	0.2504186759063758	0.18847849217206264	0.09523809523809523	86	306	1
or	s	2	am	qokeey	1	0.21045785509212134	0.1543547651618787	0.08032128514056225	86	306	1
or	s	2	am	qokeey	2	0.21446735830229458	0.14417084663322696	0.08695652173913043	86	306	1
or	s	2	am	qokeey	3	0.2048458493429609	0.1492628058975528	0.10080645161290322	86	306	1
or	s	2	am	qokeey	4	0.3180958795643436	0.24623803009575926	0.10861423220973783	86	306	1
or	s	2	am	qokeey	5	0.1970662497001462	0.13109895120839035	0.0842911877394636	86	306	1
or	s	2	am	qokeey	6	0.2670447735662955	0.20010639914880674	0.0996309963099631	86	306	1
or	s	2	am	qokeey	7	0.32533770441614795	0.23970208238334087	0.11740890688259109	86	306	1
or	s	2	am	qokeey	8	0.23699887801848163	0.1768505851953184	0.08518518518518518	86	306	1
or	s	2	am	qokeey	9	0.2441041960903353	0.16560267517859856	0.10317460317460317	86	306	1
or	s	2	am	qokeey	10	0.20295639583226643	0.15906672746618028	0.07662835249042145	86	306	1
or	s	2	am	qokeey	11	0.1765036846255864	0.12494300045599636	0.05639097744360902	86	306	1
or	s	2	am	qokeey	12	0.2539983539050916	0.1957744338045295	0.10483870967741936	86	306	1
or	s	2	am	qokeey	13	0.19980708509880918	0.14417084663322693	0.0749063670411985	86	306	1
or	s	2	am	qokeey	14	0.2706915543014604	0.19030247758017935	0.09885931558935361	86	306	1
or	s	2	am	qokeey	15	0.231365394745648	0.17107463140294873	0.07806691449814127	86	306	1
or	s	2	am	qokeey	16	0.23090442804518752	0.16742666058671526	0.0916030534351145	86	306	1
or	s	2	am	qokeey	17	0.2021426332715014	0.1409028727770178	0.08455882352941177	86	306	1
or	s	2	am	qokeey	18	0.26089665157087116	0.18847849217206258	0.09398496240601503	86	306	1
or	s	2	am	qokeey	19	0.20637138607013172	0.1557987536099711	0.08273381294964029	86	306	1
or	s	2	am	qokeey	20	0.2801362024437235	0.21211430308557522	0.09881422924901186	86	306	1
or	s	3	ar	qotchy	1	0.10724779132474638	0.0646766169154229	0.04498269896193772	402	62	1
or	s	3	ar	qotchy	2	0.17486089967371687	0.10319370887497993	0.04776119402985075	402	62	1
or	s	3	ar	qotchy	3	0.13473008680316645	0.07831808698443267	0.040625	402	62	1
or	s	3	ar	qotchy	4	0.19335632779948153	0.11691542288557216	0.06382978723404255	402	62	1
or	s	3	ar	qotchy	5	0.16565694837887068	0.10568127106403467	0.05405405405405406	402	62	1
or	s	3	ar	qotchy	6	0.16864678467460903	0.10199004975124379	0.04672897196261682	402	62	1
or	s	3	ar	qotchy	7	0.18651974109953517	0.12189054726368162	0.062111801242236024	402	62	1
or	s	3	ar	qotchy	8	0.16133833007437537	0.11186005456588025	0.043076923076923075	402	62	1
or	s	3	ar	qotchy	9	0.11953553134380579	0.07960199004975126	0.038922155688622756	402	62	1
or	s	3	ar	qotchy	10	0.19563794888145525	0.12927298988926336	0.05379746835443038	402	62	1
or	s	3	ar	qotchy	11	0.2180147958445776	0.14179104477611942	0.07371794871794872	402	62	1
or	s	3	ar	qotchy	12	0.18075732128008926	0.11691542288557213	0.04281345565749235	402	62	1
or	s	3	ar	qotchy	13	0.21918670161654097	0.15792007703418393	0.06050955414012739	402	62	1
or	s	3	ar	qotchy	14	0.16940980479685508	0.11442786069651743	0.05521472392638037	402	62	1
or	s	3	ar	qotchy	15	0.1395740659518353	0.09573102230781577	0.04129793510324484	402	62	1
or	s	3	ar	qotchy	16	0.13387412959466727	0.0746268656716418	0.0469208211143695	402	62	1
or	s	3	ar	qotchy	17	0.14563836134010621	0.09203980099502489	0.04504504504504504	402	62	1
or	s	3	ar	qotchy	18	0.16390224379180995	0.09950248756218909	0.060240963855421686	402	62	1
or	s	3	ar	qotchy	19	0.21073157367134843	0.13304445514363664	0.06422018348623854	402	62	1
or	s	3	ar	qotchy	20	0.1262501929456441	0.06965174129353235	0.04833836858006042	402	62	1
chol	daiin	1	aiin	qotchy	1	0.13333052022875846	0.07936507936507936	0.04395604395604396	504	62	1
chol	daiin	1	aiin	qotchy	2	0.19910642851973825	0.11309523809523811	0.0549738219895288	504	62	1
chol	daiin	1	aiin	qotchy	3	0.16909826829858754	0.09549411162314386	0.04825737265415549	504	62	1
chol	daiin	1	aiin	qotchy	4	0.22209649178007462	0.1391449052739375	0.06933333333333333	504	62	1
chol	daiin	1	aiin	qotchy	5	0.14778285177169015	0.08954173067076292	0.041884816753926704	504	62	1
chol	daiin	1	aiin	qotchy	6	0.2112103769121466	0.12499999999999997	0.05945945945945946	504	62	1
chol	daiin	1	aiin	qotchy	7	0.20470671132671747	0.1349206349206349	0.056	504	62	1
chol	daiin	1	aiin	qotchy	8	0.17763771582960308	0.11930363543266767	0.04450261780104712	504	62	1
chol	daiin	1	aiin	qotchy	9	0.15280019855411353	0.08928571428571426	0.05699481865284974	504	62	1
chol	daiin	1	aiin	qotchy	10	0.2220927149632137	0.13914490527393752	0.06077348066298342	504	62	1
chol	daiin	1	aiin	qotchy	11	0.20107712537439615	0.121031746031746	0.05929919137466307	504	62	1
chol	daiin	1	aiin	qotchy	12	0.20212528179315403	0.12327188940092167	0.046153846153846156	504	62	1
chol	daiin	1	aiin	qotchy	13	0.20914537710616532	0.1493215565796211	0.04960835509138381	504	62	1
chol	daiin	1	aiin	qotchy	14	0.14832542893700829	0.10317460317460317	0.042666666666666665	504	62	1
chol	daiin	1	aiin	qotchy	15	0.15246001016855404	0.09152585765488991	0.04580152671755725	504	62	1
chol	daiin	1	aiin	qotchy	16	0.18220448619716767	0.12103174603174602	0.04639175257731959	504	62	1
chol	daiin	1	aiin	qotchy	17	0.17997866921718142	0.10317460317460314	0.04738154613466334	504	62	1
chol	daiin	1	aiin	qotchy	18	0.17712607368984346	0.11111111111111108	0.05675675675675676	504	62	1
chol	daiin	1	aiin	qotchy	19	0.21065816481517496	0.1349206349206349	0.06382978723404255	504	62	1
chol	daiin	1	aiin	qotchy	20	0.2183015094913855	0.13888888888888887	0.059895833333333336	504	62	1
chol	daiin	2	am	qokeedy	1	0.1275855057246511	0.08717130262957895	0.05042016806722689	86	306	1
chol	daiin	2	am	qokeedy	2	0.179829089058141	0.11658306733546134	0.07462686567164178	86	306	1
chol	daiin	2	am	qokeedy	3	0.20757502203268774	0.15108679130566957	0.08979591836734693	86	306	1
chol	daiin	2	am	qokeedy	4	0.3535874432763274	0.26987384100927186	0.125	86	306	1
chol	daiin	2	am	qokeedy	5	0.226939574469879	0.1557987536099711	0.09019607843137255	86	306	1
chol	daiin	2	am	qokeedy	6	0.27993277177682907	0.20808633530931755	0.1125	86	306	1
chol	daiin	2	am	qokeedy	7	0.29210761298141363	0.21317829457364335	0.10655737704918032	86	306	1
chol	daiin	2	am	qokeedy	8	0.24959481128974514	0.19721842225262193	0.08835341365461848	86	306	1
chol	daiin	2	am	qokeedy	9	0.2033691507655233	0.14888280893752848	0.07421875	86	306	1
chol	daiin	2	am	qokeedy	10	0.23605029291113322	0.17578659370725036	0.08764940239043825	86	306	1
chol	daiin	2	am	qokeedy	11	0.19052293760514094	0.1329229366165071	0.06746031746031746	86	306	1
chol	daiin	2	am	qokeedy	12	0.2362862078035941	0.1790545675634595	0.09795918367346938	86	306	1
chol	daiin	2	am	qokeedy	13	0.18924987741735755	0.138014895880833	0.07392996108949416	86	306	1
chol	daiin	2	am	qokeedy	14	0.3123562335954442	0.2251861985104118	0.124	86	306	1
chol	daiin	2	am	qokeedy	15	0.2477319699425199	0.18414652682778532	0.08661417322834646	86	306	1
chol	daiin	2	am	qokeedy	16	0.2284528627846646	0.1688706490348077	0.10196078431372549	86	306	1
chol	daiin	2	am	qokeedy	17	0.19212423890586872	0.1343669250645995	0.08171206225680934	86	306	1
chol	daiin	2	am	qokeedy	18	0.2007320965275664	0.12821097431220552	0.08949416342412451	86	306	1
chol	daiin	2	am	qokeedy	19	0.2460962997435323	0.19721842225262196	0.08943089430894309	86	306	1
chol	daiin	2	am	qokeedy	20	0.2504186759063758	0.18847849217206264	0.09523809523809523	86	306	1
chol	daiin	3	aiin	sor	1	0.18909692173059822	0.11286181139122314	0.05475504322766571	504	51	1
chol	daiin	3	aiin	sor	2	0.22086656047159925	0.15032679738562088	0.052770448548812667	504	51	1
chol	daiin	3	aiin	sor	3	0.20341570449432467	0.12476657329598503	0.06301369863013699	504	51	1
chol	daiin	3	aiin	sor	4	0.251984288162575	0.16246498599439776	0.06486486486486487	504	51	1
chol	daiin	3	aiin	sor	5	0.2193550307687413	0.1369047619047619	0.06027397260273973	504	51	1
chol	daiin	3	aiin	sor	6	0.2628782509888441	0.17460317460317457	0.06060606060606061	504	51	1
chol	daiin	3	aiin	sor	7	0.261546993879865	0.16421568627450972	0.07799442896935933	504	51	1
chol	daiin	3	aiin	sor	8	0.22026457155383017	0.15429505135387483	0.04904632152588556	504	51	1
chol	daiin	3	aiin	sor	9	0.2184972008071534	0.1386554621848739	0.06702412868632708	504	51	1
chol	daiin	3	aiin	sor	10	0.18842008959769208	0.1349206349206349	0.03825136612021858	504	51	1
chol	daiin	3	aiin	sor	11	0.1992155446982048	0.11904761904761903	0.06077348066298342	504	51	1
chol	daiin	3	aiin	sor	12	0.266572389433822	0.1679505135387488	0.0748663101604278	504	51	1
chol	daiin	3	aiin	sor	13	0.2796910482631748	0.17238562091503268	0.07967032967032966	504	51	1
chol	daiin	3	aiin	sor	14	0.13373009218381415	0.07913165266106444	0.04120879120879121	504	51	1
chol	daiin	3	aiin	sor	15	0.14032784044776392	0.08905228758169931	0.038860103626943004	504	51	1
chol	daiin	3	aiin	sor	16	0.20763832296874407	0.13270308123249297	0.047493403693931395	504	51	1
chol	daiin	3	aiin	sor	17	0.2132849650700378	0.13095238095238093	0.05102040816326531	504	51	1
chol	daiin	3	aiin	sor	18	0.18726498416415738	0.11484593837535015	0.05234159779614325	504	51	1
chol	daiin	3	aiin	sor	19	0.14475948305306907	0.09302054154995329	0.042328042328042326	504	51	1
chol	daiin	3	aiin	sor	20	0.2022219784951541	0.13643790849673204	0.05235602094240838	504	51	1
r	s	1	am	qokeedy	1	0.1275855057246511	0.08717130262957898	0.05042016806722689	86	306	1
r	s	1	am	qokeedy	2	0.17982908905814043	0.11658306733546135	0.07462686567164178	86	306	1
r	s	1	am	qokeedy	3	0.20757502203268818	0.15108679130566954	0.08979591836734693	86	306	1
r	s	1	am	qokeedy	4	0.3535874432763275	0.2698738410092718	0.125	86	306	1
r	s	1	am	qokeedy	5	0.2269395744698781	0.1557987536099711	0.09019607843137255	86	306	1
r	s	1	am	qokeedy	6	0.2799327717768293	0.20808633530931747	0.1125	86	306	1
r	s	1	am	qokeedy	7	0.29210761298141374	0.2131782945736434	0.10655737704918032	86	306	1
r	s	1	am	qokeedy	8	0.24959481128974548	0.19721842225262193	0.08835341365461848	86	306	1
r	s	1	am	qokeedy	9	0.20336915076552342	0.14888280893752848	0.07421875	86	306	1
r	s	1	am	qokeedy	10	0.23605029291113322	0.1757865937072503	0.08764940239043825	86	306	1
r	s	1	am	qokeedy	11	0.19052293760514083	0.13292293661650711	0.06746031746031746	86	306	1
r	s	1	am	qokeedy	12	0.236286207803594	0.17905456756345947	0.09795918367346938	86	306	1
r	s	1	am	qokeedy	13	0.18924987741735788	0.13801489588083293	0.07392996108949416	86	306	1
r	s	1	am	qokeedy	14	0.3123562335954442	0.22518619851041188	0.124	86	306	1
r	s	1	am	qokeedy	15	0.24773196994252045	0.18414652682778535	0.08661417322834646	86	306	1
r	s	1	am	qokeedy	16	0.2284528627846646	0.16887064903480767	0.10196078431372549	86	306	1
r	s	1	am	qokeedy	17	0.1921242389058696	0.13436692506459946	0.08171206225680934	86	306	1
r	s	1	am	qokeedy	18	0.20073209652756618	0.12821097431220552	0.08949416342412451	86	306	1
r	s	1	am	qokeedy	19	0.24609629974353275	0.19721842225262193	0.08943089430894309	86	306	1
r	s	1	am	qokeedy	20	0.25041867590637557	0.1884784921720626	0.09523809523809523	86	306	1
r	s	2	am	qokeey	1	0.21045785509212145	0.1543547651618787	0.08032128514056225	86	306	1
r	s	2	am	qokeey	2	0.21446735830229535	0.14417084663322696	0.08695652173913043	86	306	1
r	s	2	am	qokeey	3	0.20484584934296057	0.1492628058975528	0.10080645161290322	86	306	1
r	s	2	am	qokeey	4	0.3180958795643436	0.2462380300957592	0.10861423220973783	86	306	1
r	s	2	am	qokeey	5	0.19706624970014608	0.13109895120839035	0.0842911877394636	86	306	1
r	s	2	am	qokeey	6	0.2670447735662953	0.20010639914880674	0.0996309963099631	86	306	1
