source_id	authors	year	title	publication	DOI	URL	source_type	peer_reviewed	primary_or_secondary	corpus/transcription	code_available	data_available	reproducible	main_hypothesis	main_result	claimed_interpretation	full_text_status
CURRIER1976	Currier, Prescott H.	1976	Some important new statistical findings	New Research on the Voynich Manuscript: Proceedings of a Seminar		http://www.voynich.nu/extra/curr_main.html	conference paper	UNKNOWN	PRIMARY	Currier transcription	NO	YES	NO	none stated	Two statistically distinct textual populations called A and B	Statistical clustering may reflect two languages or systems	FULL_TEXT_UNAVAILABLE
FRIEDMAN1959	Friedman, William F.; Friedman, Elizebeth S.	1959	Voynich study-group materials and cryptanalytic correspondence	George C. Marshall Foundation collections		https://www.marshallfoundation.org/	archival cryptanalytic report	NO	PRIMARY	early study-group transcriptions	NO	NO	NO	cipher investigation	No published validated decipherment in the consulted archival descriptions	No evidential conclusion used here	FULL_TEXT_UNAVAILABLE
LANDINI2001	Landini, Gabriel	2001	Evidence of linguistic structure in the Voynich manuscript using spectral analysis	Cryptologia 25(4):275-295	10.1080/0161-110191889932	https://doi.org/10.1080/0161-110191889932	journal article	YES	PRIMARY	EVA-based transcription	NO	UNKNOWN	NO	H_L	Reports spectral regularities interpreted as linguistic structure	Language-like structure is argued, but cipher/generator controls were not the central comparison	FULL_TEXT_UNAVAILABLE
STOLFI2007	Stolfi, Jorge	2007	Voynich manuscript: statistical properties of the Voynich text	UNICAMP technical resource		http://www.ic.unicamp.br/~stolfi/voynich/	technical report/data resource	NO	PRIMARY	interlinear/EVA-family transcription	YES	YES	PARTIAL	descriptive	Publishes token, glyph, positional, and vocabulary statistics	Descriptive resource; it does not establish H_L, H_C, or H_G	FULL_TEXT_AVAILABLE
REDDY_KNIGHT2011	Reddy, Sravana; Knight, Kevin	2011	What We Know About The Voynich Manuscript	Proceedings of the 5th ACL-HLT Workshop on Language Technology for Cultural Heritage, Social Sciences, and Humanities		https://aclanthology.org/W11-1511/	conference paper	YES	PRIMARY	EVA/standard digital transcription	YES	YES	PARTIAL	H_L/H_C	Multiple standard linguistic tests are compatible with language and several cipher models	Compatibility tests do not identify a language or prove a ciphertext	FULL_TEXT_AVAILABLE
MONTEMURRO_ZANETTE2013	Montemurro, Marcelo A.; Zanette, Damián H.	2013	Keywords and Co-Occurrence Patterns in the Voynich Manuscript: An Information-Theoretic Analysis	PLOS ONE 8(6):e66344	10.1371/journal.pone.0066344	https://doi.org/10.1371/journal.pone.0066344	journal article	YES	PRIMARY	EVA transcription	YES	YES	PARTIAL	H_L/H_C	Word co-occurrence and extracted keywords are non-random and section-associated	Authors interpret this as evidence for semantic content; generator controls are absent	FULL_TEXT_AVAILABLE
SCHINNER2007	Schinner, Andreas	2007	The Voynich Manuscript: Evidence of the Hoax Hypothesis	Cryptologia 31(2):95-107	10.1080/01611190601133539	https://doi.org/10.1080/01611190601133539	journal article	YES	PRIMARY	standard Voynich transcription	NO	UNKNOWN	NO	H_G	Reports unusual repetition, line-position, and distributional features	Features are argued to favour fabricated text; a generator is not by itself a no-message proof	FULL_TEXT_UNAVAILABLE
TIMM_SCHINNER2019	Timm, Torsten; Schinner, Andreas	2019	A possible generating algorithm of the Voynich manuscript	Cryptologia	10.1080/01611194.2019.1596999	https://doi.org/10.1080/01611194.2019.1596999	journal article	YES	PRIMARY	EVA-derived text	YES	YES	PARTIAL	H_G	Self-citation/copy-and-modify generation reproduces selected frequency and similarity properties	Selected language-like properties are not specific to a message	FULL_TEXT_AVAILABLE
BOWERN_LINDEMANN2021	Bowern, Claire L.; Lindemann, Luke	2021	The Linguistics of the Voynich Manuscript	Annual Review of Linguistics 7:285-308	10.1146/annurev-linguistics-011619-030613	https://doi.org/10.1146/annurev-linguistics-011619-030613	review article	YES	SECONDARY	multiple published transcriptions	NO	YES	NO	H_L review	Reviews linguistic arguments and their limits	Secondary synthesis; not entered as primary evidence	FULL_TEXT_AVAILABLE
LINDEMANN_BOWERN2021	Lindemann, Luke; Bowern, Claire	2021	Character Entropy in Modern and Historical Texts: Comparison Metrics for an Undeciphered Manuscript	arXiv:2010.14697	10.48550/arXiv.2010.14697	https://arxiv.org/abs/2010.14697	preprint	NO	PRIMARY	EVA/Currier-derived representations	YES	YES	PARTIAL	H_L/H_C/H_G comparison	Voynich conditional character entropy is atypical relative to their comparison corpora	Representation and comparator choice constrain any class-level conclusion	FULL_TEXT_AVAILABLE
