Corpus	Null	Order	EntropyBits
Voynich	GLYPH_SHUFFLE	1	3.999012292
Voynich	GLYPH_SHUFFLE	2	3.907383795
Voynich	GLYPH_SHUFFLE	3	3.315940119
Voynich	GLYPH_SHUFFLE	4	1.662749646
Voynich	WITHIN_TOKEN_SHUFFLE	1	3.836425714
Voynich	WITHIN_TOKEN_SHUFFLE	2	3.667548674
Voynich	WITHIN_TOKEN_SHUFFLE	3	3.173471795
Voynich	WITHIN_TOKEN_SHUFFLE	4	1.923840385
Voynich	TOKEN_SHUFFLE	1	2.852899762
Voynich	TOKEN_SHUFFLE	2	2.667482005
Voynich	TOKEN_SHUFFLE	3	2.489309287
Voynich	TOKEN_SHUFFLE	4	2.105773002
Voynich	WITHIN_LINE_TOKEN_SHUFFLE	1	2.845285163
Voynich	WITHIN_LINE_TOKEN_SHUFFLE	2	2.652813650
Voynich	WITHIN_LINE_TOKEN_SHUFFLE	3	2.464869358
Voynich	WITHIN_LINE_TOKEN_SHUFFLE	4	2.074703950
