window_size	method	k	silhouette	within_cluster_dispersion	between_cluster_distance	cluster_sizes	transition_count	segment_fragmentation
50	hierarchical	2	0.05723060237952131	0.8922464883053944	0.9424239942171992	8715,18	2	1.5
50	hierarchical	3	0.03334706762522667	0.8919311664926934	0.9328889190095716	8685,18,30	10	3.6666666666666665
50	hierarchical	4	0.027238979829549814	0.891626094404545	0.9292206437368172	8666,19,18,30	14	3.75
50	hierarchical	5	0.02379824810029831	0.8913492196113771	0.9265909546587171	8637,19,29,18,30	26	5.4
50	hierarchical	6	0.022031248433495493	0.8910445160880411	0.925465400150764	8616,19,21,29,18,30	32	5.5
50	hierarchical	7	0.020138119268535183	0.8907458266480094	0.9245443768247901	8579,19,21,37,29,18,30	52	7.571428571428571
50	hierarchical	8	0.0186388061764718	0.8905213195900704	0.9228217431406535	8554,19,25,21,37,29,18,30	64	8.125
50	hierarchical	9	0.019979240168513185	0.8901818914098532	0.9228358568176137	8532,19,25,21,37,29,18,30,22	72	8.11111111111111
50	hierarchical	10	0.019341720504859005	0.8900082116496815	0.9210777439147207	8488,19,25,21,37,29,18,30,44,22	100	10.1
50	hierarchical	11	0.021949599466055486	0.8897064572173491	0.9208282784659673	8461,18,25,21,29,37,29,18,30,43,22	106	9.727272727272727
50	hierarchical	12	0.026158159768294022	0.889297039980785	0.9214804257990509	8435,18,25,21,29,37,29,18,30,44,22,25	114	9.583333333333334
50	hierarchical	13	0.029204742523134618	0.8889660428026481	0.9213804222949452	8401,18,25,21,29,37,34,29,18,30,44,22,25	128	9.923076923076923
50	hierarchical	14	0.03163267433020896	0.8887536416805546	0.9204367710192445	8370,18,25,21,32,29,37,35,29,18,30,43,21,25	150	10.785714285714286
50	hierarchical	15	0.03503786519409066	0.8883972066002522	0.9205256034866293	8337,18,25,21,33,29,37,34,28,18,30,43,34,21,25	171	11.466666666666667
100	hierarchical	2	0.06911756274511296	0.8221098877755885	0.879500862333173	4345,17	2	1.5
100	hierarchical	3	0.04300381748616388	0.8217536202968388	0.8683796322970495	4328,17,17	4	1.6666666666666667
100	hierarchical	4	0.02704387207434248	0.8215498448766219	0.8595391674799833	4310,17,17,18	6	1.75
100	hierarchical	5	0.026808210454222506	0.8211796842089414	0.8590681081497502	4293,17,17,17,18	8	1.8
100	hierarchical	6	0.029956987857890086	0.8205632975730099	0.8634038549012144	4275,17,17,17,18,18	10	1.8333333333333333
100	hierarchical	7	0.02900954572583994	0.8202638496521424	0.8611094498162987	4256,17,19,17,17,18,18	14	2.142857142857143
100	hierarchical	8	0.03206946858912609	0.8197772196246065	0.8619353101067557	4238,17,19,18,17,17,18,18	18	2.375
100	hierarchical	9	0.03220473006711273	0.8195289068683779	0.8596710577574161	4220,17,19,18,18,17,17,18,18	22	2.5555555555555554
100	hierarchical	10	0.035088272811044666	0.8191964058261215	0.8587400495476849	4201,17,19,18,18,17,17,18,19,18	25	2.6
100	hierarchical	11	0.03606940217895323	0.8189309027764726	0.8573281292131627	4183,17,19,18,18,17,17,18,19,18,18	27	2.5454545454545454
100	hierarchical	12	0.039824090407412374	0.8185854094708948	0.8568037422733136	4165,17,19,18,18,18,17,17,18,19,18,18	29	2.5
