position	support_50	support_100	support_200	support_500	support_1000	support_count	support_fraction	mean_position	mean_jump_strength	max_jump_strength	position_uncertainty
6304	1	1	1	1	1	5	1	6304	0.0833484945794165	0.09999999999999999	16
2600	1	1	1	1	1	5	1	2600	0.07905889924772581	0.09999999999999999	0
17260	1	1	1	1	0	4	0.8	17260	0.09215545734348096	0.09999999999999999	20
10261	1	1	1	1	0	4	0.8	10261.25	0.09210113658193338	0.10000000000000002	11.25
20844	1	1	1	1	0	4	0.8	20843.75	0.09125174685148547	0.09999999999999999	16.25
17659	1	1	1	1	0	4	0.8	17658.75	0.0901506640093157	0.09999999999999999	21.25
23566	1	1	1	1	0	4	0.8	23566.25	0.08999919776986473	0.09999999999999999	16.25
17151	1	1	1	1	0	4	0.8	17151.25	0.08994217601247313	0.09999999999999999	11.25
913	1	1	1	0	1	4	0.8	912.5	0.08989002483393961	0.09999999999999999	17.5
18901	1	1	1	1	0	4	0.8	18901.25	0.08966561245759655	0.10000000000000002	21.25
23293	1	1	1	1	0	4	0.8	23292.5	0.08962342420271042	0.09999999999999999	12.5
10694	1	1	1	1	0	4	0.8	10693.75	0.08955894071757863	0.09999999999999999	18.75
28186	1	1	1	1	0	4	0.8	28186.25	0.08936993844120762	0.09999999999999999	13.75
18510	1	1	1	1	0	4	0.8	18510	0.08857909580950975	0.10000000000000002	20
15306	1	1	1	1	0	4	0.8	15306.25	0.08850937983030349	0.10000000000000002	8.75
18000	1	1	1	0	1	4	0.8	18000	0.0884447761849902	0.09999999999999999	20
23010	1	1	1	0	1	4	0.8	23010	0.08804292332404151	0.09999999999999999	10
6536	1	1	1	1	0	4	0.8	6536.25	0.08738680767913293	0.09999999999999999	16.25
2711	1	1	1	1	0	4	0.8	2711.25	0.0872092986232996	0.09999999999999999	11.25
29601	1	1	1	1	0	4	0.8	29601.25	0.08707120837914818	0.09999999999999999	3.75
2843	1	1	1	1	0	4	0.8	2842.5	0.08632754075278207	0.09999999999999999	7.5
29338	1	1	1	1	0	4	0.8	29337.5	0.08623164683632699	0.09999999999999999	12.5
23505	1	1	1	0	1	4	0.8	23505	0.08609024333825226	0.09999999999999999	15
25839	1	1	1	1	0	4	0.8	25838.75	0.08457082824752182	0.09999999999999999	11.25
22748	1	1	1	1	0	4	0.8	22747.5	0.08353903760500937	0.09999999999999999	17.5
20611	1	1	1	0	1	4	0.8	20611.25	0.08266753624057543	0.09999999999999999	18.75
23796	1	1	1	0	1	4	0.8	23796.25	0.08243207514187488	0.09999999999999999	6.25
27994	1	1	0	1	1	4	0.8	27993.75	0.07864727656811711	0.09999999999999999	13.75
24198	0	1	1	1	1	4	0.8	24197.5	0.07601272856643669	0.09245112497836533	7.5
23720	1	1	1	0	0	3	0.6	23720	0.09751122952524305	0.09999999999999999	0
2798	1	1	1	0	0	3	0.6	2798.3333333333335	0.09746657716792827	0.10000000000000002	3.333333333333485
4072	1	1	1	0	0	3	0.6	4071.6666666666665	0.09654638285291847	0.10000000000000002	18.333333333333485
17315	1	1	1	0	0	3	0.6	17315	0.09629717590238318	0.09999999999999999	20
29400	1	1	1	0	0	3	0.6	29400	0.09627300028149009	0.09999999999999999	20
33523	1	1	1	0	0	3	0.6	33523.333333333336	0.09600490955897971	0.09999999999999999	23.33333333333576
37248	1	1	1	0	0	3	0.6	37248.333333333336	0.09596511988199312	0.09999999999999999	11.666666666664241
23245	1	1	1	0	0	3	0.6	23245	0.09596225647012042	0.09999999999999999	15
6430	1	1	1	0	0	3	0.6	6430	0.09588979839043009	0.09999999999999999	20
33443	1	1	1	0	0	3	0.6	33443.333333333336	0.09585485962413577	0.09999999999999999	6.666666666664241
30065	1	1	1	0	0	3	0.6	30065	0.09583065178618133	0.09999999999999999	15
11917	1	1	1	0	0	3	0.6	11916.666666666666	0.09575375780033049	0.09999999999999999	6.66666666666606
11862	1	1	1	0	0	3	0.6	11861.666666666666	0.09568540475845466	0.09999999999999999	3.3333333333339397
1183	1	1	1	0	0	3	0.6	1183.3333333333333	0.09568437069632983	0.09999999999999999	16.666666666666742
19827	1	1	0	1	0	3	0.6	19826.666666666668	0.09561046507723082	0.10000000000000002	23.33333333333212
10215	1	1	1	0	0	3	0.6	10215	0.0954965065359821	0.09999999999999999	5
21040	1	1	1	0	0	3	0.6	21040	0.09542820454134357	0.10000000000000002	0
24927	1	1	1	0	0	3	0.6	24926.666666666668	0.09526395143108549	0.09999999999999999	13.33333333333212
16510	1	1	1	0	0	3	0.6	16510	0.09524269816296498	0.09999999999999999	20
18247	1	1	1	0	0	3	0.6	18246.666666666668	0.09523492301064637	0.10000000000000002	13.33333333333212
18203	1	1	1	0	0	3	0.6	18203.333333333332	0.09519770350276013	0.09999999999999999	6.666666666667879
37610	1	1	1	0	0	3	0.6	37610	0.09518854552860918	0.09999999999999999	20
29092	1	1	1	0	0	3	0.6	29091.666666666668	0.0951256970190728	0.09999999999999999	16.66666666666788
11970	1	1	1	0	0	3	0.6	11970	0.09505484229403464	0.09999999999999999	20
20495	1	1	1	0	0	3	0.6	20495	0.09504496825878908	0.09999999999999999	5
5190	1	1	1	0	0	3	0.6	5190	0.09504240038006428	0.09999999999999999	10
18655	1	1	1	0	0	3	0.6	18655	0.09502936912661328	0.09999999999999999	20
28813	1	1	1	0	0	3	0.6	28813.333333333332	0.09500844713663006	0.09999999999999999	13.33333333333212
31885	1	1	1	0	0	3	0.6	31885	0.0949630655790133	0.09999999999999999	5
4813	1	1	1	0	0	3	0.6	4813.333333333333	0.09494036183296412	0.09999999999999999	26.66666666666697
29172	1	1	1	0	0	3	0.6	29171.666666666668	0.09482856872944706	0.09999999999999999	18.33333333333212
8990	1	1	1	0	0	3	0.6	8990	0.09479818600304599	0.09999999999999999	20
3977	1	1	1	0	0	3	0.6	3976.6666666666665	0.0947888078062149	0.09999999999999999	6.666666666666515
26395	1	1	1	0	0	3	0.6	26395	0.09476925779756103	0.09999999999999999	20
2872	1	1	1	0	0	3	0.6	2871.6666666666665	0.09457753307284303	0.10000000000000002	8.333333333333485
27175	1	1	1	0	0	3	0.6	27175	0.0944937500309533	0.09999999999999999	15
23835	1	1	1	0	0	3	0.6	23835	0.09433834373377399	0.10000000000000003	10
2932	1	1	1	0	0	3	0.6	2931.6666666666665	0.09433834373377399	0.09999999999999999	18.333333333333485
26685	1	1	1	0	0	3	0.6	26685	0.09420817807684982	0.09999999999999999	15
9670	1	1	1	0	0	3	0.6	9670	0.09416307236118783	0.09999999999999999	10
14310	1	1	1	0	0	3	0.6	14310	0.09415824534179487	0.09999999999999999	20
28148	1	1	1	0	0	3	0.6	28148.333333333332	0.09405381007519396	0.09999999999999999	8.33333333333212
18142	1	1	1	0	0	3	0.6	18141.666666666668	0.09388736762501083	0.10000000000000002	8.33333333333212
38607	1	1	1	0	0	3	0.6	38606.666666666664	0.09387096101698478	0.09999999999999999	6.666666666664241
12163	1	1	1	0	0	3	0.6	12163.333333333334	0.09385165631575129	0.09999999999999999	16.66666666666606
30467	1	1	1	0	0	3	0.6	30466.666666666668	0.09380978358203043	0.09999999999999999	16.66666666666788
