source	target	sign	permutations	empirical_p	fdr_q	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000000	x000069	depleted	1000	0.8361638362	1	1	0.03443457743	EXPECTED_FROM_NULL
x000000	x000108	preferred	1000	0.6053946054	1	1	0.04148438095	EXPECTED_FROM_NULL
x000000	x000127	preferred	1000	1	1	1	0.03168963529	EXPECTED_FROM_NULL
x000000	x000128	preferred	1000	0.1518481518	0.4098789693	0.5	0.03388744465	EXPECTED_FROM_NULL
x000000	x000129	preferred	1000	0.2077922078	0.5235583529	1	0.0314145026	EXPECTED_FROM_NULL
x000000	x000175	preferred	1000	0.2997002997	0.7201098332	1	0.03025445007	EXPECTED_FROM_NULL
x000000	x000176	preferred	1000	0.03396603397	0.2161674532	0.3333333333	0.02864182968	EXPECTED_FROM_NULL
x000000	x000220	preferred	1000	0.07392607393	0.288380048	1	0.02616198061	EXPECTED_FROM_NULL
x000000	x000241	preferred	1000	0.1288711289	0.3741951264	0.5	0.02485493694	EXPECTED_FROM_NULL
x000000	x000243	preferred	1000	0.07792207792	0.2938747077	0.3333333333	0.02517294434	EXPECTED_FROM_NULL
x000000	x000245	preferred	1000	0.1748251748	0.4552546219	1	0.02739181576	EXPECTED_FROM_NULL
x000000	x000246	preferred	1000	1	1	0	0.02791530935	EXPECTED_FROM_NULL
x000000	x000250	preferred	1000	0.02997002997	0.2053399037	0.3333333333	0.026601724	EXPECTED_FROM_NULL
x000000	x000251	preferred	1000	0.02197802198	0.1843781219	0.3333333333	0.02512209053	EXPECTED_FROM_NULL
x000000	x000252	preferred	10000	0.001299870013	0.04265017943	0.1666666667	0.02572257062	BACKBONE_PREFERRED
x000000	x000253	preferred	1000	0.08191808192	0.3005019825	0.5	0.02502564472	EXPECTED_FROM_NULL
x000000	x000254	preferred	1000	1	1	0.5	0.02518354667	EXPECTED_FROM_NULL
x000000	x000255	preferred	10000	0.000599940006	0.02768160684	0.1666666667	0.02401494676	BACKBONE_PREFERRED
x000000	x000263	preferred	1000	1	1	1	0.02785956931	EXPECTED_FROM_NULL
x000000	x000284	preferred	1000	0.1858141858	0.4779697654	1	0.02571655921	EXPECTED_FROM_NULL
x000000	x000285	preferred	1000	0.1988011988	0.5043470275	0.5	0.0266765643	EXPECTED_FROM_NULL
x000000	x000290	preferred	1000	1	1	1	0.02729787222	EXPECTED_FROM_NULL
x000000	x000299	preferred	10000	0.003599640036	0.07330853122	0.5	0.02404300554	EXPECTED_FROM_NULL
x000000	x000300	preferred	1000	1	1	1	0.02491998728	EXPECTED_FROM_NULL
x000000	x000310	preferred	1000	0.2797202797	0.6798469021	1	0.02801214513	EXPECTED_FROM_NULL
x000000	x000312	preferred	1000	0.3176823177	0.7583798578	1	0.03021349955	EXPECTED_FROM_NULL
