block	transitions	log_loss_m1	log_loss_m2	delta_m1_minus_m2
G0/generic#0	129	5.739840012	6.383813881	-0.6439738689
G1/generic#0	103	5.705755589	6.416735823	-0.7109802337
G2/generic#0	163	5.721880928	6.37952502	-0.6576440916
G3/generic#0	149	5.644232469	6.412633369	-0.7684008996
G0/generic#1	115	5.867188153	6.392196101	-0.5250079482
G1/generic#1	125	5.748100574	6.391887045	-0.6437864709
G2/generic#1	150	5.75790576	6.412142204	-0.6542364436
G3/generic#1	129	5.852538578	6.384061428	-0.5315228498
G0/generic#2	175	5.705979911	6.376818399	-0.6708384877
G1/generic#2	128	5.849340341	6.382857024	-0.533516683
G2/generic#2	163	5.836970551	6.419891289	-0.5829207375
G3/generic#2	195	5.976650104	6.40688155	-0.4302314455
G0/generic#3	232	5.751729022	6.380031781	-0.6283027593
G1/generic#3	208	5.784929981	6.389960853	-0.6050308717
G2/generic#3	149	5.805407077	6.404677153	-0.5992700755
G3/generic#3	153	5.666037441	6.371069472	-0.7050320315
G0/generic#4	225	5.852873437	6.403017231	-0.5501437938
G1/generic#4	168	5.61459577	6.354713882	-0.740118112
G2/generic#4	146	5.663136492	6.393382216	-0.7302457246
G3/generic#4	227	5.771916675	6.412315827	-0.6403991526
G0/generic#5	190	5.740527867	6.388483999	-0.6479561317
G1/generic#5	133	5.83221391	6.40161875	-0.5694048404
G2/generic#5	192	5.80267993	6.383257233	-0.5805773032
G3/generic#5	149	5.620636233	6.412263765	-0.7916275315
G0/generic#6	197	5.899354234	6.403787808	-0.5044335736
G1/generic#6	138	5.827433263	6.380108075	-0.5526748122
G2/generic#6	143	5.754020231	6.397340448	-0.6433202172
G3/generic#6	103	5.629721244	6.383928607	-0.7542073624
G0/generic#7	180	5.808517335	6.380977741	-0.5724604063
G1/generic#7	167	5.676944239	6.394580086	-0.7176358473
G2/generic#7	126	5.796187724	6.390829621	-0.5946418962
G3/generic#7	134	5.741565009	6.409092227	-0.6675272175
G0/generic#8	204	5.772493302	6.375509534	-0.6030162318
G1/generic#8	178	5.705788063	6.384097367	-0.678309304
G2/generic#8	139	5.710827705	6.388262224	-0.6774345188
G3/generic#8	136	5.963704211	6.417353678	-0.4536494673
G0/generic#9	177	5.797509427	6.413950789	-0.616441362
G1/generic#9	197	5.722665829	6.371597214	-0.6489313845
G2/generic#9	199	5.681459051	6.399079597	-0.7176205456
G3/generic#9	163	5.711781021	6.358364212	-0.6465831905
G0/generic#10	226	5.696993986	6.382171071	-0.6851770851
G1/generic#10	194	5.817250025	6.404800556	-0.5875505309
G2/generic#10	144	5.691647869	6.396086375	-0.7044385052
G3/generic#10	230	5.923327618	6.406567725	-0.4832401067
G0/generic#11	197	5.805068803	6.388382727	-0.5833139245
G1/generic#11	166	5.847425573	6.400468277	-0.5530427037
G2/generic#11	165	5.750314798	6.383699521	-0.6333847226
G3/generic#11	253	5.729038473	6.363138575	-0.6341001017
G0/generic#12	185	5.619947568	6.41475482	-0.7948072529
G1/generic#12	163	5.730720011	6.400065705	-0.6693456944
G2/generic#12	213	5.765385999	6.416197784	-0.6508117855
G3/generic#12	239	5.685300628	6.399280347	-0.7139797192
G0/generic#13	206	5.74044083	6.399713993	-0.6592731636
G1/generic#13	238	5.812569898	6.382873634	-0.5703037362
G2/generic#13	235	5.784134626	6.375291581	-0.5911569549
G3/generic#13	226	5.821114076	6.41096459	-0.5898505134
G0/generic#14	223	5.793219329	6.402124999	-0.6089056701
G1/generic#14	245	5.799538917	6.403801369	-0.6042624523
G2/generic#14	207	5.750678465	6.391660336	-0.6409818711
G3/generic#14	201	5.638892684	6.39393216	-0.7550394757
G0/generic#15	240	5.8596933	6.398552457	-0.5388591574
G1/generic#15	284	5.895882969	6.40998941	-0.5141064418
G2/generic#15	325	5.698968304	6.377222748	-0.6782544447
G3/generic#15	112	5.775873077	6.396876277	-0.6210032008
