source	target	relation	eligible_blocks	joint_classes	currier_classes	hands	median_log2_enrichment	sign_consistency	transfer_fraction	empirical_p	fdr_q	status
x000000	x000252	preferred	59	4	G0,G1,G2,G3	generic	1.572657991	0.9322033898	0.9322033898	0.001299870013	0.04265017943	BACKBONE_PREFERRED
x000000	x000255	preferred	59	4	G0,G1,G2,G3	generic	1.578862301	0.9491525424	0.9491525424	0.000599940006	0.02768160684	BACKBONE_PREFERRED
x000000	x000387	preferred	59	4	G0,G1,G2,G3	generic	1.586455201	0.9152542373	0.9152542373	0.000499950005	0.02502292144	BACKBONE_PREFERRED
x000001	x000657	preferred	58	4	G0,G1,G2,G3	generic	1.614883131	0.9827586207	0.9827586207	0.000299970003	0.02109074807	BACKBONE_PREFERRED
x000002	x000251	preferred	59	4	G0,G1,G2,G3	generic	1.581886391	0.9491525424	0.9491525424	0.000799920008	0.03235840799	BACKBONE_PREFERRED
x000002	x000255	preferred	59	4	G0,G1,G2,G3	generic	1.581905942	0.9322033898	0.9322033898	0.000399960004	0.02315846847	BACKBONE_PREFERRED
x000002	x000378	preferred	59	4	G0,G1,G2,G3	generic	1.594064708	0.9152542373	0.9152542373	0.000299970003	0.02109074807	BACKBONE_PREFERRED
x000002	x000461	preferred	59	4	G0,G1,G2,G3	generic	1.608735562	0.9661016949	0.9661016949	0.000299970003	0.02109074807	BACKBONE_PREFERRED
x000002	x000661	preferred	59	4	G0,G1,G2,G3	generic	1.618164061	1	1	0.000299970003	0.02109074807	BACKBONE_PREFERRED
x000003	x000582	preferred	61	4	G0,G1,G2,G3	generic	1.616085018	0.9672131148	0.9672131148	0.00099990001	0.03737600923	BACKBONE_PREFERRED
x000004	x000257	preferred	46	4	G0,G1,G2,G3	generic	1.588003077	0.8913043478	0.8913043478	9.9990001e-05	0.01230293637	BACKBONE_PREFERRED
x000004	x000261	preferred	46	4	G0,G1,G2,G3	generic	1.565886034	0.9347826087	0.9347826087	9.9990001e-05	0.01230293637	BACKBONE_PREFERRED
x000004	x000286	preferred	46	4	G0,G1,G2,G3	generic	1.58116452	0.9782608696	0.9782608696	9.9990001e-05	0.01230293637	BACKBONE_PREFERRED
x000004	x000287	preferred	46	4	G0,G1,G2,G3	generic	1.588003077	0.8913043478	0.8913043478	9.9990001e-05	0.01230293637	BACKBONE_PREFERRED
x000004	x000483	preferred	46	4	G0,G1,G2,G3	generic	1.624817663	0.9565217391	0.9565217391	0.001399860014	0.04397645342	BACKBONE_PREFERRED
x000005	x000206	preferred	46	4	G0,G1,G2,G3	generic	1.568097605	0.8043478261	0.8043478261	0.000599940006	0.02768160684	BACKBONE_PREFERRED
x000005	x000257	preferred	46	4	G0,G1,G2,G3	generic	1.565314962	0.9130434783	0.9130434783	0.00099990001	0.03737600923	BACKBONE_PREFERRED
x000005	x000281	preferred	46	4	G0,G1,G2,G3	generic	1.594840545	0.8913043478	0.8913043478	0.001699830017	0.0496989905	BACKBONE_PREFERRED
x000005	x000286	preferred	46	4	G0,G1,G2,G3	generic	1.578073395	0.9130434783	0.9130434783	9.9990001e-05	0.01230293637	BACKBONE_PREFERRED
x000005	x000287	preferred	46	4	G0,G1,G2,G3	generic	1.608130998	0.9347826087	0.9347826087	0.000799920008	0.03235840799	BACKBONE_PREFERRED
x000005	x000288	preferred	46	4	G0,G1,G2,G3	generic	1.568097605	0.9565217391	0.9565217391	9.9990001e-05	0.01230293637	BACKBONE_PREFERRED
