checkpoint_n	vocabulary_size	hapax_count	dis_legomena_count	tris_legomena_count	hapax_fraction_of_types	hapax_fraction_of_tokens	dis_fraction_of_types	dis_fraction_of_tokens
100	89	80	7	2	0.898876404494382	0.80000000000000004	0.15730337078651685	0.14000000000000001
200	159	133	17	4	0.83647798742138368	0.66500000000000004	0.21383647798742139	0.17000000000000001
500	340	264	41	15	0.77647058823529413	0.52800000000000002	0.2411764705882353	0.16400000000000001
1000	601	474	52	21	0.78868552412645587	0.47399999999999998	0.17304492512479203	0.104
2000	1019	793	102	34	0.77821393523061821	0.39650000000000002	0.20019627085377822	0.10199999999999999
4000	1761	1311	216	68	0.74446337308347532	0.32774999999999999	0.24531516183986371	0.108
8000	2957	2122	357	158	0.71761920865742301	0.26524999999999999	0.24146094014203584	0.089249999999999996
16000	4610	3079	630	252	0.66789587852494581	0.19243750000000001	0.27331887201735355	0.078750000000000001
32000	7143	4386	1167	442	0.61402771944561108	0.1370625	0.3267534649307014	0.072937500000000002
43713	8456	4956	1441	561	0.58609271523178808	0.11337588360441973	0.34082308420056767	0.06593004369409558
