rank	opening_candidate	closing_candidate	score	reliability	ranking_scope	line_probability	page_probability	directionality	ranking_z_score	permutation_p	mean_distance	adjacent_share	page_balance_stddev	AABB	ABAB
1	x000078	x000079	0.370898	0.770115	page	0.029851	0.208955	0.182289	3.736435	0.00990099	29.285714	0.000000	0.419322	1	0
2	x000093	x000000	0.368785	0.795918	page	0.076923	0.423077	0.376245	3.249010	0.00990099	22.969697	0.000000	0.843453	3	0
3	x000028	x000016	0.364260	0.918033	page	0.043478	0.278261	0.135404	4.229917	0.00990099	21.156250	0.000000	0.745798	4	4
4	x000100	x000037	0.354804	0.767442	page	0.015152	0.212121	0.191573	3.381592	0.00990099	28.071429	0.000000	0.535566	1	0
5	x000006	x000017	0.351384	0.909910	page	0.024896	0.178423	0.054661	3.838314	0.00990099	24.627907	0.000000	0.835060	2	0
6	x000069	x000009	0.348974	0.830508	page	0.040816	0.244898	0.225367	3.250395	0.00990099	22.500000	0.000000	0.745582	1	0
7	x000043	x000025	0.342558	0.847328	page	0.027027	0.207207	0.172381	3.504392	0.00990099	25.695652	0.000000	0.722509	1	0
8	x000095	x000001	0.314481	0.777778	page	0.042857	0.400000	0.336430	3.315508	0.00990099	23.035714	0.000000	1.014979	0	2
9	x000044	x000000	0.312672	0.866667	page	0.053846	0.292308	0.242721	2.574196	0.019802	26.552632	0.000000	0.890345	1	0
10	x000086	x000002	0.312626	0.770115	page	0.119403	0.373134	0.338308	2.630933	0.019802	16.920000	0.200000	0.933645	3	0
11	x000090	x000001	0.309925	0.743590	page	0.103448	0.448276	0.423826	3.250810	0.00990099	19.961538	0.115385	1.023413	0	0
12	x000060	x000049	0.302771	0.850746	page	0.043860	0.192982	0.117794	1.966182	0.029703	19.636364	0.000000	0.576079	2	0
13	x000150	x000041	0.302670	0.649123	page	0.081081	0.405405	0.359604	3.222879	0.00990099	18.933333	0.133333	0.438404	2	0
14	x000042	x000037	0.301879	0.870130	page	0.044776	0.156716	0.095073	1.890072	0.049505	19.142857	0.000000	0.618614	2	0
15	x000006	x000004	0.300989	0.923372	page	0.045643	0.248963	0.160963	2.987685	0.00990099	21.366667	0.000000	1.022876	2	3
16	x000041	x000015	0.300937	0.867550	page	0.030534	0.198473	0.137338	1.827174	0.0594059	22.615385	0.000000	0.713550	4	0
17	x000043	x000005	0.300062	0.847328	page	0.072072	0.342342	0.289043	2.292241	0.019802	21.605263	0.000000	1.015655	2	0
18	x000057	x000002	0.298803	0.851852	page	0.060870	0.260870	0.233506	2.595998	0.00990099	18.933333	0.000000	1.047663	2	0
19	x000098	x000000	0.298310	0.791667	page	0.078947	0.289474	0.261925	2.991784	0.019802	26.636364	0.045455	0.891561	1	0
20	x000064	x000048	0.298246	0.833333	page	0.010000	0.170000	0.115455	3.995828	0.00990099	25.000000	0.000000	0.554729	0	0
21	x000153	x000031	0.297562	0.701493	page	0.063830	0.297872	0.276893	3.822865	0.00990099	18.071429	0.000000	0.493263	0	0
22	x000055	x000003	0.296817	0.868421	page	0.098485	0.386364	0.297358	2.157105	0.039604	23.705882	0.019608	0.942833	7	4
