block	currier	hand	joint_class	source	target	source_count	target_count	edge_count	opportunities	block_tokens	p_target_given_source	p_target_baseline	enrichment	log2_enrichment	sign
G0/generic#0	G0	generic	G0/generic	x000000	x000179	6	1	0	6	648	0.001526717557	0.001547189273	0.9867684478	-0.01921650904	depleted
G1/generic#0	G1	generic	G1/generic	x000000	x000179	6	1	0	6	671	0.001526717557	0.001511335013	1.010178117	0.01460969488	preferred
G2/generic#0	G2	generic	G2/generic	x000000	x000179	5	1	0	5	676	0.001531393568	0.001503759398	1.018376723	0.02627134884	preferred
G3/generic#0	G3	generic	G3/generic	x000000	x000179	5	0	0	5	619	0.001531393568	0.0005316321106	2.880551302	1.526344952	preferred
G0/generic#1	G0	generic	G0/generic	x000000	x000179	5	1	0	5	667	0.001531393568	0.001517450683	1.009188361	0.01319547346	preferred
G3/generic#1	G3	generic	G3/generic	x000000	x000179	7	0	0	7	632	0.001522070015	0.000524383849	2.902587519	1.537339568	preferred
G1/generic#2	G1	generic	G1/generic	x000000	x000179	10	0	0	10	681	0.001508295626	0.0004987531172	3.02413273	1.596521461	preferred
G1/generic#3	G1	generic	G1/generic	x000000	x000179	8	0	0	8	814	0.001517450683	0.0004403346543	3.446130501	1.784977336	preferred
G2/generic#3	G2	generic	G2/generic	x000000	x000179	10	0	0	10	719	0.001508295626	0.0004805382028	3.138763198	1.65019619	preferred
G0/generic#4	G0	generic	G0/generic	x000000	x000179	7	0	0	7	684	0.001522070015	0.0004972650423	3.060882801	1.613947806	preferred
G1/generic#4	G1	generic	G1/generic	x000000	x000179	6	0	0	6	659	0.001526717557	0.0005099439062	2.99389313	1.582022724	preferred
G2/generic#4	G2	generic	G2/generic	x000000	x000179	6	0	0	6	636	0.001526717557	0.0005221932115	2.923664122	1.54777758	preferred
G0/generic#5	G0	generic	G0/generic	x000000	x000179	5	0	0	5	657	0.001531393568	0.0005109862034	2.996937213	1.583488859	preferred
G1/generic#5	G1	generic	G1/generic	x000000	x000179	6	0	0	6	607	0.001526717557	0.0005385029618	2.835114504	1.503407004	preferred
