source	target	global_count	eligible_blocks	positive_blocks	negative_blocks	neutral_blocks	joint_classes	currier_classes	hands	joint_class_ids	currier_ids	hand_ids	median_log2_enrichment	mean_log2_enrichment	between_block_sd	sign	sign_consistency	tested_blocks	successful_sign_predictions	transfer_fraction	empirical_p	fdr_q	permutations	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000000	x000179	1	41	37	4	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.498738083	1.002428174	0.7876648671	preferred	0.9024390244	41	37	0.9024390244	1	1	1000	1	0.04202829201	EXPECTED_FROM_NULL
x000000	x000214	1	41	30	11	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.540636586	0.9068497342	1.058400213	preferred	0.7317073171	41	30	0.7317073171	0.05194805195	0.2687416967	1000	1	0.0331487643	EXPECTED_FROM_NULL
x000000	x000292	2	41	34	7	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.526344952	1.023111025	0.8429230867	preferred	0.8292682927	41	34	0.8292682927	0.1388611389	0.4832835704	1000	1	0.0404218236	EXPECTED_FROM_NULL
x000000	x000293	2	41	37	4	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.583488859	1.368321542	0.5846011304	preferred	0.9024390244	41	37	0.9024390244	0.05294705295	0.2710801595	1000	0.5	0.03280457752	EXPECTED_FROM_NULL
x000000	x000366	1	41	35	6	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.540636586	1.121109121	0.8158651229	preferred	0.8536585366	41	35	0.8536585366	0.02797202797	0.2489751628	1000	1	0.0359787955	EXPECTED_FROM_NULL
x000000	x000401	1	41	37	4	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.56450876	1.299849471	0.6588495611	preferred	0.9024390244	41	37	0.9024390244	1	1	1000	0	0.0329093096	EXPECTED_FROM_NULL
x000000	x000405	3	41	39	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.561274826	1.299849471	0.6598131038	preferred	0.9512195122	41	39	0.9512195122	1	1	1000	0.5	0.03267536725	EXPECTED_FROM_NULL
x000000	x000408	1	41	39	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.56450876	1.350346772	0.6212458115	preferred	0.9512195122	41	39	0.9512195122	0.03496503497	0.2489751628	1000	1	0.03262308981	EXPECTED_FROM_NULL
x000000	x000417	1	41	36	5	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.537339568	1.079743418	0.7932201252	preferred	0.8780487805	41	36	0.8780487805	0.1258741259	0.4475123155	1000	1	0.03979970278	EXPECTED_FROM_NULL
x000000	x000418	1	41	38	3	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.565745992	1.31168915	0.663820678	preferred	0.9268292683	41	38	0.9268292683	0.07992007992	0.3300699301	1000	1	0.03335026117	EXPECTED_FROM_NULL
x000000	x000419	3	41	39	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.54777758	1.291006298	0.6263504708	preferred	0.9512195122	41	39	0.9512195122	0.1258741259	0.4475123155	1000	0.5	0.03489422776	EXPECTED_FROM_NULL
