token	block	direction	conditional_entropy	effective_successor_predecessor_count	baseline_entropy	entropy_effect	eligible
x000000	G0/generic#0	outgoing	6.462158236	640.4417907	6.075841493	0.3863167427	true
x000001	G0/generic#0	outgoing	6.464140492	641.7125694	6.075841493	0.3882989988	true
x000003	G0/generic#0	outgoing	6.462158236	640.4417907	6.075841493	0.3863167427	true
x000004	G0/generic#0	outgoing	6.466144724	643	6.075841493	0.3903032308	true
x000005	G0/generic#0	outgoing	6.466144724	643	6.075841493	0.3903032308	true
x000006	G0/generic#0	outgoing	6.452568557	634.3295138	6.075841493	0.3767270638	true
x000009	G0/generic#0	outgoing	6.462158236	640.4417907	6.075841493	0.3863167427	true
x000010	G0/generic#0	outgoing	6.462158236	640.4417907	6.075841493	0.3863167427	true
x000015	G0/generic#0	outgoing	6.460197723	639.1874264	6.075841493	0.38435623	true
x000026	G0/generic#0	outgoing	6.464140492	641.7125694	6.075841493	0.3882989988	true
x000041	G0/generic#0	outgoing	6.456341012	636.7270128	6.075841493	0.3804995189	true
x000050	G0/generic#0	outgoing	6.460197723	639.1874264	6.075841493	0.38435623	true
x000063	G0/generic#0	outgoing	6.464140492	641.7125694	6.075841493	0.3882989988	true
x000084	G0/generic#0	outgoing	6.464140492	641.7125694	6.075841493	0.3882989988	true
x000003	G0/generic#0	incoming	6.456341012	636.7270128	6.075841493	0.3804995189	true
x000004	G0/generic#0	incoming	6.452568557	634.3295138	6.075841493	0.3767270638	true
x000005	G0/generic#0	incoming	6.452222202	634.1098485	6.075841493	0.3763807086	true
x000006	G0/generic#0	incoming	6.456341012	636.7270128	6.075841493	0.3804995189	true
x000026	G0/generic#0	incoming	6.456341012	636.7270128	6.075841493	0.3804995189	true
x000000	G1/generic#0	outgoing	6.466144724	643	6.06123493	0.4049097938	true
x000001	G1/generic#0	outgoing	6.466144724	643	6.06123493	0.4049097938	true
x000003	G1/generic#0	outgoing	6.457955018	637.7555236	6.06123493	0.3967200876	true
x000004	G1/generic#0	outgoing	6.466144724	643	6.06123493	0.4049097938	true
x000005	G1/generic#0	outgoing	6.462158236	640.4417907	6.06123493	0.4009233058	true
x000009	G1/generic#0	outgoing	6.462158236	640.4417907	6.06123493	0.4009233058	true
x000010	G1/generic#0	outgoing	6.462158236	640.4417907	6.06123493	0.4009233058	true
x000017	G1/generic#0	outgoing	6.460197723	639.1874264	6.06123493	0.3989627931	true
x000019	G1/generic#0	outgoing	6.462158236	640.4417907	6.06123493	0.4009233058	true
x000022	G1/generic#0	outgoing	6.456341012	636.7270128	6.06123493	0.395106082	true
x000028	G1/generic#0	outgoing	6.462158236	640.4417907	6.06123493	0.4009233058	true
x000033	G1/generic#0	outgoing	6.460197723	639.1874264	6.06123493	0.3989627931	true
x000036	G1/generic#0	outgoing	6.460197723	639.1874264	6.06123493	0.3989627931	true
x000039	G1/generic#0	outgoing	6.456022909	636.5245	6.06123493	0.3947879786	true
x000045	G1/generic#0	outgoing	6.462158236	640.4417907	6.06123493	0.4009233058	true
x000124	G1/generic#0	outgoing	6.458258724	637.9492434	6.06123493	0.397023794	true
x000000	G1/generic#0	incoming	6.454444364	635.5205098	6.06123493	0.3932094332	true
x000001	G1/generic#0	incoming	6.456341012	636.7270128	6.06123493	0.395106082	true
x000003	G1/generic#0	incoming	6.45035316	632.9257775	6.06123493	0.3891182298	true
x000004	G1/generic#0	incoming	6.454444364	635.5205098	6.06123493	0.3932094332	true
x000028	G1/generic#0	incoming	6.456341012	636.7270128	6.06123493	0.395106082	true
x000000	G2/generic#0	outgoing	6.466144724	643	6.026252493	0.4398922317	true
x000001	G2/generic#0	outgoing	6.462158236	640.4417907	6.026252493	0.4359057436	true
x000002	G2/generic#0	outgoing	6.464140492	641.7125694	6.026252493	0.4378879996	true
x000003	G2/generic#0	outgoing	6.466144724	643	6.026252493	0.4398922317	true
x000004	G2/generic#0	outgoing	6.466144724	643	6.026252493	0.4398922317	true
x000005	G2/generic#0	outgoing	6.462158236	640.4417907	6.026252493	0.4359057436	true
x000008	G2/generic#0	outgoing	6.462158236	640.4417907	6.026252493	0.4359057436	true
x000011	G2/generic#0	outgoing	6.458258724	637.9492434	6.026252493	0.4320062319	true
x000016	G2/generic#0	outgoing	6.460197723	639.1874264	6.026252493	0.4339452309	true
x000018	G2/generic#0	outgoing	6.460197723	639.1874264	6.026252493	0.4339452309	true
x000020	G2/generic#0	outgoing	6.460197723	639.1874264	6.026252493	0.4339452309	true
x000023	G2/generic#0	outgoing	6.460197723	639.1874264	6.026252493	0.4339452309	true
x000024	G2/generic#0	outgoing	6.456341012	636.7270128	6.026252493	0.4300885198	true
x000026	G2/generic#0	outgoing	6.464140492	641.7125694	6.026252493	0.4378879996	true
x000029	G2/generic#0	outgoing	6.460197723	639.1874264	6.026252493	0.4339452309	true
x000030	G2/generic#0	outgoing	6.462158236	640.4417907	6.026252493	0.4359057436	true
x000037	G2/generic#0	outgoing	6.460197723	639.1874264	6.026252493	0.4339452309	true
x000058	G2/generic#0	outgoing	6.452222202	634.1098485	6.026252493	0.4259697094	true
x000070	G2/generic#0	outgoing	6.454112045	635.3093495	6.026252493	0.4278595522	true
x000159	G2/generic#0	outgoing	6.456341012	636.7270128	6.026252493	0.4300885198	true
x000002	G2/generic#0	incoming	6.454444364	635.5205098	6.026252493	0.428191871	true
x000004	G2/generic#0	incoming	6.456341012	636.7270128	6.026252493	0.4300885198	true
x000005	G2/generic#0	incoming	6.454444364	635.5205098	6.026252493	0.428191871	true
