token	direction	global_count	eligible_blocks	joint_classes	pairwise_js_mean	pairwise_js_median	pairwise_js_min	pairwise_js_sd	lobo_median_correlation	lobo_mean_correlation	lobo_median_spearman	sign_agreement	permutation_p	sign_permutation_p	entropy_effect	entropy_sign_consistency	entropy_permutation_p	entropy_status	replicated
x000000	outgoing	363	41	4	0.9990996434	0.9994154891	0.9976664992	0.0005546448895	0.6212099547	0.616531395	0.4546256479	0.8263475325	0.000999000999	0.7022977023	0.3768325014	1	0.000999000999	REPRODUCIBLY_BROAD	false
x000001	outgoing	409	41	4	0.9986336245	0.9988296318	0.9956013051	0.0008012431629	0.6131115283	0.6144836128	0.4398777853	0.8402685582	0.005994005994	0.7502497502	0.3844922997	1	0.001998001998	REPRODUCIBLY_BROAD	false
x000002	outgoing	402	45	4	0.9985699353	0.9988296318	0.9953678649	0.0009139998603	0.6131377321	0.6153548839	0.4412959789	0.8334888543	0.003996003996	0.6813186813	0.3812451022	1	0.000999000999	REPRODUCIBLY_BROAD	false
x000003	outgoing	382	46	4	0.9986409064	0.9988296318	0.9954831417	0.0009379488218	0.6201306457	0.620916581	0.4565107609	0.8327811211	0.005994005994	0.2117882118	0.3859699921	1	0.000999000999	REPRODUCIBLY_BROAD	false
x000004	outgoing	375	41	4	0.9985572683	0.9988296318	0.9943391884	0.0009977757217	0.621467884	0.6203126452	0.4418203001	0.8387512802	0.000999000999	0.4385614386	0.3886096146	1	0.000999000999	REPRODUCIBLY_BROAD	false
x000005	outgoing	394	49	4	0.998819712	0.9988359396	0.9965105354	0.000720928651	0.6172644726	0.6165915062	0.442092482	0.8243882312	0.001998001998	0.4085914086	0.3864965317	1	0.000999000999	REPRODUCIBLY_BROAD	false
x000006	outgoing	241	23	4	0.9958223864	0.9959367736	0.9930911142	0.001054031882	0.6229712791	0.6095914868	0.4367345106	0.8145919264	0.000999000999	0.00999000999	0.3666057567	1	0.5834165834	INSUFFICIENT_SUPPORT	true
x000007	outgoing	254	20	4	0.9954511993	0.9954944239	0.9915079791	0.001572092682	0.5970656499	0.5949098573	0.3971031802	0.8382581649	0.000999000999	0.07192807193	0.3922145869	1	0.2347652348	INSUFFICIENT_SUPPORT	false
x000008	outgoing	252	20	4	0.9957908415	0.9959367736	0.9926412221	0.001169833694	0.6205449013	0.6116035301	0.4455515711	0.8233281493	0.001998001998	0.07292707293	0.3834554665	1	0.5974025974	INSUFFICIENT_SUPPORT	false
x000009	outgoing	256	21	4	0.9959394089	0.9965167647	0.9909016385	0.001416716528	0.6174350195	0.6192134861	0.441845152	0.8341849959	0.003996003996	0.02897102897	0.3808101348	1	0.5074925075	INSUFFICIENT_SUPPORT	true
