checkpoint_n	vocabulary_size	type_token_ratio	hapax_count	dis_count	tri_count	beta_effective
100	96	0.95999999999999996	92	4	0	0
200	168	0.83999999999999997	144	17	6	0.80735492205760495
500	377	0.754	314	29	22	0.88212308596804934
1000	664	0.66400000000000003	528	66	28	0.81661871807825981
2000	1129	0.5645	880	114	34	0.76579033942607599
4000	1974	0.49349999999999999	1499	226	65	0.80607650368339767
8000	3394	0.42425000000000002	2503	397	151	0.78186457508626428
16000	5419	0.33868749999999997	3756	701	293	0.67504008224336631
32000	8589	0.26840625000000001	5584	1276	465	0.66446352393448127
43713	10285	0.23528469791595177	6422	1610	661	0.57774491847715426
