sequence	n	token_validity	sequence_status	shuffle_block_p	shuffle_block_fdr_q	markov_block_p
x000000 x000587	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.6173826173826173
x000000 x000881	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.5914085914085914
x000000 x002784	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.6213786213786214
x000003 x000881	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.5544455544455544
x000005 x000592	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.5924075924075924
x000007 x000590	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.6383616383616384
x000008 x000106	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.003996003996003996	0.00489832747897264	0.5404595404595405
x000008 x000134	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.6033966033966034
x000008 x000137	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.5384615384615384
x000008 x000138	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002770951676061165	0.5094905094905094
x000009 x000107	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.5124875124875125
x000009 x000110	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002770951676061165	0.5374625374625375
x000009 x000314	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.5014985014985015
x000010 x000109	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002770951676061165	0.5744255744255744
x000010 x000140	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002770951676061165	0.5524475524475524
x000010 x000311	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.5494505494505495
x000010 x000477	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.5234765234765235
x000010 x000647	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.5524475524475524
x000011 x000076	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.4885114885114885
x000011 x000109	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037710633737123808	0.5054945054945055
x000011 x000135	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037710633737123808	0.4885114885114885
x000011 x000138	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002770951676061165	0.4905094905094905
x000011 x000669	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.4935064935064935
x000011 x000671	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.45854145854145856
x000011 x000923	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.5064935064935064
x000011 x002126	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.5254745254745254
x000012 x000077	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.44955044955044954
x000012 x000106	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.45854145854145856
x000012 x000135	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.0037710633737123808	0.4885114885114885
x000012 x000137	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.4775224775224775
x000012 x000138	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.5584415584415584
x000012 x000140	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002770951676061165	0.4965034965034965
x000012 x000671	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0017739270075718674	0.4695304695304695
