sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x000000 x000587	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	267,14	false	false	true	
x000000 x000881	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	267,12	false	false	true	
x000000 x002784	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	267,4	false	false	true	
x000003 x000881	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	292,12	false	false	true	
x000005 x000592	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	280,13	false	false	true	
x000007 x000590	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	281,13	false	false	true	
x000008 x000106	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	174,43	false	false	true	
x000008 x000134	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	174,50	false	false	true	
x000008 x000137	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	174,51	false	false	true	
x000008 x000138	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	174,54	false	false	true	
x000009 x000107	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	169,63	false	false	true	
x000009 x000110	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	169,55	false	false	true	
x000009 x000314	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	169,29	false	false	true	
x000010 x000109	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	195,49	false	false	true	
x000010 x000140	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	195,46	false	false	true	
x000010 x000311	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	195,18	false	false	true	
x000010 x000477	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	195,19	false	false	true	
x000010 x000647	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	195,11	false	false	true	
x000011 x000076	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	171,92	false	false	true	
x000011 x000109	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	171,49	false	false	true	
x000011 x000135	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	171,53	false	false	true	
x000011 x000138	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	171,54	false	false	true	
x000011 x000669	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	171,9	false	false	true	
x000011 x000671	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	171,13	false	false	true	
x000011 x000923	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	171,9	false	false	true	
x000011 x002126	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	171,3	false	false	true	
x000012 x000077	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	179,88	false	false	true	
x000012 x000106	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	179,43	false	false	true	
x000012 x000135	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	179,53	false	false	true	
x000012 x000137	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	179,51	false	false	true	
x000012 x000138	2	6	6	5	3	3	1	0.3333333333333333	2.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	179,54	false	false	true	
x000012 x000140	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	179,46	false	false	true	
x000012 x000671	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	179,13	false	false	true	
