window_start	window_end	tokens	new_types	new_type_rate
0	500	500	400	0.80000000000000004
500	1000	500	308	0.61599999999999999
1000	1500	500	269	0.53800000000000003
1500	2000	500	236	0.47199999999999998
2000	2500	500	231	0.46200000000000002
2500	3000	500	248	0.496
3000	3500	500	225	0.45000000000000001
3500	4000	500	215	0.42999999999999999
4000	4500	500	209	0.41799999999999998
4500	5000	500	198	0.39600000000000002
5000	5500	500	191	0.38200000000000001
5500	6000	500	210	0.41999999999999998
6000	6500	500	217	0.434
6500	7000	500	211	0.42199999999999999
7000	7500	500	167	0.33400000000000002
7500	8000	500	157	0.314
8000	8500	500	158	0.316
8500	9000	500	153	0.30599999999999999
9000	9500	500	164	0.32800000000000001
9500	10000	500	146	0.29199999999999998
10000	10500	500	175	0.34999999999999998
10500	11000	500	159	0.318
11000	11500	500	126	0.252
11500	12000	500	133	0.26600000000000001
12000	12500	500	153	0.30599999999999999
12500	13000	500	142	0.28399999999999997
13000	13500	500	126	0.252
13500	14000	500	124	0.248
14000	14500	500	137	0.27400000000000002
14500	15000	500	151	0.30199999999999999
15000	15500	500	107	0.214
15500	16000	500	130	0.26000000000000001
16000	16500	500	131	0.26200000000000001
16500	17000	500	144	0.28799999999999998
17000	17500	500	138	0.27600000000000002
17500	18000	500	129	0.25800000000000001
18000	18500	500	161	0.32200000000000001
18500	19000	500	133	0.26600000000000001
19000	19500	500	114	0.22800000000000001
19500	20000	500	119	0.23799999999999999
20000	20500	500	145	0.28999999999999998
20500	21000	500	128	0.25600000000000001
21000	21500	500	114	0.22800000000000001
21500	22000	500	97	0.19400000000000001
22000	22500	500	119	0.23799999999999999
22500	23000	500	127	0.254
23000	23500	500	120	0.23999999999999999
23500	24000	500	149	0.29799999999999999
24000	24500	500	92	0.184
24500	25000	500	84	0.16800000000000001
25000	25500	500	94	0.188
25500	26000	500	122	0.24399999999999999
26000	26500	500	82	0.16400000000000001
26500	27000	500	84	0.16800000000000001
27000	27500	500	79	0.158
27500	28000	500	118	0.23599999999999999
28000	28500	500	82	0.16400000000000001
28500	29000	500	89	0.17799999999999999
29000	29500	500	104	0.20799999999999999
29500	30000	500	113	0.22600000000000001
30000	30500	500	117	0.23400000000000001
30500	31000	500	111	0.222
31000	31500	500	93	0.186
31500	32000	500	71	0.14199999999999999
32000	32500	500	93	0.186
32500	33000	500	77	0.154
33000	33500	500	98	0.19600000000000001
33500	34000	500	86	0.17199999999999999
34000	34500	500	98	0.19600000000000001
34500	35000	500	103	0.20599999999999999
35000	35500	500	108	0.216
35500	36000	500	113	0.22600000000000001
36000	36500	500	78	0.156
36500	37000	500	74	0.14799999999999999
37000	37500	500	76	0.152
37500	38000	500	88	0.17599999999999999
38000	38500	500	79	0.158
38500	39000	500	85	0.17000000000000001
39000	39500	500	78	0.156
39500	40000	500	93	0.186
40000	40500	500	73	0.14599999999999999
40500	41000	500	68	0.13600000000000001
41000	41500	500	67	0.13400000000000001
41500	42000	500	65	0.13
42000	42500	500	77	0.154
42500	43000	500	56	0.112
43000	43500	500	61	0.122
43500	43713	213	55	0.25821596244131456
0	1000	1000	708	0.70799999999999996
1000	2000	1000	505	0.505
2000	3000	1000	479	0.47899999999999998
3000	4000	1000	440	0.44
4000	5000	1000	407	0.40699999999999997
5000	6000	1000	401	0.40100000000000002
6000	7000	1000	428	0.42799999999999999
7000	8000	1000	324	0.32400000000000001
8000	9000	1000	311	0.311
9000	10000	1000	310	0.31
10000	11000	1000	334	0.33400000000000002
11000	12000	1000	259	0.25900000000000001
12000	13000	1000	295	0.29499999999999998
13000	14000	1000	250	0.25
14000	15000	1000	288	0.28799999999999998
15000	16000	1000	237	0.23699999999999999
16000	17000	1000	275	0.27500000000000002
17000	18000	1000	267	0.26700000000000002
18000	19000	1000	294	0.29399999999999998
19000	20000	1000	233	0.23300000000000001
20000	21000	1000	273	0.27300000000000002
21000	22000	1000	211	0.21099999999999999
22000	23000	1000	246	0.246
23000	24000	1000	269	0.26900000000000002
24000	25000	1000	176	0.17599999999999999
25000	26000	1000	216	0.216
26000	27000	1000	166	0.16600000000000001
27000	28000	1000	197	0.19700000000000001
28000	29000	1000	171	0.17100000000000001
29000	30000	1000	217	0.217
30000	31000	1000	228	0.22800000000000001
31000	32000	1000	164	0.16400000000000001
32000	33000	1000	170	0.17000000000000001
33000	34000	1000	184	0.184
34000	35000	1000	201	0.20100000000000001
35000	36000	1000	221	0.221
36000	37000	1000	152	0.152
37000	38000	1000	164	0.16400000000000001
38000	39000	1000	164	0.16400000000000001
39000	40000	1000	171	0.17100000000000001
40000	41000	1000	141	0.14099999999999999
41000	42000	1000	132	0.13200000000000001
42000	43000	1000	133	0.13300000000000001
43000	43713	713	116	0.16269284712482468
0	2000	2000	1213	0.60650000000000004
2000	4000	2000	919	0.45950000000000002
4000	6000	2000	808	0.40400000000000003
6000	8000	2000	752	0.376
8000	10000	2000	621	0.3105
10000	12000	2000	593	0.29649999999999999
12000	14000	2000	545	0.27250000000000002
14000	16000	2000	525	0.26250000000000001
16000	18000	2000	542	0.27100000000000002
18000	20000	2000	527	0.26350000000000001
20000	22000	2000	484	0.24199999999999999
22000	24000	2000	515	0.25750000000000001
24000	26000	2000	392	0.19600000000000001
26000	28000	2000	363	0.18149999999999999
28000	30000	2000	388	0.19400000000000001
30000	32000	2000	392	0.19600000000000001
32000	34000	2000	354	0.17699999999999999
34000	36000	2000	422	0.21099999999999999
36000	38000	2000	316	0.158
38000	40000	2000	335	0.16750000000000001
40000	42000	2000	273	0.13650000000000001
42000	43713	1713	249	0.14535901926444833
