target_a	target_b	control_rank	control_a	control_b	distance	js_similarity	weighted_overlap	jaccard_support_overlap	observations_a	observations_b	reliability
x004984	x010279	1	x004472	x004985	1	0.019930498147119224	0.015151515151515152	0.012345679012345678	264	229	1
x004984	x010279	1	x004472	x004985	2	0.3180799234474191	0.24027391822151647	0.11627906976744186	264	229	1
x004984	x010279	1	x004472	x004985	3	0.3624749764146358	0.28483525208416033	0.14726027397260275	264	229	1
x004984	x010279	1	x004472	x004985	4	0.3317351365445512	0.25721185655683465	0.13442622950819672	264	229	1
x004984	x010279	1	x004472	x004985	5	0.35488016728868277	0.28951634246394065	0.13815789473684212	264	229	1
x004984	x010279	1	x004472	x004985	6	0.33513302373108556	0.27115588196374213	0.12302839116719243	264	229	1
x004984	x010279	1	x004472	x004985	7	0.3545722050917798	0.28422468328158473	0.1157556270096463	263	229	1
x004984	x010279	1	x004472	x004985	8	0.2872128870990571	0.21928703073372416	0.102803738317757	263	229	1
x004984	x010279	1	x004472	x004985	9	0.3600053989763099	0.2999983396151228	0.13836477987421383	263	229	1
x004984	x010279	1	x004472	x004985	10	0.3378607317178153	0.2797084364155611	0.13213213213213212	263	229	1
x004984	x010279	1	x004472	x004985	11	0.4079140467254646	0.32126786989224104	0.15333333333333332	263	229	1
x004984	x010279	1	x004472	x004985	12	0.34753582226159496	0.2692812193866539	0.13114754098360656	263	229	1
x004984	x010279	1	x004472	x004985	13	0.31162101925034935	0.25915287163564527	0.12166172106824925	263	229	1
x004984	x010279	1	x004472	x004985	14	0.37510671509731863	0.301393062911983	0.14826498422712933	263	229	1
x004984	x010279	1	x004472	x004985	15	0.37129116359410597	0.2940873694522392	0.13183279742765272	263	229	1
x004984	x010279	1	x004472	x004985	16	0.3358194656250697	0.26717253059259144	0.128125	263	229	1
x004984	x010279	1	x004472	x004985	17	0.40632762075511486	0.3225131585501519	0.18835616438356165	263	229	1
x004984	x010279	1	x004472	x004985	18	0.3663203437550073	0.28294618692612955	0.16013071895424835	263	229	1
x004984	x010279	1	x004472	x004985	19	0.4020159225410139	0.3281584671326812	0.14521452145214522	263	229	1
x004984	x010279	1	x004472	x004985	20	0.33409870822930476	0.2601324987132019	0.14556962025316456	263	229	1
x004984	x010279	2	x004472	x007926	1	0	0	0	264	116	1
x004984	x010279	2	x004472	x007926	2	0.3156415804710646	0.2332810867293625	0.13122171945701358	264	116	1
x004984	x010279	2	x004472	x007926	3	0.2840391556767382	0.20088819226750257	0.1125	264	116	1
x004984	x010279	2	x004472	x007926	4	0.2565511484638955	0.19331243469174497	0.11196911196911197	264	116	1
x004984	x010279	2	x004472	x007926	5	0.2882964430543994	0.21878265412748166	0.10305343511450382	264	116	1
x004984	x010279	2	x004472	x007926	6	0.33064085582358327	0.2511755485893416	0.12757201646090535	264	116	1
x004984	x010279	2	x004472	x007926	7	0.305538585331229	0.2182706175429396	0.11372549019607843	263	116	1
x004984	x010279	2	x004472	x007926	8	0.30553994416330643	0.24082207945456935	0.112	263	116	1
x004984	x010279	2	x004472	x007926	9	0.26611371225467195	0.2088960272715354	0.09505703422053231	263	116	1
x004984	x010279	2	x004472	x007926	10	0.35225518311790793	0.2626196407499673	0.13333333333333333	263	116	1
x004984	x010279	2	x004472	x007926	11	0.27506683162112056	0.21168218172282682	0.099601593625498	263	116	1
x004984	x010279	2	x004472	x007926	12	0.29845186058715933	0.22207289891176088	0.1111111111111111	263	116	1
x004984	x010279	2	x004472	x007926	13	0.26686792915551727	0.21141995542152883	0.10545454545454545	263	116	1
x004984	x010279	2	x004472	x007926	14	0.28833122909247355	0.21623836370787994	0.12167300380228137	263	116	1
x004984	x010279	2	x004472	x007926	15	0.2931278685045672	0.22967746164940347	0.1067193675889328	263	116	1
x004984	x010279	2	x004472	x007926	16	0.297693903227514	0.2253835059656484	0.11923076923076924	263	116	1
x004984	x010279	2	x004472	x007926	17	0.3338088639434086	0.26111183951750366	0.1322314049586777	263	116	1
x004984	x010279	2	x004472	x007926	18	0.34125771598010035	0.2486888684935099	0.13114754098360656	263	116	1
x004984	x010279	2	x004472	x007926	19	0.26180667926448087	0.21168218172282688	0.09125475285171103	263	116	1
x004984	x010279	2	x004472	x007926	20	0.30102608710324774	0.2256129539792842	0.12213740458015267	263	116	1
x004984	x010279	3	x004225	x006060	1	4.6629367034256575e-15	0	0	185	175	1
x004984	x010279	3	x004225	x006060	2	0.27255964666761134	0.19320463320463324	0.11538461538461539	185	175	1
x004984	x010279	3	x004225	x006060	3	0.30703807996144705	0.24633204633204642	0.11206896551724138	185	175	1
x004984	x010279	3	x004225	x006060	4	0.30197179755411885	0.2364478764478765	0.14166666666666666	185	175	1
x004984	x010279	3	x004225	x006060	5	0.3144719244211379	0.24664092664092668	0.1285140562248996	185	175	1
x004984	x010279	3	x004225	x006060	6	0.3512550649966327	0.2857142857142858	0.15086206896551724	185	175	1
x004984	x010279	3	x004225	x006060	7	0.3727586856673819	0.30285714285714294	0.14096916299559473	185	175	1
x004984	x010279	3	x004225	x006060	8	0.3044725597994137	0.2427799227799228	0.125	185	175	1
x004984	x010279	3	x004225	x006060	9	0.31301900066166644	0.25142857142857145	0.13725490196078433	185	175	1
x004984	x010279	3	x004225	x006060	10	0.3208048260121382	0.2538996138996139	0.13008130081300814	185	175	1
x004984	x010279	3	x004225	x006060	11	0.3523684598359178	0.2945173745173746	0.1440677966101695	185	175	1
x004984	x010279	3	x004225	x006060	12	0.34972682038212044	0.30548262548262556	0.13580246913580246	185	175	1
x004984	x010279	3	x004225	x006060	13	0.3104833182798832	0.2586872586872587	0.13409961685823754	185	175	1
x004984	x010279	3	x004225	x006060	14	0.342677202554696	0.25806949806949814	0.14644351464435146	185	175	1
x004984	x010279	3	x004225	x006060	15	0.30112350657319076	0.23861003861003866	0.124	185	175	1
x004984	x010279	3	x004225	x006060	16	0.31389201878353357	0.2631660231660232	0.12653061224489795	185	175	1
x004984	x010279	3	x004225	x006060	17	0.3372712971038395	0.25992277992278	0.14049586776859505	185	175	1
x004984	x010279	3	x004225	x006060	18	0.34493497121561423	0.265945945945946	0.13559322033898305	185	175	1
x004984	x010279	3	x004225	x006060	19	0.30432886511402535	0.24061776061776063	0.11462450592885376	185	175	1
x004984	x010279	3	x004225	x006060	20	0.32604335254849703	0.2614671814671815	0.12244897959183673	185	175	1
x004985	x010279	1	x004472	x007926	1	0	0	0	264	116	1
x004985	x010279	1	x004472	x007926	2	0.3156415804710646	0.2332810867293625	0.13122171945701358	264	116	1
x004985	x010279	1	x004472	x007926	3	0.284039155676738	0.2008881922675026	0.1125	264	116	1
x004985	x010279	1	x004472	x007926	4	0.2565511484638958	0.19331243469174494	0.11196911196911197	264	116	1
x004985	x010279	1	x004472	x007926	5	0.28829644305439905	0.21878265412748163	0.10305343511450382	264	116	1
x004985	x010279	1	x004472	x007926	6	0.33064085582358327	0.2511755485893416	0.12757201646090535	264	116	1
x004985	x010279	1	x004472	x007926	7	0.305538585331229	0.21827061754293964	0.11372549019607843	263	116	1
x004985	x010279	1	x004472	x007926	8	0.30553994416330654	0.24082207945456932	0.112	263	116	1
x004985	x010279	1	x004472	x007926	9	0.2661137122546716	0.20889602727153533	0.09505703422053231	263	116	1
x004985	x010279	1	x004472	x007926	10	0.35225518311790815	0.26261964074996724	0.13333333333333333	263	116	1
x004985	x010279	1	x004472	x007926	11	0.27506683162112056	0.2116821817228268	0.099601593625498	263	116	1
x004985	x010279	1	x004472	x007926	12	0.2984518605871589	0.22207289891176088	0.1111111111111111	263	116	1
x004985	x010279	1	x004472	x007926	13	0.2668679291555167	0.2114199554215288	0.10545454545454545	263	116	1
x004985	x010279	1	x004472	x007926	14	0.28833122909247333	0.2162383637078799	0.12167300380228137	263	116	1
x004985	x010279	1	x004472	x007926	15	0.2931278685045672	0.22967746164940345	0.1067193675889328	263	116	1
x004985	x010279	1	x004472	x007926	16	0.29769390322751366	0.22538350596564838	0.11923076923076924	263	116	1
x004985	x010279	1	x004472	x007926	17	0.3338088639434086	0.2611118395175036	0.1322314049586777	263	116	1
x004985	x010279	1	x004472	x007926	18	0.34125771598010046	0.24868886849350996	0.13114754098360656	263	116	1
x004985	x010279	1	x004472	x007926	19	0.26180667926448087	0.2116821817228268	0.09125475285171103	263	116	1
x004985	x010279	1	x004472	x007926	20	0.30102608710324796	0.2256129539792841	0.12213740458015267	263	116	1
x004985	x010279	2	x004225	x006060	1	3.885780586188048e-15	0	0	185	175	1
x004985	x010279	2	x004225	x006060	2	0.27255964666761145	0.19320463320463324	0.11538461538461539	185	175	1
x004985	x010279	2	x004225	x006060	3	0.30703807996144683	0.2463320463320464	0.11206896551724138	185	175	1
x004985	x010279	2	x004225	x006060	4	0.30197179755411874	0.23644787644787646	0.14166666666666666	185	175	1
x004985	x010279	2	x004225	x006060	5	0.3144719244211379	0.2466409266409267	0.1285140562248996	185	175	1
x004985	x010279	2	x004225	x006060	6	0.35125506499663217	0.2857142857142858	0.15086206896551724	185	175	1
x004985	x010279	2	x004225	x006060	7	0.37275868566738224	0.30285714285714294	0.14096916299559473	185	175	1
x004985	x010279	2	x004225	x006060	8	0.30447255979941334	0.24277992277992283	0.125	185	175	1
x004985	x010279	2	x004225	x006060	9	0.31301900066166677	0.25142857142857145	0.13725490196078433	185	175	1
x004985	x010279	2	x004225	x006060	10	0.3208048260121379	0.25389961389961396	0.13008130081300814	185	175	1
x004985	x010279	2	x004225	x006060	11	0.3523684598359178	0.2945173745173746	0.1440677966101695	185	175	1
x004985	x010279	2	x004225	x006060	12	0.34972682038211966	0.3054826254826255	0.13580246913580246	185	175	1
x004985	x010279	2	x004225	x006060	13	0.31048331827988307	0.2586872586872588	0.13409961685823754	185	175	1
x004985	x010279	2	x004225	x006060	14	0.3426772025546959	0.25806949806949814	0.14644351464435146	185	175	1
x004985	x010279	2	x004225	x006060	15	0.301123506573191	0.23861003861003866	0.124	185	175	1
x004985	x010279	2	x004225	x006060	16	0.313892018783533	0.2631660231660232	0.12653061224489795	185	175	1
x004985	x010279	2	x004225	x006060	17	0.3372712971038393	0.25992277992278	0.14049586776859505	185	175	1
x004985	x010279	2	x004225	x006060	18	0.34493497121561434	0.265945945945946	0.13559322033898305	185	175	1
x004985	x010279	2	x004225	x006060	19	0.30432886511402546	0.24061776061776063	0.11462450592885376	185	175	1
x004985	x010279	2	x004225	x006060	20	0.32604335254849703	0.2614671814671815	0.12244897959183673	185	175	1
x004985	x010279	3	x007926	x010314	1	0	0	0	116	167	1
x004985	x010279	3	x007926	x010314	2	0.17361452250603426	0.13555647326037581	0.09090909090909091	116	167	1
x004985	x010279	3	x007926	x010314	3	0.19481572163656768	0.14226718975841424	0.07920792079207921	116	167	1
x004985	x010279	3	x007926	x010314	4	0.26775537770571556	0.21794342349783186	0.11616161616161616	116	167	1
x004985	x010279	3	x007926	x010314	5	0.2713777975537872	0.20478009498244887	0.11904761904761904	116	167	1
x004985	x010279	3	x007926	x010314	6	0.27663657995335467	0.21267809209167865	0.12562814070351758	116	167	1
x004985	x010279	3	x007926	x010314	7	0.253254774143723	0.18872599628329548	0.12135922330097088	116	167	1
x004985	x010279	3	x007926	x010314	8	0.2767058215515006	0.21267809209167868	0.11940298507462686	116	167	1
x004985	x010279	3	x007926	x010314	9	0.23498902105552966	0.18944868882923807	0.0967741935483871	116	167	1
x004985	x010279	3	x007926	x010314	10	0.3512472920986356	0.2658476151145983	0.15706806282722513	116	167	1
x004985	x010279	3	x007926	x010314	11	0.23833377382755028	0.18082799917406564	0.11627906976744186	116	167	1
x004985	x010279	3	x007926	x010314	12	0.33696739245257545	0.2576915135246748	0.13903743315508021	116	167	1
x004985	x010279	3	x007926	x010314	13	0.2598725664582223	0.20524468304769763	0.11848341232227488	116	167	1
x004985	x010279	3	x007926	x010314	14	0.2698643408374011	0.20405740243650627	0.13106796116504854	116	167	1
x004985	x010279	3	x007926	x010314	15	0.25082304832697155	0.19925665909560186	0.1044776119402985	116	167	1
x004985	x010279	3	x007926	x010314	16	0.28775296981628584	0.22202147429279362	0.14146341463414633	116	167	1
x004985	x010279	3	x007926	x010314	17	0.3089154203867772	0.23998554614908113	0.12376237623762376	116	167	1
x004985	x010279	3	x007926	x010314	18	0.3600792062065028	0.29769770803221135	0.13978494623655913	116	167	1
x004985	x010279	3	x007926	x010314	19	0.2577492785672014	0.20333470989056368	0.11442786069651742	116	167	1
x004985	x010279	3	x007926	x010314	20	0.25585237512171655	0.20524468304769772	0.11374407582938388	116	167	1
x004625	x010314	1	x000027	x007926	1	6.106226635438361e-15	0	0	571	116	1
x004625	x010314	1	x000027	x007926	2	0.22116158524624718	0.15182076212331666	0.06772009029345373	571	116	1
x004625	x010314	1	x000027	x007926	3	0.26232415262859454	0.1863035207440063	0.06572769953051644	571	116	1
x004625	x010314	1	x000027	x007926	4	0.33819178398504923	0.2504227308412344	0.10024449877750612	571	116	1
x004625	x010314	1	x000027	x007926	5	0.3052605269084684	0.2127091007911106	0.09134615384615384	571	116	1
x004625	x010314	1	x000027	x007926	6	0.3435588508576787	0.24302494111963285	0.10194174757281553	571	116	1
x004625	x010314	1	x000027	x007926	7	0.3336190123358571	0.2265837309016246	0.11058823529411765	571	116	1
x004625	x010314	1	x000027	x007926	8	0.2983154963135013	0.22025786581315296	0.08413461538461539	571	116	1
x004625	x010314	1	x000027	x007926	9	0.2870984941948356	0.205296213539465	0.08428246013667426	571	116	1
x004625	x010314	1	x000027	x007926	10	0.4091752215260308	0.2997312639652153	0.11392405063291139	571	116	1
x004625	x010314	1	x000027	x007926	11	0.28817292225220936	0.2054320913098617	0.0857843137254902	571	116	1
x004625	x010314	1	x000027	x007926	12	0.3240614979577727	0.22712724198321158	0.08644859813084112	571	116	1
x004625	x010314	1	x000027	x007926	13	0.322255413500003	0.23197354912736282	0.10784313725490197	571	116	1
x004625	x010314	1	x000027	x007926	14	0.3368426684269069	0.23210942689775957	0.11347517730496454	571	116	1
