rank	token_a	token_b	count_a	count_b	persistence_1_5	mean_js_1_5	mean_js_6_10	mean_js_11_20	js_d1	percentile_d1	js_d2	percentile_d2	js_d3	percentile_d3	js_d5	percentile_d5	js_d10	percentile_d10	js_d20	percentile_d20
1	x004624	x010315	613	179	98.85846438482886	0.42168356482983127	0.3719360562154181	0.375432988289799	0.39303454497131707	97.2895467160037	0.41891453314786053	99.57446808510639	0.4337092346000415	99.24144310823311	0.4421649990709525	99.26919518963922	0.38546271937542065	97.84458834412581	0.3425787757022446	96.41073080481036
2	x004984	x010279	232	303	98.30712303422757	0.4013566688107112	0.36954429082232637	0.3618535622202705	0.4612657980959154	98.58464384828862	0.4037378234499066	99.39870490286772	0.396537691251007	98.64014801110083	0.3605732180144101	96.80851063829788	0.3667957112320722	97.14153561517114	0.34383074484510123	96.44773358001851
3	x004625	x010314	623	167	97.96669750231268	0.38185102648472224	0.35857411343109924	0.3709527228605984	0.40394174015928175	97.53006475485661	0.38424675907634986	99.19518963922295	0.3562440737564663	97.16928769657724	0.3855647030837904	97.99259944495837	0.34969811639435355	96.06845513413506	0.3336447958908324	95.87419056429232
4	x004985	x010279	229	303	97.11378353376504	0.3682352227659832	0.3557293885005649	0.37347362287493946	0.46787611073190316	98.70490286771508	0.33680405218057596	98.36262719703977	0.34459843051100203	96.6327474560592	0.3277223283463856	94.53283996299723	0.3659711997428875	97.08603145235892	0.3962734770765599	98.17761332099907
5	x004719	x010526	341	203	91.1581868640148	0.38085016673859035	0.3536579264281462	0.36465661312023284	0.6020076238422734	99.6854764107308	0.180291214433566	63.598519888991675	0.3395188790969861	96.34597594819611	0.37524987758817174	97.53006475485661	0.3563017955906247	96.51248843663275	0.3491861456280082	96.72525439407956
6	x004718	x010526	338	203	89.7687326549491	0.35829548153608276	0.35813108388577336	0.37108444562597265	0.5563297148054612	99.41720629047178	0.17180974891463985	59.60222016651249	0.3553135481775255	97.14153561517114	0.3329077073768262	94.94912118408881	0.36888585884440717	97.24329324699353	0.37416937287467067	97.64107308048104
7	x004719	x010527	341	182	88.55874190564292	0.3733226230250224	0.3417523920504984	0.3648495908983289	0.5977659909240753	99.66697502312674	0.15439161942730417	50.943570767807586	0.34115005524903874	96.43848288621646	0.368703377925349	97.16003700277521	0.35689541665337665	96.54949121184089	0.342158034365852	96.3922294172063
8	x009496	x010315	71	179	87.4967622571693	0.2946711138646587	0.2563027411694696	0.2193314088741209	0.4423533893325111	98.27937095282147	0.240372953698192	87.54856614246069	0.29293235919000504	93.45975948196114	0.20168258062079414	66.23496762257169	0.31475325716029434	93.56151711378354	0.2394459915768914	81.28584643848289
9	x006383	x010054	84	102	84.87511563367252	0.3387166201240556	0.22922749294167605	0.2262250447879846	0.6483464293475838	99.83348751156336	0.16228427550179303	55.03237742830712	0.3529554722387085	97.03977798334876	0.2500097412879173	82.82146160962073	0.22063390949600747	74.65309898242369	0.2037558408964515	69.70397779833488
10	x004718	x010054	338	102	83.90564292321923	0.3346167423087761	0.30401017253413376	0.3097038250975981	0.6309398206694543	99.77798334875115	0.135171957169263	40.93432007400555	0.2992036173935134	94.03330249768733	0.28758543515315205	90.17576318223867	0.25302817283000145	84.48658649398705	0.3195007423313476	94.69935245143385
