window_size	window_index	start	end	center	step	adjacent_js_distance	weighted_overlap	cosine_similarity	variation	local_peak	broad_transition
50	0	0	50	25	5	0	1	1		false	false
50	1	5	55	30	5	0.09103403047760239	0.9000000000000004	0.9263021722341547	moderate	true	false
50	2	10	60	35	5	0.07900134529890127	0.9000000000000005	0.9048759048763573	moderate	false	false
50	3	15	65	40	5	0.07535606553289845	0.9000000000000005	0.9164397149578761	low	false	false
50	4	20	70	45	5	0.09999999999999999	0.9000000000000005	0.9107142857142855	high	true	false
50	5	25	75	50	5	0.07635472023399721	0.9000000000000005	0.914336866128619	low	false	false
50	6	30	80	55	5	0.08	0.9200000000000004	0.9333333333333331	moderate	false	true
50	7	35	85	60	5	0.09245112497836531	0.9000000000000004	0.9153857298880941	high	false	true
50	8	40	90	65	5	0.09999999999999999	0.9000000000000004	0.9137931034482759	high	true	true
50	9	45	95	70	5	0.09999999999999999	0.9000000000000004	0.9137931034482759	high	false	true
50	10	50	100	75	5	0.09145247027726656	0.9000000000000005	0.9112956546121256	moderate	false	true
50	11	55	105	80	5	0.08490224995673064	0.9000000000000005	0.9074074074074074	moderate	false	false
50	12	60	110	85	5	0.09999999999999999	0.9000000000000005	0.9074074074074073	high	true	false
50	13	65	115	90	5	0.07735337493509596	0.9000000000000005	0.9092412093166347	moderate	false	false
50	14	70	120	95	5	0.09245112497836531	0.9000000000000005	0.9124211282466753	high	true	false
50	15	75	125	100	5	0.09145247027726656	0.9000000000000005	0.9171763507019711	moderate	false	false
50	16	80	130	105	5	0.09145247027726656	0.9000000000000005	0.9171763507019711	moderate	false	false
50	17	85	135	110	5	0.09245112497836531	0.9000000000000005	0.9153857298880937	high	true	false
50	18	90	140	115	5	0.07735337493509596	0.9000000000000005	0.9216805029374057	moderate	false	false
50	19	95	145	120	5	0.08390359525563189	0.9000000000000004	0.9254762227411245	moderate	true	false
50	20	100	150	125	5	0.06880584521236252	0.9000000000000004	0.9276336570439172	low	false	false
50	21	105	155	130	5	0.08490224995673062	0.9000000000000004	0.9309147740810201	moderate	true	false
50	22	110	160	135	5	0.07535606553289845	0.9000000000000004	0.9315942613970245	low	false	false
50	23	115	165	140	5	0.06780719051126377	0.9000000000000004	0.9305555555555552	low	false	false
50	24	120	170	145	5	0.0763547202339972	0.9000000000000004	0.9289506695219226	low	true	false
50	25	125	175	150	5	0.07245112497836532	0.9200000000000004	0.9404032585917877	low	false	false
50	26	130	180	155	5	0.09245112497836531	0.9000000000000004	0.9231861823449955	high	true	false
50	27	135	185	160	5	0.0763547202339972	0.9000000000000005	0.9198335447242615	low	false	false
50	28	140	190	165	5	0.06125697019072786	0.9000000000000005	0.9166666666666667	low	false	false
50	29	145	195	170	5	0.09145247027726656	0.9000000000000005	0.9143368661286194	moderate	true	false
50	30	150	200	175	5	0.06880584521236253	0.9000000000000005	0.9164397149578764	low	false	false
50	31	155	205	180	5	0.07735337493509595	0.9000000000000004	0.9207509207513813	moderate	false	false
50	32	160	210	185	5	0.09145247027726656	0.9000000000000005	0.9198335447242615	moderate	false	false
50	33	165	215	190	5	0.09245112497836531	0.9000000000000005	0.918156170097534	high	true	false
50	34	170	220	195	5	0.09245112497836531	0.9000000000000005	0.918156170097534	high	false	false
50	35	175	225	200	5	0.08490224995673064	0.9000000000000005	0.914336866128619	moderate	false	false
50	36	180	230	205	5	0.08490224995673064	0.9000000000000005	0.9143368661286191	moderate	false	false
50	37	185	235	210	5	0.08490224995673064	0.9000000000000004	0.9166666666666664	moderate	false	false
50	38	190	240	215	5	0.09145247027726656	0.9000000000000004	0.9198335447242614	moderate	true	false
50	39	195	245	220	5	0.06490224995673065	0.9200000000000004	0.9374999999999999	low	false	false
50	40	200	250	225	5	0.06125697019072785	0.9000000000000005	0.9198335447242614	low	false	false
50	41	205	255	230	5	0.07735337493509596	0.9000000000000005	0.915385729888094	moderate	false	false
50	42	210	260	235	5	0.09145247027726655	0.9000000000000005	0.9171763507019712	moderate	false	false
50	43	215	265	240	5	0.09999999999999999	0.9000000000000005	0.9193548387096773	high	true	false
50	44	220	270	245	5	0.09245112497836531	0.9000000000000005	0.9181561700975339	high	false	false
50	45	225	275	250	5	0.09145247027726656	0.9000000000000005	0.9198335447242614	moderate	false	false
50	46	230	280	255	5	0.06490224995673065	0.9200000000000004	0.9398255470157901	low	false	false
50	47	235	285	260	5	0.07535606553289845	0.9000000000000004	0.9276336570439174	low	false	false
50	48	240	290	265	5	0.09245112497836531	0.9000000000000004	0.9276336570439173	high	true	false
50	49	245	295	270	5	0.09145247027726656	0.9000000000000004	0.9246670704510193	moderate	false	false
50	50	250	300	275	5	0.08490224995673062	0.9000000000000005	0.921875	moderate	false	false
50	51	255	305	280	5	0.08490224995673064	0.9000000000000005	0.9198335447242613	moderate	false	false
50	52	260	310	285	5	0.09245112497836531	0.9000000000000005	0.9153857298880939	high	true	false
50	53	265	315	290	5	0.0763547202339972	0.9000000000000005	0.9112956546121254	low	false	true
50	54	270	320	295	5	0.09245112497836531	0.9000000000000005	0.9092412093166345	high	false	true
50	55	275	325	300	5	0.09999999999999999	0.9000000000000004	0.9107142857142855	high	true	true
50	56	280	330	305	5	0.09245112497836531	0.9000000000000005	0.9092412093166347	high	false	true
50	57	285	335	310	5	0.06490224995673063	0.9200000000000005	0.9291641968594221	low	false	true
50	58	290	340	315	5	0.09999999999999999	0.9000000000000004	0.9137931034482757	high	true	true
50	59	295	345	320	5	0.07735337493509595	0.9000000000000004	0.9124211282466749	moderate	false	true
50	60	300	350	325	5	0.09245112497836531	0.9000000000000004	0.9092412093166348	high	true	true
50	61	305	355	330	5	0.09245112497836531	0.9000000000000005	0.9092412093166347	high	false	true
50	62	310	360	335	5	0.08490224995673064	0.9000000000000005	0.9143368661286192	moderate	false	true
50	63	315	365	340	5	0.09245112497836531	0.9000000000000005	0.9153857298880939	high	true	true
50	64	320	370	345	5	0.09245112497836531	0.9000000000000005	0.9153857298880939	high	false	true
50	65	325	375	350	5	0.09245112497836531	0.9000000000000004	0.9153857298880939	high	false	true
50	66	330	380	355	5	0.09999999999999999	0.9000000000000004	0.9137931034482757	high	true	true
50	67	335	385	360	5	0.05470674987019192	0.9000000000000005	0.9171763507019711	low	false	true
50	68	340	390	365	5	0.06880584521236252	0.9000000000000005	0.918156170097534	low	false	false
50	69	345	395	370	5	0.09245112497836531	0.9000000000000005	0.9153857298880939	high	true	false
50	70	350	400	375	5	0.07245112497836532	0.9200000000000005	0.9323373174786141	low	false	false
