candidate_id	replication_status	positive_effect_blocks	negative_effect_blocks	effect_sign_consistency	unweighted_mean_standardized_effect	weighted_mean_standardized_effect	within_group_transfer	cross_group_transfer
distance-profile:x003821:x010055	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x004624:x010315	SINGLE_BLOCK_DRIVEN	1	0	1	1.8978556788231367	0.9941148793835478	false	false
distance-profile:x004625:x010314	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x004718:x010054	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x004718:x010055	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x004718:x010526	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x004719:x010526	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x004719:x010527	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x004929:x010054	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x004984:x010279	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x004985:x010279	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x005730:x010485	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x005730:x010617	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x005731:x010617	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x005842:x010617	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x005843:x010616	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x005843:x010617	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x006050:x010484	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x006348:x010055	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x006383:x010054	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x006383:x010055	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x008248:x010617	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x008352:x010617	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x008353:x010617	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x009496:x010315	NOT_SIGNIFICANT	0	0	0	0	0	false	false
distance-profile:x009497:x010315	NOT_SIGNIFICANT	0	0	0	0	0	false	false
