rank	token_a	token_b	mean_token_js_1_5	mean_projected_js_1_5	mean_ablated_projected_js_1_5	projection_gain_1_5	projection_gain_percentile	gain_6_10	gain_11_20
1	x005842	x010617	0.1945360259244477	0.3228748464397799	0.44292570640744505	0.12833882051533219	82.5	0.1468571250752422	0.16498730216712212
2	x005843	x010616	0.18524152576956873	0.30729538925298067	0.44645220811263153	0.12205386348341189	91	0.14776775691702698	0.13120967142731507
3	x005843	x010617	0.20315093169843443	0.3156273026128441	0.4365815224429303	0.11247637091440965	98	0.14730020323748902	0.13899360264300828
4	x008352	x010617	0.21612858604633525	0.32800691695682954	0.45034930990092475	0.11187833091049433	31	0.15925997906132575	0.12835028420433875
5	x006050	x010484	0.1874707852771768	0.29723988092316234	0.44129985406776306	0.10976909564598554	58	0.1491296113462059	0.12972619632330457
6	x009497	x010315	0.28315280223329	0.39242651162468345	0.5340918733394057	0.1092737093913935	96	0.13248150711267753	0.11602286474713353
7	x009496	x010315	0.2946711138646587	0.39779070309010933	0.5371872344851443	0.10311958922545061	22	0.10307492557523683	0.12603961856629142
8	x008353	x010617	0.23700309097948766	0.3398565330085385	0.515831468930058	0.10285344202905089	27	0.12407239099060959	0.12898420161861918
9	x005730	x010617	0.25885055356161407	0.3540044587022192	0.49152946326612534	0.09515390514060511	22	0.1435241394153405	0.14925951368508245
10	x004929	x010054	0.2406563566736848	0.3354704563621438	0.48849687787849627	0.09481409968845902	57.5	0.13560169474176817	0.13319270913684958
11	x005730	x010485	0.20017777287883715	0.29360338466534036	0.4619540148846884	0.09342561178650319	4.5	0.14553987905261806	0.10600603031308994
12	x005731	x010617	0.23007357093067798	0.32203335337695427	0.4736286570195391	0.09195978244627623	1	0.16100512851310683	0.12343544925938539
13	x008248	x010617	0.23862179286914637	0.32598784902249134	0.4803799830347316	0.08736605615334503	1	0.15618267268970543	0.15864751379429182
14	x003821	x010055	0.2711917389720438	0.3540168179787882	0.5145167656421867	0.08282507900674449	14	0.13572807732550307	0.125807065828302
15	x006383	x010054	0.3387166201240556	0.42147608152727234	0.538081191222817	0.08275946140321663	64.5	0.1142311410191256	0.12882998337406598
16	x006348	x010055	0.33430783121318897	0.4168399879744996	0.5278678023964047	0.08253215676131058	25.5	0.10681432084015982	0.09519881069183941
17	x004718	x010054	0.3346167423087761	0.41182473261482616	0.5292728427562189	0.0772079903060501	0	0.09593554163594557	0.09437490108041754
18	x006383	x010055	0.3310047549708863	0.40801833130464804	0.5331574259421163	0.07701357633376178	9	0.13878934057557712	0.12331526225784221
19	x004985	x010279	0.3682352227659832	0.44484295075427605	0.5418365719725436	0.07660772798829288	0	0.0900361628868634	0.08494573672413443
20	x004718	x010055	0.34832199241323	0.4178141640501356	0.5323442494478428	0.06949217163690566	0	0.10282497809337676	0.10364189484918773
21	x004625	x010314	0.38185102648472224	0.4497090066823663	0.5898080499637646	0.06785798019764415	0.5	0.09386919953706718	0.08400437851263762
22	x004624	x010315	0.42168356482983127	0.4856397603338138	0.6110398579018254	0.06395619550398254	0	0.08312414496516943	0.0883304050510354
23	x004984	x010279	0.4013566688107112	0.46444842385821106	0.5609391676904483	0.06309175504749993	1	0.07820639623019596	0.0897349749774387
24	x004719	x010526	0.38085016673859035	0.441476535940434	0.5420404273065917	0.06062636920184357	0.5	0.08261351641446535	0.08788232464333073
25	x004718	x010526	0.35829548153608276	0.41778464704773166	0.5248225798768315	0.059489165511648776	0	0.084508628797029	0.07840135551934879
26	x004719	x010527	0.3733226230250224	0.4303860134778511	0.5272311123507727	0.05706339045282875	7	0.09128890814282054	0.07285787915270912
