block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G0/generic#0	G1/generic#0	102	94	68	0.53125	0.6461366518	0
G0/generic#0	G2/generic#0	102	97	71	0.5546875	0.7181602978	0
G0/generic#0	G3/generic#0	102	111	82	0.6259541985	0.7335687435	0
G0/generic#0	G0/generic#1	102	103	75	0.5769230769	0.6971008412	0
G0/generic#0	G1/generic#1	102	86	70	0.593220339	0.7237117938	0
G0/generic#0	G2/generic#1	102	62	46	0.3898305085	0.5773956069	0
G0/generic#0	G3/generic#1	102	82	67	0.5726495726	0.680382228	0
G0/generic#0	G0/generic#2	102	105	76	0.5801526718	0.6836035589	0
G0/generic#0	G1/generic#2	102	82	57	0.4488188976	0.5928166119	0
G0/generic#0	G2/generic#2	102	104	80	0.6349206349	0.7596796496	1
G0/generic#0	G3/generic#2	102	99	72	0.5581395349	0.698334786	0
G0/generic#0	G0/generic#3	102	110	82	0.6307692308	0.7379754406	0
G0/generic#0	G1/generic#3	102	108	78	0.5909090909	0.7362960805	0
G0/generic#0	G2/generic#3	102	93	66	0.511627907	0.6691898743	1
G0/generic#0	G3/generic#3	102	89	73	0.6186440678	0.6966382747	0
G0/generic#0	G0/generic#4	102	88	64	0.5079365079	0.6228097465	0
G0/generic#0	G1/generic#4	102	99	74	0.5826771654	0.6631634642	0
G0/generic#0	G2/generic#4	102	111	81	0.6136363636	0.7305445678	0
G0/generic#0	G3/generic#4	102	93	70	0.56	0.6874720329	0
G0/generic#0	G0/generic#5	102	101	70	0.5263157895	0.6579915043	0
G0/generic#0	G1/generic#5	102	94	76	0.6333333333	0.7657546268	0
G0/generic#0	G2/generic#5	102	71	56	0.4786324786	0.6291643916	0
G0/generic#0	G3/generic#5	102	98	71	0.5503875969	0.7087129536	0
G0/generic#0	G0/generic#6	102	89	67	0.5403225806	0.6354086798	0
G0/generic#0	G1/generic#6	102	84	68	0.5762711864	0.7030594135	0
G0/generic#0	G2/generic#6	102	62	48	0.4137931034	0.623605415	0
G0/generic#0	G3/generic#6	102	67	44	0.352	0.5077393972	0
G0/generic#0	G0/generic#7	102	99	71	0.5461538462	0.7106872274	0
G0/generic#0	G1/generic#7	102	100	69	0.5187969925	0.6785638357	0
G0/generic#0	G2/generic#7	102	66	44	0.3548387097	0.5374900316	0
G0/generic#0	G3/generic#7	102	70	53	0.4453781513	0.6026663151	0
G0/generic#0	G0/generic#8	102	81	69	0.6052631579	0.7088706435	1
G0/generic#0	G1/generic#8	102	75	58	0.487394958	0.6228955223	0
