source	target	sign	permutations	empirical_p	fdr_q	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000026	x000924	preferred	1000	0.07792207792	0.2932091273	0.5	0.02474638297	EXPECTED_FROM_NULL
x000026	x000925	preferred	1000	1	1	1	0.02837243603	EXPECTED_FROM_NULL
x000026	x001002	preferred	1000	1	1	1	0.02282113072	EXPECTED_FROM_NULL
x000026	x001182	preferred	1000	1	1	1	0.02497420108	EXPECTED_FROM_NULL
x000026	x001389	preferred	1000	1	1	0.5	0.02716765369	EXPECTED_FROM_NULL
x000026	x001821	preferred	1000	1	1	0	0.02495069032	EXPECTED_FROM_NULL
x000026	x002326	preferred	1000	0.1478521479	0.4181139317	1	0.02568470537	EXPECTED_FROM_NULL
x000026	x002327	preferred	1000	0.1198801199	0.3691528357	1	0.02644101425	EXPECTED_FROM_NULL
x000026	x003356	preferred	1000	0.08691308691	0.3079725555	0.5	0.02739965514	EXPECTED_FROM_NULL
x000026	x003357	preferred	1000	0.2007992008	0.5133128776	1	0.03077816775	EXPECTED_FROM_NULL
x000026	x003513	preferred	1000	1	1	0.25	0.02380347479	EXPECTED_FROM_NULL
x000026	x003766	preferred	1000	1	1	1	0.02395214161	EXPECTED_FROM_NULL
x000026	x003767	preferred	1000	1	1	1	0.02576322701	EXPECTED_FROM_NULL
x000026	x003806	preferred	1000	0.03296703297	0.1886089044	1	0.0236183162	EXPECTED_FROM_NULL
x000026	x003807	preferred	10000	0.003499650035	0.05964218393	0.5	0.02470178513	EXPECTED_FROM_NULL
x000026	x004066	preferred	1000	0.1078921079	0.3468268259	1	0.02635552899	EXPECTED_FROM_NULL
x000026	x004067	preferred	1000	0.1408591409	0.4076435694	0.5	0.02781655468	EXPECTED_FROM_NULL
x000026	x004112	preferred	10000	0.000199980002	0.008946327589	0.1666666667	0.02789001817	BACKBONE_PREFERRED
x000026	x004113	preferred	1000	0.03496503497	0.1938423023	0.25	0.03175606482	EXPECTED_FROM_NULL
x000026	x004242	preferred	1000	0.1668331668	0.451571118	1	0.02919484216	EXPECTED_FROM_NULL
x000026	x004243	preferred	1000	0.06493506494	0.268837846	1	0.02538428002	EXPECTED_FROM_NULL
x000026	x004258	preferred	1000	0.1848151848	0.4843691703	1	0.02890537118	EXPECTED_FROM_NULL
x000026	x004389	preferred	1000	1	1	1	0.02432204597	EXPECTED_FROM_NULL
x000026	x004555	preferred	1000	1	1	1	0.02635702366	EXPECTED_FROM_NULL
x000026	x005083	preferred	1000	0.1428571429	0.4097443073	1	0.02606337584	EXPECTED_FROM_NULL
x000026	x005243	preferred	1000	0.1388611389	0.4040395016	1	0.02815575418	EXPECTED_FROM_NULL
x000026	x005263	preferred	1000	1	1	1	0.02285978993	EXPECTED_FROM_NULL
x000026	x005380	preferred	1000	1	1	1	0.02789714169	EXPECTED_FROM_NULL
x000026	x005381	preferred	1000	1	1	1	0.02565706785	EXPECTED_FROM_NULL
x000026	x005446	preferred	10000	0.000299970003	0.01136709858	0.1111111111	0.03219364317	BACKBONE_PREFERRED
x000026	x005447	preferred	1000	0.2057942058	0.5219394778	0.1666666667	0.03178101562	EXPECTED_FROM_NULL
x000026	x005488	preferred	1000	0.1648351648	0.4503257557	0.3333333333	0.02790942588	EXPECTED_FROM_NULL
x000026	x005489	preferred	1000	0.01498501499	0.1359626289	0.5	0.02745530431	EXPECTED_FROM_NULL
x000026	x005630	preferred	10000	9.9990001e-05	0.006076750815	0.2	0.03217599857	SIGNIFICANT_UNSTABLE
x000026	x005631	preferred	10000	9.9990001e-05	0.006076750815	0.125	0.03861188471	BACKBONE_PREFERRED
x000026	x005722	preferred	10000	0.001399860014	0.03364887392	0.3333333333	0.0265869889	BACKBONE_PREFERRED
x000026	x005723	preferred	1000	1	1	1	0.02738153561	EXPECTED_FROM_NULL
x000026	x005923	preferred	10000	0.000399960004	0.0138523782	0.3333333333	0.02481575826	BACKBONE_PREFERRED
x000026	x005966	preferred	1000	0.1978021978	0.5096967033	1	0.03016364849	EXPECTED_FROM_NULL
x000026	x005967	preferred	1000	0.0979020979	0.3264416743	1	0.03075005228	EXPECTED_FROM_NULL
x000026	x005988	preferred	1000	0.04395604396	0.2168184036	0.5	0.02273965525	EXPECTED_FROM_NULL
x000026	x005989	preferred	1000	1	1	0.25	0.02394062962	EXPECTED_FROM_NULL
x000026	x006387	preferred	1000	1	1	0	0.04427488588	EXPECTED_FROM_NULL
