token	block	direction	conditional_entropy	effective_successor_predecessor_count	baseline_entropy	entropy_effect	eligible
x000026	G0/generic#0	outgoing	6.321124978	556.1983517	5.75103355	0.5700914285	true
x000027	G0/generic#0	outgoing	6.325637371	558.7138085	5.75103355	0.5746038218	true
x000356	G0/generic#0	outgoing	6.323366887	557.4466963	5.75103355	0.5723333371	true
x000357	G0/generic#0	outgoing	6.3189113	554.9684692	5.75103355	0.5678777503	true
x001268	G0/generic#0	outgoing	6.321124978	556.1983517	5.75103355	0.5700914285	true
x004224	G0/generic#0	outgoing	6.325637371	558.7138085	5.75103355	0.5746038218	true
x004352	G0/generic#0	outgoing	6.309900522	549.9902341	5.75103355	0.5588669723	true
x004472	G0/generic#0	outgoing	6.3189113	554.9684692	5.75103355	0.5678777503	true
x004473	G0/generic#0	outgoing	6.321124978	556.1983517	5.75103355	0.5700914285	true
x004624	G0/generic#0	outgoing	6.292209021	540.3456465	5.75103355	0.5411754713	true
x004625	G0/generic#0	outgoing	6.309900522	549.9902341	5.75103355	0.5588669723	true
x004984	G0/generic#0	outgoing	6.3189113	554.9684692	5.75103355	0.5678777503	true
x004985	G0/generic#0	outgoing	6.323366887	557.4466963	5.75103355	0.5723333371	true
x005005	G0/generic#0	outgoing	6.314171975	552.3445159	5.75103355	0.5631384249	true
x006060	G0/generic#0	outgoing	6.323366887	557.4466963	5.75103355	0.5723333371	true
x006061	G0/generic#0	outgoing	6.321124978	556.1983517	5.75103355	0.5700914285	true
x006349	G0/generic#0	outgoing	6.312436264	551.3866371	5.75103355	0.5614027141	true
x009463	G0/generic#0	outgoing	6.314171975	552.3445159	5.75103355	0.5631384249	true
x009464	G0/generic#0	outgoing	6.316725511	553.7567501	5.75103355	0.5656919615	true
x009465	G0/generic#0	outgoing	6.310332149	550.2276759	5.75103355	0.559298599	true
x009634	G0/generic#0	outgoing	6.312022668	551.158633	5.75103355	0.5609891182	true
x010527	G0/generic#0	outgoing	6.3189113	554.9684692	5.75103355	0.5678777503	true
x010700	G0/generic#0	outgoing	6.321124978	556.1983517	5.75103355	0.5700914285	true
x000026	G0/generic#0	incoming	6.310332149	550.2276759	5.75103355	0.559298599	true
x004224	G0/generic#0	incoming	6.311618438	550.9358832	5.75103355	0.5605848884	true
x004472	G0/generic#0	incoming	6.314567276	552.5629016	5.75103355	0.5635337263	true
x004624	G0/generic#0	incoming	6.30825461	549.0857429	5.75103355	0.5572210598	true
x004625	G0/generic#0	incoming	6.305278274	547.4539093	5.75103355	0.5542447246	true
x009464	G0/generic#0	incoming	6.310332149	550.2276759	5.75103355	0.559298599	true
x009465	G0/generic#0	incoming	6.281994963	534.8546152	5.75103355	0.5309614129	true
x000026	G1/generic#0	outgoing	6.312022668	551.158633	5.70508575	0.6069369175	true
x000027	G1/generic#0	outgoing	6.323366887	557.4466963	5.70508575	0.6182811363	true
x000356	G1/generic#0	outgoing	6.3189113	554.9684692	5.70508575	0.6138255495	true
x000357	G1/generic#0	outgoing	6.323366887	557.4466963	5.70508575	0.6182811363	true
x004353	G1/generic#0	outgoing	6.314171975	552.3445159	5.70508575	0.6090862241	true
x004624	G1/generic#0	outgoing	6.307805211	548.8390403	5.70508575	0.602719461	true
x004625	G1/generic#0	outgoing	6.314171975	552.3445159	5.70508575	0.6090862241	true
x004718	G1/generic#0	outgoing	6.314171975	552.3445159	5.70508575	0.6090862241	true
x004719	G1/generic#0	outgoing	6.308039548	548.9676684	5.70508575	0.6029537975	true
x004984	G1/generic#0	outgoing	6.316725511	553.7567501	5.70508575	0.6116397607	true
x004985	G1/generic#0	outgoing	6.323366887	557.4466963	5.70508575	0.6182811363	true
x005004	G1/generic#0	outgoing	6.314567276	552.5629016	5.70508575	0.6094815256	true
x006060	G1/generic#0	outgoing	6.325637371	558.7138085	5.70508575	0.620551621	true
x006061	G1/generic#0	outgoing	6.3189113	554.9684692	5.70508575	0.6138255495	true
x006348	G1/generic#0	outgoing	6.314567276	552.5629016	5.70508575	0.6094815256	true
x006349	G1/generic#0	outgoing	6.3189113	554.9684692	5.70508575	0.6138255495	true
x008668	G1/generic#0	outgoing	6.323366887	557.4466963	5.70508575	0.6182811363	true
x009464	G1/generic#0	outgoing	6.327936784	560	5.70508575	0.6228510333	true
x009465	G1/generic#0	outgoing	6.30118431	545.2172341	5.70508575	0.5960985594	true
x009634	G1/generic#0	outgoing	6.316725511	553.7567501	5.70508575	0.6116397607	true
x009635	G1/generic#0	outgoing	6.316348772	553.5481676	5.70508575	0.6112630216	true
x010279	G1/generic#0	outgoing	6.323366887	557.4466963	5.70508575	0.6182811363	true
x010415	G1/generic#0	outgoing	6.314567276	552.5629016	5.70508575	0.6094815256	true
x000026	G1/generic#0	incoming	6.30825461	549.0857429	5.70508575	0.6031688591	true
x004624	G1/generic#0	incoming	6.314567276	552.5629016	5.70508575	0.6094815256	true
x004625	G1/generic#0	incoming	6.310332149	550.2276759	5.70508575	0.6052463982	true
x004719	G1/generic#0	incoming	6.316725511	553.7567501	5.70508575	0.6116397607	true
x009464	G1/generic#0	incoming	6.299685986	544.4009337	5.70508575	0.5946002354	true
x009465	G1/generic#0	incoming	6.281994963	534.8546152	5.70508575	0.5769092121	true
x000026	G2/generic#0	outgoing	6.321124978	556.1983517	5.66955751	0.6515674685	true
x000027	G2/generic#0	outgoing	6.316725511	553.7567501	5.66955751	0.6471680014	true
x000356	G2/generic#0	outgoing	6.312022668	551.158633	5.66955751	0.6424651582	true
x000357	G2/generic#0	outgoing	6.321124978	556.1983517	5.66955751	0.6515674685	true
x003706	G2/generic#0	outgoing	6.321124978	556.1983517	5.66955751	0.6515674685	true
x004344	G2/generic#0	outgoing	6.314567276	552.5629016	5.66955751	0.6450097663	true
x004345	G2/generic#0	outgoing	6.3189113	554.9684692	5.66955751	0.6493537902	true
x004624	G2/generic#0	outgoing	6.312022668	551.158633	5.66955751	0.6424651582	true
x004625	G2/generic#0	outgoing	6.30620333	547.960569	5.66955751	0.6366458203	true
x004718	G2/generic#0	outgoing	6.316725511	553.7567501	5.66955751	0.6471680014	true
x004719	G2/generic#0	outgoing	6.3189113	554.9684692	5.66955751	0.6493537902	true
x004984	G2/generic#0	outgoing	6.323366887	557.4466963	5.66955751	0.653809377	true
x004985	G2/generic#0	outgoing	6.307805211	548.8390403	5.66955751	0.6382477017	true
x005004	G2/generic#0	outgoing	6.305278274	547.4539093	5.66955751	0.6357207645	true
x005005	G2/generic#0	outgoing	6.312022668	551.158633	5.66955751	0.6424651582	true
x005739	G2/generic#0	outgoing	6.3189113	554.9684692	5.66955751	0.6493537902	true
x006060	G2/generic#0	outgoing	6.325637371	558.7138085	5.66955751	0.6560798617	true
x006348	G2/generic#0	outgoing	6.312022668	551.158633	5.66955751	0.6424651582	true
x006349	G2/generic#0	outgoing	6.312022668	551.158633	5.66955751	0.6424651582	true
x009462	G2/generic#0	outgoing	6.312436264	551.3866371	5.66955751	0.6428787541	true
x009464	G2/generic#0	outgoing	6.316725511	553.7567501	5.66955751	0.6471680014	true
x009465	G2/generic#0	outgoing	6.314567276	552.5629016	5.66955751	0.6450097663	true
x009635	G2/generic#0	outgoing	6.301677112	545.4859845	5.66955751	0.6321196023	true
x010055	G2/generic#0	outgoing	6.30947806	549.7579332	5.66955751	0.6399205501	true
x010527	G2/generic#0	outgoing	6.316348772	553.5481676	5.66955751	0.6467912623	true
x010700	G2/generic#0	outgoing	6.303849752	546.6724176	5.66955751	0.6342922423	true
x010701	G2/generic#0	outgoing	6.316725511	553.7567501	5.66955751	0.6471680014	true
x010704	G2/generic#0	outgoing	6.325637371	558.7138085	5.66955751	0.6560798617	true
x000026	G2/generic#0	incoming	6.307805211	548.8390403	5.66955751	0.6382477017	true
x000027	G2/generic#0	incoming	6.302178307	545.7594481	5.66955751	0.6326207978	true
x004344	G2/generic#0	incoming	6.308039548	548.9676684	5.66955751	0.6384820382	true
x004345	G2/generic#0	incoming	6.312022668	551.158633	5.66955751	0.6424651582	true
x004624	G2/generic#0	incoming	6.310332149	550.2276759	5.66955751	0.6407746389	true
x004625	G2/generic#0	incoming	6.30825461	549.0857429	5.66955751	0.6386970998	true
x004984	G2/generic#0	incoming	6.311618438	550.9358832	5.66955751	0.6420609283	true
x004985	G2/generic#0	incoming	6.312436264	551.3866371	5.66955751	0.6428787541	true
x005004	G2/generic#0	incoming	6.314567276	552.5629016	5.66955751	0.6450097663	true
x005005	G2/generic#0	incoming	6.316725511	553.7567501	5.66955751	0.6471680014	true
x006060	G2/generic#0	incoming	6.316725511	553.7567501	5.66955751	0.6471680014	true
x009464	G2/generic#0	incoming	6.293303907	540.9375877	5.66955751	0.6237463977	true
x009465	G2/generic#0	incoming	6.29082854	539.6002245	5.66955751	0.6212710307	true
x010700	G2/generic#0	incoming	6.309900522	549.9902341	5.66955751	0.6403430122	true
x010701	G2/generic#0	incoming	6.310332149	550.2276759	5.66955751	0.6407746389	true
x000026	G3/generic#0	outgoing	6.321124978	556.1983517	5.785321603	0.5358033753	true
x000027	G3/generic#0	outgoing	6.316348772	553.5481676	5.785321603	0.5310271692	true
x000356	G3/generic#0	outgoing	6.323366887	557.4466963	5.785321603	0.5380452838	true
x000357	G3/generic#0	outgoing	6.323366887	557.4466963	5.785321603	0.5380452838	true
x004352	G3/generic#0	outgoing	6.325637371	558.7138085	5.785321603	0.5403157686	true
x004353	G3/generic#0	outgoing	6.321124978	556.1983517	5.785321603	0.5358033753	true
