token	direction	global_count	eligible_blocks	joint_classes	pairwise_js_mean	pairwise_js_median	pairwise_js_min	pairwise_js_sd	lobo_median_correlation	lobo_mean_correlation	lobo_median_spearman	sign_agreement	permutation_p	sign_permutation_p	entropy_effect	entropy_sign_consistency	entropy_permutation_p	entropy_status	replicated
x000026	outgoing	520	55	4	0.9966408381	0.9966618446	0.9910499729	0.001358995029	0.6948476446	0.6942421862	0.4775261763	0.8815909091	0.000999000999	0.2427572428	0.5554211753	1	0.000999000999	REPRODUCIBLY_BROAD	false
x000027	outgoing	571	60	4	0.9965280484	0.9966618446	0.990923422	0.001588518049	0.6914426786	0.6928426939	0.4786897894	0.8808928571	0.000999000999	0.2627372627	0.5487077267	1	0.000999000999	REPRODUCIBLY_BROAD	false
x000272	outgoing	89	2	2	0.9946838908	0.9946838908	0.9946838908	0	0.4878356779	0.4878356779	0.3547358538	0.8410714286	0.000999000999	0.000999000999	0.599207788	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000273	outgoing	97	2	2	0.9953585623	0.9953585623	0.9953585623	0	0.4560743287	0.4560743287	0.3382952597	0.8142857143	0.000999000999	0.000999000999	0.525664329	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000319	outgoing	32	1	1	0	0	1	0	0	0	0	0.1714285714	0.000999000999	0.000999000999	0.5869952451	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000356	outgoing	591	54	4	0.9922290725	0.9923080098	0.9818621836	0.002518244692	0.6790469193	0.6780458005	0.4737307469	0.8850859788	0.4085914086	0.4315684316	0.549058434	1	0.07192807193	INSUFFICIENT_SUPPORT	false
x000357	outgoing	596	59	4	0.9924620258	0.9927561312	0.9806716971	0.002516179315	0.6807308618	0.6765362291	0.4742178722	0.8761198547	0.1528471528	0.4855144855	0.5481681991	1	0.2387612388	INSUFFICIENT_SUPPORT	false
x000472	outgoing	68	1	1	0	0	1	0	0	0	0	0.1267857143	0.000999000999	0.000999000999	0.4827928591	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000526	outgoing	168	8	3	0.9940620716	0.9941554203	0.9916440461	0.001519239685	0.6294390125	0.6345151076	0.416571534	0.8803571429	0.995004995	0.7152847153	0.5555713885	1	1	INSUFFICIENT_SUPPORT	false
x000527	outgoing	159	6	4	0.9942104692	0.994164445	0.9908258971	0.001747029702	0.6224927534	0.6265823831	0.415847597	0.8901785714	0.9260739261	0.1558441558	0.5837579343	1	0.5594405594	INSUFFICIENT_SUPPORT	false
x000584	outgoing	175	15	4	0.9946056408	0.9946838908	0.9915657863	0.001487652922	0.6821746027	0.6723453083	0.4902116149	0.8741666667	0.7412587413	0.7382617383	0.5585853107	1	0.6973026973	INSUFFICIENT_SUPPORT	false
x000585	outgoing	171	8	4	0.9936389366	0.9935830691	0.989713077	0.001691932228	0.6359577157	0.6450373662	0.4307831579	0.8799107143	0.989010989	0.1258741259	0.5534498137	1	0.993006993	INSUFFICIENT_SUPPORT	false
x000612	outgoing	12	1	1	0	0	1	0	0	0	0	0.1839285714	0.000999000999	0.000999000999	0.5363555269	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000744	outgoing	140	7	3	0.9952928728	0.9953585623	0.993513751	0.0009960769261	0.6606842809	0.6401858016	0.4857254336	0.8783163265	0.000999000999	0.7402597403	0.5635080144	1	0.5624375624	INSUFFICIENT_SUPPORT	false
x000745	outgoing	121	6	4	0.9955758007	0.9959988295	0.9935284717	0.001214089267	0.6371255931	0.646862242	0.4382626907	0.8601190476	0.4855144855	0.6063936064	0.5346529731	1	0.3656343656	INSUFFICIENT_SUPPORT	false
x000799	outgoing	66	1	1	0	0	1	0	0	0	0	0.1857142857	0.000999000999	0.000999000999	0.6008750037	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x001268	outgoing	124	6	3	0.9940217334	0.9936516407	0.9915657863	0.001655424644	0.6021055006	0.6072970953	0.3798359741	0.8803571429	0.991008991	0.8461538462	0.5211107558	1	0.989010989	INSUFFICIENT_SUPPORT	false
x001269	outgoing	151	8	3	0.9951859401	0.9950223923	0.993513751	0.001149068497	0.6459127592	0.633315092	0.4112555832	0.8589285714	0.2597402597	0.7492507493	0.534513547	1	0.975024975	INSUFFICIENT_SUPPORT	false
x001277	outgoing	69	1	1	0	0	1	0	0	0	0	0.1892857143	0.000999000999	0.000999000999	0.6323011473	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x001312	outgoing	51	1	1	0	0	1	0	0	0	0	0.1642857143	0.000999000999	0.000999000999	0.4387811273	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x002079	outgoing	71	2	2	0.9941390091	0.9941390091	0.9941390091	0	0.4993341991	0.4993341991	0.3825804163	0.8285714286	0.000999000999	0.000999000999	0.5757574941	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x002794	outgoing	59	2	2	0.9946838908	0.9946838908	0.9946838908	0	0.4572483132	0.4572483132	0.3371542433	0.825	0.000999000999	0.000999000999	0.5493825709	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x003706	outgoing	147	7	3	0.9943773287	0.9947025438	0.990938666	0.001871489003	0.6559980996	0.6369613207	0.441205103	0.8801020408	0.6343656344	0.8751248751	0.575077038	1	0.9060939061	INSUFFICIENT_SUPPORT	false
x003707	outgoing	147	8	3	0.9941108975	0.9940981793	0.9922144167	0.001021734755	0.6595254454	0.6451146318	0.4271211649	0.8783482143	0.7482517483	0.971028971	0.5360569112	1	0.995004995	INSUFFICIENT_SUPPORT	false
x003820	outgoing	84	1	1	0	0	1	0	0	0	0	0.1553571429	0.000999000999	0.000999000999	0.5763235596	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x004224	outgoing	172	13	4	0.9948343896	0.9953585623	0.9886332039	0.00205859457	0.676274994	0.671929068	0.4640416511	0.8870879121	0.5554445554	0.4595404595	0.5664347734	1	0.8641358641	INSUFFICIENT_SUPPORT	false
x004225	outgoing	185	9	4	0.9953187823	0.9954178565	0.9904248467	0.001880277711	0.698294131	0.6977101959	0.4926586239	0.8912698413	0.004995004995	0.08791208791	0.5960466302	1	0.6383616384	INSUFFICIENT_SUPPORT	false
x004344	outgoing	175	12	4	0.9946830084	0.9946838908	0.9922312413	0.001116848331	0.6495093205	0.662355848	0.4547263182	0.8921130952	0.7172827173	0.3986013986	0.5400510075	1	0.5004995005	INSUFFICIENT_SUPPORT	false
x004345	outgoing	168	9	4	0.9946953373	0.9945489641	0.9922136807	0.001305477838	0.6760268562	0.6701049356	0.4414745174	0.8561507937	0.3846153846	0.05394605395	0.6323998092	1	0.8601398601	INSUFFICIENT_SUPPORT	false
x004352	outgoing	323	33	4	0.9934177683	0.9935510794	0.9864760951	0.002157074741	0.6952367169	0.6900723065	0.477371987	0.8831709957	0.06693306693	0.5974025974	0.5588669723	1	0.8311688312	INSUFFICIENT_SUPPORT	false
x004353	outgoing	322	36	4	0.9941447288	0.9941718316	0.9869572717	0.001927959932	0.6837366767	0.6889223457	0.4696065446	0.8774801587	0.6163836164	0.9180819181	0.5557558318	1	0.959040959	INSUFFICIENT_SUPPORT	false
x004418	outgoing	61	2	2	0.993513751	0.993513751	0.993513751	0	0.4633360879	0.4633360879	0.3607037665	0.8303571429	0.000999000999	0.000999000999	0.5430636443	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x004419	outgoing	56	3	2	0.9964506223	0.9966782834	0.9953422408	0.00101390528	0.5637836388	0.5757737505	0.4005611957	0.8678571429	0.02797202797	0.1958041958	0.5251000245	1	0.04495504496	REPRODUCIBLY_BROAD	false
x004422	outgoing	45	1	1	0	0	1	0	0	0	0	0.1321428571	0.000999000999	0.000999000999	0.5434288737	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x004423	outgoing	47	2	2	0.9922136807	0.9922136807	0.9922136807	0	0.4564296063	0.4564296063	0.3165452709	0.6732142857	0.000999000999	0.000999000999	0.5040722771	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x004458	outgoing	104	4	3	0.992375626	0.9933062557	0.9897660227	0.001576688382	0.6208580951	0.6104351874	0.4086245936	0.8803571429	0.958041958	0.8781218781	0.5952631687	1	0.9390609391	INSUFFICIENT_SUPPORT	false
x004459	outgoing	108	3	2	0.9921016303	0.9927307657	0.9908020153	0.001125689465	0.53288566	0.5514639596	0.352124924	0.8541666667	0.8471528472	0.5264735265	0.6376444766	1	0.8621378621	INSUFFICIENT_SUPPORT	false
x004472	outgoing	264	22	4	0.9963106534	0.9966618446	0.9933862538	0.001243024967	0.7059513951	0.6965044474	0.4676279585	0.8852272727	0.000999000999	0.3996003996	0.5693264438	1	0.07092907093	INSUFFICIENT_SUPPORT	false
x004473	outgoing	216	20	4	0.9972817357	0.9973313428	0.993401333	0.001367032691	0.6995577657	0.69694129	0.4837693277	0.8904464286	0.001998001998	0.4965034965	0.5733216898	1	0.03996003996	REPRODUCIBLY_BROAD	false
x004498	outgoing	72	2	2	0.9959988295	0.9959988295	0.9959988295	0	0.4984830701	0.4984830701	0.3962288381	0.8339285714	0.000999000999	0.000999000999	0.5112151496	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x004624	outgoing	613	57	4	0.9904174164	0.9909241529	0.9779804704	0.003296877028	0.6909589096	0.6914696491	0.4734027296	0.8769736842	0.000999000999	0.000999000999	0.5386435365	1	0.9460539461	INSUFFICIENT_SUPPORT	true
x004625	outgoing	623	56	4	0.9907690096	0.9910807123	0.97290657	0.003697681368	0.6896914264	0.6909122879	0.4734845591	0.8743622449	0.000999000999	0.6313686314	0.5379784502	1	0.9250749251	INSUFFICIENT_SUPPORT	false
x004640	outgoing	71	1	1	0	0	1	0	0	0	0	0.1696428571	0.000999000999	0.000999000999	0.6204737035	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x004718	outgoing	338	39	4	0.9946417772	0.9948577704	0.9877596107	0.001882190986	0.6686723526	0.674925987	0.4712236015	0.8840201465	1	0.5414585415	0.5615802252	1	0.999000999	INSUFFICIENT_SUPPORT	false
x004719	outgoing	341	39	4	0.994313142	0.9945730147	0.9850772614	0.002117344394	0.6709417018	0.6749967647	0.470502178	0.879029304	1	0.9400599401	0.5585853107	1	0.975024975	INSUFFICIENT_SUPPORT	false
