checkpoint_n	vocabulary_size	type_token_ratio	hapax_count	dis_count	tri_count	beta_effective
100	88	0.88	82	2	2	0
200	152	0.76000000000000001	129	14	2	0.78849589480628868
500	315	0.63	251	27	12	0.79526300183011822
1000	552	0.55200000000000005	430	57	16	0.80931643839088963
2000	927	0.46350000000000002	704	107	36	0.74790107184736176
4000	1581	0.39524999999999999	1151	190	75	0.77019612373283952
8000	2642	0.33024999999999999	1856	338	139	0.74079309888845735
16000	4052	0.25324999999999998	2643	571	242	0.61700370755430922
32000	6190	0.19343750000000001	3730	957	429	0.61130523530049041
43713	7286	0.16667810491158236	4228	1136	512	0.52265012709251191
