window_size	method	k	silhouette	within_cluster_dispersion	between_cluster_distance	cluster_sizes	transition_count	segment_fragmentation
50	hierarchical	2	0.03792637710287719	0.9096402386153397	0.9414342689866224	8685,48	36	18.5
50	hierarchical	3	0.01831383803836189	0.9094626794124757	0.9343000602207304	8612,48,73	78	26.333333333333332
50	hierarchical	4	0.010457492776808292	0.9092744465214447	0.9321806329059432	8545,48,69,71	122	30.75
50	hierarchical	5	0.008255614992685865	0.9090345068293673	0.93230168984801	8517,48,68,29,71	136	27.4
50	hierarchical	6	0.010538216196449983	0.9087005183684693	0.934109091928487	8492,47,25,68,29,72	144	24.166666666666668
50	hierarchical	7	0.013180992404334308	0.9084107078450074	0.9345300245316093	8460,47,25,67,29,34,71	153	22
50	hierarchical	8	0.013958006069037554	0.9082305960311641	0.9332881029327565	8409,47,25,67,29,50,34,72	188	23.625
50	hierarchical	9	0.01466626684063242	0.9080615145469227	0.9321942645503728	8336,73,47,25,67,29,50,34,72	242	27
50	hierarchical	10	0.01690856361894365	0.9078767155265355	0.931478494165336	8294,72,44,25,47,67,29,49,34,72	267	26.8
50	hierarchical	11	0.021992322213180895	0.9073969195126628	0.9336020928736674	8281,71,44,25,47,65,29,48,18,34,71	261	23.818181818181817
50	hierarchical	12	0.025478622483993824	0.9071160043183424	0.9336198818038841	8248,71,45,25,47,65,29,46,18,34,34,71	270	22.583333333333332
50	hierarchical	13	0.028356258417827473	0.9069531297540816	0.9327069964133909	8195,70,44,25,47,65,29,56,46,18,33,34,71	298	23
50	hierarchical	14	0.032050001003379874	0.9067155034584533	0.9324346113364627	8168,71,44,25,47,65,29,29,56,46,18,31,34,70	308	22.071428571428573
50	hierarchical	15	0.035163404859700764	0.906549173141402	0.9317214235960374	8145,71,23,44,25,48,65,29,29,56,46,18,31,34,69	322	21.533333333333335
100	hierarchical	2	0.06715574707187973	0.8490453090498217	0.9061862584278108	4344,18	2	1.5
100	hierarchical	3	0.05031471847217495	0.8486007403480247	0.899527607078443	4327,17,18	4	1.6666666666666667
100	hierarchical	4	0.033563332747426504	0.8483062011603879	0.8922107397562785	4308,17,19,18	8	2.25
100	hierarchical	5	0.033036648759470884	0.8478206111234688	0.893064329681227	4291,17,19,18,17	10	2.2
100	hierarchical	6	0.03222160310305248	0.8474678666740256	0.89088121916597	4272,17,19,19,18,17	14	2.5
100	hierarchical	7	0.029938229341737555	0.8472003724184988	0.8879851797887652	4254,17,19,19,18,18,17	16	2.4285714285714284
100	hierarchical	8	0.02828567733495055	0.8469848907802003	0.8851579028003836	4238,17,19,19,18,18,17,16	18	2.375
100	hierarchical	9	0.03160110878256189	0.8466895389719477	0.8839343429846792	4221,17,19,19,17,18,18,17,16	20	2.3333333333333335
100	hierarchical	10	0.03475515449772837	0.8463171716799847	0.8837308369711437	4204,17,17,19,19,17,18,18,17,16	22	2.3
100	hierarchical	11	0.03663139812667974	0.8459880027248855	0.8831147095590489	4185,17,19,17,19,19,17,18,18,17,16	24	2.272727272727273
100	hierarchical	12	0.038658788644054275	0.8458243335800727	0.881189123071266	4165,17,19,17,19,19,17,18,18,17,16,20	28	2.4166666666666665
100	hierarchical	13	0.04071927141301887	0.8456831079419115	0.879394930066647	4149,17,19,17,17,19,18,17,18,18,17,16,20	30	2.3846153846153846
100	hierarchical	14	0.04384199271859174	0.8454050272987278	0.8788098323098805	4130,17,19,17,17,19,19,18,17,18,18,17,16,20	32	2.357142857142857
100	hierarchical	15	0.04838673081984725	0.8450369871193695	0.8788539278771492	4111,17,19,17,17,19,19,19,18,17,18,18,17,16,20	36	2.466666666666667
200	hierarchical	2	0.08728043330143985	0.7698307216863681	0.8396719889816715	2160,16	2	1.5
200	hierarchical	3	0.04455675059963422	0.7695388186464144	0.8191793291926037	2143,17,16	4	1.6666666666666667
200	hierarchical	4	0.0357608000423916	0.7691940320794569	0.8139222061018262	2127,17,16,16	6	1.75
200	hierarchical	5	0.03129103795295816	0.7688746820831067	0.8105501254966087	2110,17,17,16,16	8	1.8
200	hierarchical	6	0.03078781304970321	0.7686076947325553	0.807426627293615	2099,17,17,14,13,16	9	1.6666666666666667
200	hierarchical	7	0.0326384933670656	0.7683084148714937	0.8057912968119273	2082,17,17,17,14,13,16	11	1.7142857142857142
200	hierarchical	8	0.03155386012223887	0.7681535491086074	0.8026099241007336	2065,17,17,17,17,14,13,16	13	1.75
200	hierarchical	9	0.03545996105141236	0.7677619822809576	0.8029706308483638	2048,17,17,17,17,17,14,13,16	15	1.7777777777777777
200	hierarchical	10	0.03831014583329793	0.7674895914774237	0.8019550634715928	2039,17,17,17,17,17,14,13,16,9	16	1.7
200	hierarchical	11	0.04207285025012254	0.767149191290679	0.801730613946709	2022,17,17,17,17,17,17,14,13,16,9	18	1.7272727272727273
200	hierarchical	12	0.04311096961338906	0.7669909001039229	0.7999856806486426	2011,17,17,17,17,14,14,17,14,13,16,9	19	1.6666666666666667
200	hierarchical	13	0.04740103744598248	0.7666729613489364	0.7997211279754024	1994,17,17,17,17,17,14,14,17,14,13,16,9	21	1.6923076923076923
200	hierarchical	14	0.05089809442100652	0.7664926398846202	0.7985078810350995	1977,17,17,17,17,17,17,14,14,17,14,13,16,9	23	1.7142857142857142
200	hierarchical	15	0.053828840971531955	0.7662497895041234	0.7978486624608686	1972,17,17,17,17,17,17,14,14,14,11,11,13,16,9	23	1.6
500	hierarchical	2	0.018949738410791044	0.6408460002860963	0.6532352885988899	457,408	1	1
500	hierarchical	3	0.024701130205120964	0.635533737001921	0.6545717903292371	365,95,405	2	1
500	hierarchical	4	0.030473535424853378	0.6303621008428465	0.6549932273066675	329,40,91,405	3	1
500	hierarchical	5	0.03593934034684942	0.6250865425783333	0.6555768053486862	329,40,87,19,390	4	1
500	hierarchical	6	0.04224202629240788	0.6199234264074744	0.6556104744739618	128,202,39,87,19,390	5	1
500	hierarchical	7	0.04530315408980283	0.6142460106591039	0.6556478891002802	51,78,201,39,87,19,390	6	1
500	hierarchical	8	0.048871639568170575	0.6090684309883467	0.653969874407216	51,78,201,39,87,18,111,280	7	1
500	hierarchical	9	0.05441837218587324	0.603795243458914	0.653988493788502	51,78,201,37,27,62,18,111,280	8	1
500	hierarchical	10	0.0612872559460257	0.598399563840881	0.6538493782134193	51,78,201,37,27,62,18,109,54,228	9	1
500	hierarchical	11	0.06778379315054386	0.5934214176080775	0.6538654455034371	51,78,201,37,26,26,38,17,109,54,228	10	1
500	hierarchical	12	0.07432223827476063	0.5884220855749936	0.6537024072217487	51,77,75,127,37,26,26,38,17,109,54,228	11	1
500	hierarchical	13	0.08031701485541762	0.58375522030105	0.6537219808134415	49,28,51,75,127,37,26,26,38,17,109,54,228	12	1
500	hierarchical	14	0.08414630735329821	0.5792022186564894	0.6536968849012944	48,15,15,50,75,127,37,26,26,38,17,109,54,228	13	1
500	hierarchical	15	0.08939948932310156	0.5740691738931908	0.6537154470977931	48,15,15,35,18,72,127,37,26,26,38,17,109,54,228	14	1
1000	hierarchical	2	0.055293538206015326	0.5383024424017576	0.5700362544417601	33,395	1	1
1000	hierarchical	3	0.06871911391304013	0.5270854748441662	0.5712724589705056	29,34,365	2	1
1000	hierarchical	4	0.07647897838533123	0.5151908486498524	0.5648194590006843	29,32,103,264	3	1
1000	hierarchical	5	0.09171176488086846	0.5048569801994502	0.5647102429647055	29,32,99,35,233	4	1
1000	hierarchical	6	0.10757115944559964	0.4939306365477899	0.564459140842929	29,32,99,32,45,191	5	1
1000	hierarchical	7	0.11853540151666722	0.4842360106068268	0.5640388415298172	29,30,31,71,31,45,191	6	1
