position	support_50	support_100	support_200	support_500	support_1000	support_count	support_fraction	mean_position	mean_jump_strength	max_jump_strength	position_uncertainty
17283	1	1	1	1	1	5	1	17283	0.08985383707200198	0.09999999999999999	18
22894	1	1	1	1	1	5	1	22894	0.08754984223309516	0.09999999999999999	14
3096	1	1	1	1	1	5	1	3096	0.08721397036363031	0.09999999999999999	24
23839	1	1	1	1	0	4	0.8	23838.75	0.09323273235139104	0.1	13.75
23179	1	1	1	0	1	4	0.8	23178.75	0.09304491952779821	0.10000000000000002	21.25
7181	1	1	1	1	0	4	0.8	7181.25	0.0921383223698266	0.09999999999999999	18.75
7004	1	1	1	0	1	4	0.8	7003.75	0.09187372386004633	0.10000000000000002	6.25
15305	1	1	1	1	0	4	0.8	15305	0.0917507873984476	0.10000000000000002	5
28188	1	1	1	1	0	4	0.8	28187.5	0.09124609072816281	0.09999999999999999	12.5
20091	1	1	1	1	0	4	0.8	20091.25	0.0912027026901534	0.09999999999999999	18.75
22416	1	1	1	1	0	4	0.8	22416.25	0.09117960014004668	0.09999999999999999	23.75
18915	1	1	1	1	0	4	0.8	18915	0.09115111080296205	0.10000000000000002	25
29601	1	1	1	1	0	4	0.8	29601.25	0.09084993745452294	0.09999999999999999	3.75
2848	1	1	1	1	0	4	0.8	2847.5	0.09069395056559461	0.09999999999999999	12.5
29361	1	1	1	1	0	4	0.8	29361.25	0.09064061878577737	0.10000000000000002	23.75
29998	1	1	1	0	1	4	0.8	29997.5	0.09063060023726517	0.10000000000000002	7.5
18203	1	1	1	1	0	4	0.8	18202.5	0.09055033809837938	0.09999999999999999	7.5
10561	1	1	1	1	0	4	0.8	10561.25	0.09037436503065244	0.09999999999999999	18.75
9649	1	1	1	1	0	4	0.8	9648.75	0.09034861698601822	0.09999999999999999	21.25
10210	1	1	1	0	1	4	0.8	10210	0.0902248254415924	0.09999999999999999	10
23505	1	1	1	0	1	4	0.8	23505	0.09014190096554914	0.09999999999999999	15
11799	1	1	1	0	1	4	0.8	11798.75	0.08991023351014234	0.09999999999999999	21.25
5384	1	1	1	1	0	4	0.8	5383.75	0.08957696702413231	0.09999999999999999	18.75
20610	1	1	1	0	1	4	0.8	20610	0.08924007651787842	0.09999999999999999	20
18000	1	1	1	0	1	4	0.8	18000	0.08845830661179763	0.09999999999999999	20
28999	1	1	1	0	1	4	0.8	28998.75	0.08837676082218635	0.09999999999999999	13.75
31814	1	1	1	0	1	4	0.8	31813.75	0.08715066542084576	0.09999999999999999	16.25
28313	1	1	0	1	1	4	0.8	28312.5	0.0868222807300819	0.09999999999999999	27.5
24206	1	1	1	0	1	4	0.8	24206.25	0.08666871094983429	0.09999999999999999	8.75
37366	1	1	1	1	0	4	0.8	37366.25	0.08663994186313306	0.09999999999999999	23.75
20005	1	1	1	0	1	4	0.8	20005	0.08609510845493853	0.09999999999999999	15
510	1	1	1	1	0	4	0.8	510	0.08581775762811465	0.09999999999999999	10
19013	1	1	1	0	1	4	0.8	19012.5	0.08481124945945627	0.09999999999999999	12.5
23690	1	0	1	1	1	4	0.8	23690	0.08463193578403184	0.09999999999999999	10
35696	1	0	1	1	1	4	0.8	35696.25	0.08119143340963408	0.09999999999999999	11.25
2595	1	0	1	1	1	4	0.8	2595	0.08077217525388618	0.09999999999999999	15
11903	1	1	1	0	0	3	0.6	11903.333333333334	0.09811278124459133	0.10000000000000002	16.66666666666606
4523	1	1	1	0	0	3	0.6	4523.333333333333	0.09801291577448146	0.10000000000000003	6.66666666666697
29502	1	1	1	0	0	3	0.6	29501.666666666668	0.09752882354068726	0.09999999999999999	8.33333333333212
2798	1	1	1	0	0	3	0.6	2798.3333333333335	0.09740048710103022	0.09999999999999999	3.333333333333485
11855	1	1	1	0	0	3	0.6	11855	0.09730796100737293	0.09999999999999999	10
29243	1	1	1	0	0	3	0.6	29243.333333333332	0.09728703901738973	0.09999999999999999	16.66666666666788
23720	1	1	1	0	0	3	0.6	23720	0.09702697382058596	0.10000000000000002	0
21035	1	1	1	0	0	3	0.6	21035	0.09685966253125305	0.10000000000000002	15
24983	1	1	1	0	0	3	0.6	24983.333333333332	0.09683065178618133	0.09999999999999999	6.666666666667879
24242	1	1	1	0	0	3	0.6	24241.666666666668	0.0968097297961981	0.09999999999999999	3.3333333333321207
25103	1	1	1	0	0	3	0.6	25103.333333333332	0.0968097297961981	0.09999999999999999	16.66666666666788
17360	1	1	1	0	0	3	0.6	17360	0.09678527022856455	0.10000000000000003	20
