token_a	token_b	count_a	count_b	structural_similarity	reliability	position_similarity	left_similarity	right_similarity	position_reliability	left_reliability	right_reliability	total_evidence_weight	diagnostic_weighted_similarity	grapheme_distance	normalized_grapheme_distance	grapheme_similarity	common_prefix	common_suffix	length_difference	discovery_score
x009250	x009251	314	309	0.7496420311690076	0.9131128838928112	0.9878080027663111	0.585107577379274	0.6760105133614379	0.9933159594749426	0.8697707637447453	0.8762519284587457	2.7393386516784335	0.7602091961905622	1	0.14285714285714285	0.8571428571428572	6	0	0	0.09778682813828532
x020556	x020558	137	149	0.7336121096316064	0.8924608304296914	0.9481853176494178	0.7910418470791994	0.46160916416620185	0.9900818790118812	0.8365097975727295	0.8507908147044632	2.677382491289074	0.7444689728354523	1	0.14285714285714285	0.8571428571428572	6	0	0	0.09353143893930017
x009248	x009249	297	316	0.7139002607064943	0.9131128838928112	0.979885760724038	0.5349144433514398	0.626900578044005	0.9933159594749426	0.8697707637447453	0.8762519284587457	2.7393386516784335	0.7256904683056428	1	0.14285714285714285	0.8571428571428572	6	0	0	0.09312450369507667
x018930	x018931	576	575	0.7038110424416004	0.9131128838928112	0.9926908378503239	0.8618337720463339	0.2569085174281438	0.9933159594749426	0.8697707637447453	0.8762519284587457	2.7393386516784335	0.7157822757064115	1	0.14285714285714285	0.8571428571428572	6	0	0	0.09180841866849362
x020558	x020559	149	154	0.6966024301205703	0.9031457934933916	0.9462902163394178	0.7186732415153464	0.42484383250694685	0.9917528853469939	0.8537228613707556	0.8639616337624256	2.709437380480175	0.7082956092728789	1	0.14285714285714285	0.8571428571428572	6	0	0	0.08987622207152392
x020556	x020559	137	154	0.6961346769054103	0.8954199374504714	0.9587045365202377	0.7169335367491849	0.4127659574468085	0.9905525369445541	0.841261135414301	0.854446139992559	2.6862598123514143	0.7093363800001903	1	0.14285714285714285	0.8571428571428572	6	0	0	0.08904755269310666
x008704	x008706	163	148	0.6877059995044084	0.9059781334724866	0.9816079930064805	0.5028056958939932	0.5787043096127515	0.9922020195734669	0.8582734280134868	0.867458952830506	2.7179344004174597	0.7018198950836815	1	0.14285714285714285	0.8571428571428572	6	0	0	0.08900665682983351
x012696	x012697	269	280	0.6787056105372166	0.9131128838928112	0.9839367294877069	0.21472796736775718	0.8374521347561855	0.9933159594749426	0.8697707637447453	0.8762519284587457	2.7393386516784335	0.6928472358091368	1	0.14285714285714285	0.8571428571428572	6	0	0	0.08853354819312413
x018928	x018929	572	602	0.6771530914012488	0.9131128838928112	0.9929692100175824	0.8134997854032648	0.2249902787828991	0.9933159594749426	0.8697707637447453	0.8762519284587457	2.7393386516784335	0.6903267172692917	1	0.14285714285714285	0.8571428571428572	6	0	0	0.08833103030376094
x012696	x012698	269	289	0.6731512646664094	0.9131128838928112	0.9744963564893102	0.17613198308915934	0.8688254544207586	0.9933159594749426	0.8697707637447453	0.8762519284587457	2.7393386516784335	0.6872049980308778	1	0.14285714285714285	0.8571428571428572	6	0	0	0.08780901322509116
x012696	x012699	269	275	0.6660993273634487	0.9131128838928112	0.9755005090765877	0.1503267973856209	0.8724706756281375	0.9933159594749426	0.8697707637447453	0.8762519284587457	2.7393386516784335	0.6805417024345328	1	0.14285714285714285	0.8571428571428572	6	0	0	0.08688912539541432
x008704	x008705	163	160	0.6627064755970933	0.9131128838928112	0.9581952049154595	0.48800961159645595	0.5419146102793645	0.9933159594749426	0.8697707637447453	0.8762519284587457	2.7393386516784335	0.6757473389100617	1	0.14285714285714285	0.8571428571428572	6	0	0	0.08644654587241467
x020557	x020558	134	149	0.6764447072418451	0.8904171943620917	0.9318776729385811	0.735140966087689	0.36231548269926506	0.9897652630074999	0.833211577376273	0.8482747427025024	2.671251583086275	0.6896434609615223	1	0.14285714285714285	0.8571428571428572	6	0	0	0.08604542833762431
x009970	x009971	119	110	0.7057232584329771	0.8520300528938872	0.9442683684335832	0.7396561855403487	0.4332452213249996	0.9837368867298406	0.7714209489451317	0.8009323230066896	2.556090158681662	0.722391577941338	1	0.14285714285714285	0.8571428571428572	6	0	0	0.0858996321730137
x010008	x010009	180	169	0.657440192639607	0.9131128838928112	0.9666773859327894	0.26687053786785353	0.738772654118178	0.9933159594749426	0.8697707637447453	0.8762519284587457	2.7393386516784335	0.671579334811083	1	0.14285714285714285	0.8571428571428572	6	0	0	0.08575958718402812
x012697	x012698	280	289	0.6545868971704313	0.9131128838928112	0.9651172618735113	0.18443264420963099	0.8142107854281515	0.9933159594749426	0.8697707637447453	0.8762519284587457	2.7393386516784335	0.6689695962118071	1	0.14285714285714285	0.8571428571428572	6	0	0	0.08538738991910565
x012697	x012699	280	275	0.6512572777977949	0.9131128838928112	0.9742687121566193	0.15590333092919512	0.8235997903075704	0.9933159594749426	0.8697707637447453	0.8762519284587457	2.7393386516784335	0.666232969491342	1	0.14285714285714285	0.8571428571428572	6	0	0	0.08495305872658944
