source	target	global_count	eligible_blocks	positive_blocks	negative_blocks	neutral_blocks	joint_classes	currier_classes	hands	joint_class_ids	currier_ids	hand_ids	median_log2_enrichment	mean_log2_enrichment	between_block_sd	sign	sign_consistency	tested_blocks	successful_sign_predictions	transfer_fraction	empirical_p	fdr_q	permutations	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000052	x002364	1	25	25	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.639354798	1.494859402	0.5461757811	preferred	1	25	25	1	1	1	1000	0	0.05097729757	EXPECTED_FROM_NULL
x000052	x004655	1	25	21	3	1	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.613149727	1.182308154	0.8105868281	preferred	0.84	25	21	0.84	0.04095904096	0.2391027776	1000	1	0.05917554599	EXPECTED_FROM_NULL
x000052	x006713	1	25	23	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.661558192	1.431460902	0.6409282928	preferred	0.92	25	23	0.92	1	1	1000	1	0.05292592389	EXPECTED_FROM_NULL
x000052	x006715	1	25	25	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.637911381	1.494859402	0.5213761901	preferred	1	25	25	1	1	1	1000	0	0.05097729757	EXPECTED_FROM_NULL
x000052	x007532	1	25	23	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.608445339	1.260209457	0.8245944384	preferred	0.92	25	23	0.92	1	1	1000	1	0.05485607012	EXPECTED_FROM_NULL
x000052	x007615	1	25	24	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.633572445	1.368062402	0.6445584788	preferred	0.96	25	24	0.96	1	1	1000	0	0.05562861351	EXPECTED_FROM_NULL
x000052	x008224	4	25	24	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.637911381	1.368062402	0.6641010746	preferred	0.96	25	24	0.96	0.04995004995	0.2568132974	1000	1	0.05562318969	EXPECTED_FROM_NULL
x000052	x008226	1	25	23	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.613149727	1.245706654	0.8109239728	preferred	0.92	25	23	0.92	0.05794205794	0.2692137794	1000	1	0.05463460108	EXPECTED_FROM_NULL
x000052	x008485	1	25	24	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.639354798	1.494859402	0.536663171	preferred	0.96	25	24	0.96	0.03196803197	0.2325694356	1000	1	0.05094025166	EXPECTED_FROM_NULL
x000052	x008486	1	25	24	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.662490364	1.621656402	0.3710458709	preferred	0.96	25	24	0.96	0.01098901099	0.1915277705	1000	1	0.04680222335	EXPECTED_FROM_NULL
