token	block	direction	counterpart	raw_count	probability	log2_enrichment
x000052	G0/generic#0	incoming	x000052	0	0.0015625	-2.579424317
x000052	G0/generic#0	incoming	x000053	0	0.0015625	-1.686339521
x000052	G0/generic#0	incoming	x000054	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x000055	0	0.0015625	-1.686339521
x000052	G0/generic#0	incoming	x000080	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x000081	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x000082	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x000083	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x000393	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x000406	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x000407	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x000544	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x000545	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x000546	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x000547	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x000636	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x000637	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x000638	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x000639	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x000696	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x000697	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x000698	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x000699	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x000712	0	0.0015625	-1.686339521
x000052	G0/generic#0	incoming	x000713	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x000714	0	0.0015625	-1.686339521
x000052	G0/generic#0	incoming	x000715	0	0.0015625	-3.126912112
x000052	G0/generic#0	incoming	x000784	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x000785	0	0.0015625	1.121015401
