block	transitions	log_loss_m1	log_loss_m2	delta_m1_minus_m2
G0/generic#0	101	5.868907013	6.436752133	-0.5678451194
G1/generic#0	81	5.856274723	6.448326265	-0.5920515425
G2/generic#0	126	6.000176674	6.447449001	-0.4472723272
G3/generic#0	107	5.861696452	6.437315258	-0.5756188067
G0/generic#1	113	6.054858878	6.448398678	-0.3935398001
G1/generic#1	96	5.914919204	6.425071777	-0.5101525736
G2/generic#1	131	5.940512161	6.448058627	-0.5075464663
G3/generic#1	94	6.003850371	6.424295163	-0.4204447924
G0/generic#2	142	5.88978351	6.432381992	-0.5425984817
G1/generic#2	103	5.984581327	6.415440984	-0.4308596574
G2/generic#2	133	6.000784931	6.430769652	-0.4299847215
G3/generic#2	170	6.081599201	6.434523886	-0.3529246849
G0/generic#3	187	5.894921336	6.442346341	-0.5474250052
G1/generic#3	168	5.926167325	6.427982943	-0.5018156188
G2/generic#3	125	6.06323688	6.421349916	-0.3581130356
G3/generic#3	125	5.907301134	6.430340791	-0.5230396574
G0/generic#4	172	5.913775557	6.441206857	-0.5274313001
G1/generic#4	113	5.858431704	6.428289609	-0.5698579049
G2/generic#4	123	5.88904425	6.438970848	-0.5499265984
G3/generic#4	181	5.939180412	6.429499947	-0.4903195342
G0/generic#5	158	5.928459479	6.440348458	-0.5118889786
G1/generic#5	108	5.887281456	6.43733484	-0.5500533847
G2/generic#5	164	5.93424771	6.427453699	-0.4932059882
G3/generic#5	120	5.802521155	6.439039752	-0.6365185971
G0/generic#6	140	5.934790204	6.408242899	-0.4734526954
G1/generic#6	114	5.979170275	6.438050007	-0.4588797325
G2/generic#6	134	5.908560193	6.430714536	-0.5221543433
G3/generic#6	91	5.833514978	6.447178325	-0.6136633471
G0/generic#7	148	5.964174807	6.410952302	-0.4467774952
G1/generic#7	122	5.811724726	6.412263687	-0.6005389611
G2/generic#7	91	5.963540596	6.435002802	-0.4714622063
G3/generic#7	114	5.804750836	6.427804874	-0.6230540375
G0/generic#8	134	5.922138076	6.431232403	-0.5090943279
G1/generic#8	142	5.845221532	6.424822876	-0.5796013437
G2/generic#8	120	5.883974946	6.448219965	-0.5642450184
G3/generic#8	110	6.085073366	6.436853476	-0.35178011
G0/generic#9	129	5.948094872	6.430525597	-0.4824307255
G1/generic#9	139	5.819048914	6.431755014	-0.6127061003
G2/generic#9	161	5.854825425	6.420643338	-0.5658179135
G3/generic#9	134	5.885985412	6.43184397	-0.5458585579
G0/generic#10	193	5.832097601	6.425112047	-0.5930144458
G1/generic#10	161	5.962313652	6.426782059	-0.4644684061
G2/generic#10	113	5.825912066	6.428148923	-0.602236857
G3/generic#10	165	6.039425354	6.427201596	-0.3877762421
G0/generic#11	155	5.989413847	6.440000524	-0.4505866773
G1/generic#11	147	6.040861447	6.446818244	-0.4059567972
G2/generic#11	131	5.878155795	6.414225443	-0.5360696486
G3/generic#11	221	5.881286284	6.413080671	-0.5317943874
G0/generic#12	149	5.791345948	6.425275877	-0.6339299297
G1/generic#12	126	5.847717504	6.412924883	-0.5652073794
G2/generic#12	178	5.926833165	6.435204294	-0.5083711286
G3/generic#12	206	5.888634911	6.44230414	-0.5536692294
G0/generic#13	146	5.869262645	6.432834861	-0.5635722159
G1/generic#13	188	5.953001618	6.435848083	-0.4828464652
G2/generic#13	197	5.943644395	6.419809664	-0.4761652685
G3/generic#13	203	6.019152138	6.436002655	-0.416850517
G0/generic#14	169	5.910101056	6.448037656	-0.5379365999
G1/generic#14	183	5.960147863	6.441426419	-0.4812785556
G2/generic#14	170	5.874651074	6.447096054	-0.5724449799
G3/generic#14	178	5.878447824	6.429138939	-0.5506911148
G0/generic#15	192	6.082329183	6.429921379	-0.3475921957
G1/generic#15	229	6.037738493	6.442097121	-0.4043586284
G2/generic#15	249	5.814888267	6.421456354	-0.6065680874
G3/generic#15	93	5.973353257	6.423827192	-0.4504739348
