source	target	relation	eligible_blocks	joint_classes	currier_classes	hands	median_log2_enrichment	sign_consistency	transfer_fraction	empirical_p	fdr_q	status
x000053	x020316	preferred	23	4	G0,G1,G2,G3	generic	1.62631176	0.8695652174	0.8695652174	9.9990001e-05	0.01951233448	BACKBONE_PREFERRED
x000713	x018957	preferred	28	4	G0,G1,G2,G3	generic	1.619730744	0.8928571429	0.8928571429	0.000499950005	0.04017245334	BACKBONE_PREFERRED
x008706	x008450	preferred	4	2	G0,G3	generic	0.8669390132	0.75	0.75	9.9990001e-05	0.01951233448	BACKBONE_PREFERRED
x008946	x015646	preferred	6	4	G0,G1,G2,G3	generic	1.763043915	1	1	0.000399960004	0.03767899072	BACKBONE_PREFERRED
x009249	x005534	preferred	31	4	G0,G1,G2,G3	generic	1.58047511	0.9032258065	0.9032258065	0.000599940006	0.04429827288	BACKBONE_PREFERRED
x009249	x016706	preferred	31	4	G0,G1,G2,G3	generic	1.566872044	0.9032258065	0.9032258065	9.9990001e-05	0.01951233448	BACKBONE_PREFERRED
x009250	x004156	preferred	35	4	G0,G1,G2,G3	generic	0.3876610603	0.8	0.8	0.000399960004	0.03767899072	BACKBONE_PREFERRED
x018929	x012370	preferred	58	4	G0,G1,G2,G3	generic	1.566410323	0.8620689655	0.8620689655	9.9990001e-05	0.01951233448	BACKBONE_PREFERRED
x018930	x005542	preferred	59	4	G0,G1,G2,G3	generic	1.596861084	0.9322033898	0.9322033898	9.9990001e-05	0.01951233448	BACKBONE_PREFERRED
x018930	x011445	preferred	59	4	G0,G1,G2,G3	generic	1.596861084	0.9830508475	0.9830508475	0.000299970003	0.03151992493	BACKBONE_PREFERRED
x018930	x019542	preferred	59	4	G0,G1,G2,G3	generic	1.560866825	0.9491525424	0.9491525424	0.000499950005	0.04017245334	BACKBONE_PREFERRED
x018930	x019543	preferred	59	4	G0,G1,G2,G3	generic	1.583482054	0.9491525424	0.9491525424	9.9990001e-05	0.01951233448	BACKBONE_PREFERRED
x018931	x007532	preferred	61	4	G0,G1,G2,G3	generic	1.574631137	0.9672131148	0.9672131148	9.9990001e-05	0.01951233448	BACKBONE_PREFERRED
x019268	x011230	preferred	27	4	G0,G1,G2,G3	generic	1.645991934	1	1	9.9990001e-05	0.01951233448	BACKBONE_PREFERRED
x020630	x008449	preferred	4	3	G0,G1,G2	generic	0.4877790961	0.75	0.75	0.000499950005	0.04017245334	BACKBONE_PREFERRED
x021400	x008451	preferred	6	4	G0,G1,G2,G3	generic	1.491066762	0.8333333333	0.8333333333	0.000499950005	0.04017245334	BACKBONE_PREFERRED
x021400	x020969	preferred	6	4	G0,G1,G2,G3	generic	1.271771681	0.8333333333	0.8333333333	9.9990001e-05	0.01951233448	BACKBONE_PREFERRED
