window_start	window_end	tokens	new_types	new_type_rate
0	500	500	364	0.72799999999999998
500	1000	500	277	0.55400000000000005
1000	1500	500	229	0.45800000000000002
1500	2000	500	212	0.42399999999999999
2000	2500	500	200	0.40000000000000002
2500	3000	500	214	0.42799999999999999
3000	3500	500	198	0.39600000000000002
3500	4000	500	189	0.378
4000	4500	500	174	0.34799999999999998
4500	5000	500	180	0.35999999999999999
5000	5500	500	159	0.318
5500	6000	500	184	0.36799999999999999
6000	6500	500	185	0.37
6500	7000	500	177	0.35399999999999998
7000	7500	500	142	0.28399999999999997
7500	8000	500	129	0.25800000000000001
8000	8500	500	137	0.27400000000000002
8500	9000	500	122	0.24399999999999999
9000	9500	500	138	0.27600000000000002
9500	10000	500	126	0.252
10000	10500	500	139	0.27800000000000002
10500	11000	500	127	0.254
11000	11500	500	100	0.20000000000000001
11500	12000	500	107	0.214
12000	12500	500	134	0.26800000000000002
12500	13000	500	114	0.22800000000000001
13000	13500	500	101	0.20200000000000001
13500	14000	500	103	0.20599999999999999
14000	14500	500	109	0.218
14500	15000	500	124	0.248
15000	15500	500	75	0.14999999999999999
15500	16000	500	110	0.22
16000	16500	500	101	0.20200000000000001
16500	17000	500	119	0.23799999999999999
17000	17500	500	118	0.23599999999999999
17500	18000	500	101	0.20200000000000001
18000	18500	500	128	0.25600000000000001
18500	19000	500	107	0.214
19000	19500	500	93	0.186
19500	20000	500	107	0.214
20000	20500	500	123	0.246
20500	21000	500	101	0.20200000000000001
21000	21500	500	91	0.182
21500	22000	500	75	0.14999999999999999
22000	22500	500	97	0.19400000000000001
22500	23000	500	102	0.20399999999999999
23000	23500	500	94	0.188
23500	24000	500	134	0.26800000000000002
24000	24500	500	71	0.14199999999999999
24500	25000	500	73	0.14599999999999999
25000	25500	500	68	0.13600000000000001
25500	26000	500	98	0.19600000000000001
26000	26500	500	65	0.13
26500	27000	500	72	0.14399999999999999
27000	27500	500	66	0.13200000000000001
27500	28000	500	102	0.20399999999999999
28000	28500	500	72	0.14399999999999999
28500	29000	500	71	0.14199999999999999
29000	29500	500	87	0.17399999999999999
29500	30000	500	93	0.186
30000	30500	500	95	0.19
30500	31000	500	97	0.19400000000000001
31000	31500	500	74	0.14799999999999999
31500	32000	500	53	0.106
32000	32500	500	72	0.14399999999999999
32500	33000	500	69	0.13800000000000001
33000	33500	500	78	0.156
33500	34000	500	74	0.14799999999999999
34000	34500	500	67	0.13400000000000001
34500	35000	500	99	0.19800000000000001
35000	35500	500	89	0.17799999999999999
35500	36000	500	86	0.17199999999999999
36000	36500	500	59	0.11799999999999999
36500	37000	500	69	0.13800000000000001
37000	37500	500	56	0.112
37500	38000	500	73	0.14599999999999999
38000	38500	500	61	0.122
38500	39000	500	68	0.13600000000000001
39000	39500	500	61	0.122
39500	40000	500	67	0.13400000000000001
40000	40500	500	60	0.12
40500	41000	500	54	0.108
41000	41500	500	49	0.098000000000000004
41500	42000	500	55	0.11
42000	42500	500	64	0.128
42500	43000	500	46	0.091999999999999998
43000	43500	500	47	0.094
43500	43713	213	49	0.2300469483568075
0	1000	1000	641	0.64100000000000001
1000	2000	1000	441	0.441
2000	3000	1000	414	0.41399999999999998
3000	4000	1000	387	0.38700000000000001
4000	5000	1000	354	0.35399999999999998
5000	6000	1000	343	0.34300000000000003
6000	7000	1000	362	0.36199999999999999
7000	8000	1000	271	0.27100000000000002
8000	9000	1000	259	0.25900000000000001
9000	10000	1000	264	0.26400000000000001
10000	11000	1000	266	0.26600000000000001
11000	12000	1000	207	0.20699999999999999
12000	13000	1000	248	0.248
13000	14000	1000	204	0.20399999999999999
14000	15000	1000	233	0.23300000000000001
15000	16000	1000	185	0.185
16000	17000	1000	220	0.22
17000	18000	1000	219	0.219
18000	19000	1000	235	0.23499999999999999
19000	20000	1000	200	0.20000000000000001
20000	21000	1000	224	0.224
21000	22000	1000	166	0.16600000000000001
22000	23000	1000	199	0.19900000000000001
23000	24000	1000	228	0.22800000000000001
24000	25000	1000	144	0.14399999999999999
25000	26000	1000	166	0.16600000000000001
26000	27000	1000	137	0.13700000000000001
27000	28000	1000	168	0.16800000000000001
28000	29000	1000	143	0.14299999999999999
29000	30000	1000	180	0.17999999999999999
30000	31000	1000	192	0.192
31000	32000	1000	127	0.127
32000	33000	1000	141	0.14099999999999999
33000	34000	1000	152	0.152
34000	35000	1000	166	0.16600000000000001
35000	36000	1000	175	0.17499999999999999
36000	37000	1000	128	0.128
37000	38000	1000	129	0.129
38000	39000	1000	129	0.129
39000	40000	1000	128	0.128
40000	41000	1000	114	0.114
41000	42000	1000	104	0.104
42000	43000	1000	110	0.11
43000	43713	713	96	0.13464235624123422
0	2000	2000	1082	0.54100000000000004
2000	4000	2000	801	0.40050000000000002
4000	6000	2000	697	0.34849999999999998
6000	8000	2000	633	0.3165
8000	10000	2000	523	0.26150000000000001
10000	12000	2000	473	0.23649999999999999
12000	14000	2000	452	0.22600000000000001
14000	16000	2000	418	0.20899999999999999
16000	18000	2000	439	0.2195
18000	20000	2000	435	0.2175
20000	22000	2000	390	0.19500000000000001
22000	24000	2000	427	0.2135
24000	26000	2000	310	0.155
26000	28000	2000	305	0.1525
28000	30000	2000	323	0.1615
30000	32000	2000	319	0.1595
32000	34000	2000	293	0.14649999999999999
34000	36000	2000	341	0.17050000000000001
36000	38000	2000	257	0.1285
38000	40000	2000	257	0.1285
40000	42000	2000	218	0.109
42000	43713	1713	206	0.12025685931115003
