target_a	target_b	control_rank	control_a	control_b	distance	js_similarity	weighted_overlap	jaccard_support_overlap	observations_a	observations_b	reliability
x009968	x020557	1	x008944	x015852	1	7.771561172376096e-16	0	0	190	91	1
x009968	x020557	1	x008944	x015852	2	0.15014012014657951	0.11671486408328516	0.06103286384976526	190	91	1
x009968	x020557	1	x008944	x015852	3	0.22464513337815228	0.17027183342972815	0.10294117647058823	190	91	1
x009968	x020557	1	x008944	x015852	4	0.193445517979	0.14736842105263154	0.0945945945945946	190	91	1
x009968	x020557	1	x008944	x015852	5	0.1996408808162583	0.15401966454598034	0.0871559633027523	190	91	1
x009968	x020557	1	x008944	x015852	6	0.1884809891936189	0.1377674956622325	0.0867579908675799	190	91	1
x009968	x020557	1	x008944	x015852	7	0.19092765661237987	0.1478311162521689	0.08035714285714286	190	91	1
x009968	x020557	1	x008944	x015852	8	0.24200040303283488	0.18652400231347593	0.11682242990654206	190	91	1
x009968	x020557	1	x008944	x015852	9	0.1910986357780443	0.1482938114517062	0.08597285067873303	190	91	1
x009968	x020557	1	x008944	x015852	10	0.2057926003515167	0.1530942741469057	0.07555555555555556	190	91	1
x009968	x020557	1	x008944	x015852	11	0.20748026942263953	0.164545980335454	0.08962264150943396	190	91	1
x009968	x020557	1	x008944	x015852	12	0.19738658157355282	0.153556969346443	0.08108108108108109	190	91	1
x009968	x020557	1	x008944	x015852	13	0.19556906160258647	0.153556969346443	0.08695652173913043	190	91	1
x009968	x020557	1	x008944	x015852	14	0.2125564627283386	0.15789473684210528	0.1050228310502283	190	91	1
x009968	x020557	1	x008944	x015852	15	0.2035156279133742	0.16020821283979178	0.07981220657276995	190	91	1
x009968	x020557	1	x008944	x015852	16	0.20153452635494085	0.16020821283979172	0.084070796460177	190	91	1
x009968	x020557	1	x008944	x015852	17	0.27481190951858836	0.22197802197802188	0.12206572769953052	190	91	1
x009968	x020557	1	x008944	x015852	18	0.2170823559620252	0.15401966454598034	0.08294930875576037	190	91	1
x009968	x020557	1	x008944	x015852	19	0.13085137785484346	0.10138808559861193	0.056768558951965066	190	91	1
x009968	x020557	1	x008944	x015852	20	0.1961759959892042	0.15835743204164257	0.08144796380090498	190	91	1
x009968	x020557	2	x008944	x015853	1	0.008829638007061935	0.005263157894736842	0.005050505050505051	190	58	1
x009968	x020557	2	x008944	x015853	2	0.1484271766084173	0.09618874773139748	0.06521739130434782	190	58	1
x009968	x020557	2	x008944	x015853	3	0.17788568927121373	0.11724137931034485	0.07692307692307693	190	58	1
x009968	x020557	2	x008944	x015853	4	0.1074020367787728	0.0751361161524501	0.043689320388349516	190	58	1
x009968	x020557	2	x008944	x015853	5	0.16879239182316386	0.1105263157894737	0.06770833333333333	190	58	1
x009968	x020557	2	x008944	x015853	6	0.22719492085476478	0.16842105263157892	0.09326424870466321	190	58	1
x009968	x020557	2	x008944	x015853	7	0.1177063818521582	0.0736842105263158	0.04950495049504951	190	58	1
x009968	x020557	2	x008944	x015853	8	0.19520689640627453	0.1382940108892922	0.08900523560209424	190	58	1
x009968	x020557	2	x008944	x015853	9	0.1089465398309073	0.0751361161524501	0.04411764705882353	190	58	1
x009968	x020557	2	x008944	x015853	10	0.20661455708029897	0.15263157894736842	0.08374384236453201	190	58	1
x009968	x020557	2	x008944	x015853	11	0.19278348484134233	0.14264972776769513	0.06842105263157895	190	58	1
x009968	x020557	2	x008944	x015853	12	0.12929018847535523	0.08421052631578949	0.065	190	58	1
x009968	x020557	2	x008944	x015853	13	0.15713735447071187	0.10526315789473686	0.06341463414634146	190	58	1
x009968	x020557	2	x008944	x015853	14	0.15267469125970456	0.10000000000000002	0.07575757575757576	190	58	1
x009968	x020557	2	x008944	x015853	15	0.14277386652333046	0.10526315789473685	0.05670103092783505	190	58	1
x009968	x020557	2	x008944	x015853	16	0.12940861296063455	0.09764065335753176	0.04830917874396135	190	58	1
x009968	x020557	2	x008944	x015853	17	0.16924083425312975	0.10145190562613433	0.08290155440414508	190	58	1
x009968	x020557	2	x008944	x015853	18	0.19652235551401986	0.1473684210526316	0.08629441624365482	190	58	1
x009968	x020557	2	x008944	x015853	19	0.25649197270433677	0.1894736842105263	0.10526315789473684	190	58	1
x009968	x020557	2	x008944	x015853	20	0.2008071171210991	0.14500907441016334	0.08290155440414508	190	58	1
x009968	x020557	3	x015852	x020628	1	0	0	0	91	127	1
x009968	x020557	3	x015852	x020628	2	0.09338066645182352	0.07709613221424245	0.05172413793103448	91	127	1
x009968	x020557	3	x015852	x020628	3	0.11493100501386722	0.08332612269620145	0.05	91	127	1
x009968	x020557	3	x015852	x020628	4	0.1344689411837201	0.10071817945833694	0.06179775280898876	91	127	1
x009968	x020557	3	x015852	x020628	5	0.14278499489476504	0.11335121571342044	0.07526881720430108	91	127	1
x009968	x020557	3	x015852	x020628	6	0.11953396003787775	0.10071817945833694	0.04945054945054945	91	127	1
x009968	x020557	3	x015852	x020628	7	0.141098703392052	0.10859219520636844	0.06593406593406594	91	127	1
x009968	x020557	3	x015852	x020628	8	0.17729870154083882	0.13844423293242192	0.07262569832402235	91	127	1
x009968	x020557	3	x015852	x020628	9	0.1489123758940638	0.11170719044734793	0.07065217391304347	91	127	1
x009968	x020557	3	x015852	x020628	10	0.23881001640767585	0.18568832742061087	0.09941520467836257	91	127	1
x009968	x020557	3	x015852	x020628	11	0.15752024675429543	0.11646621095439993	0.07407407407407407	91	127	1
x009968	x020557	3	x015852	x020628	12	0.2901638608958583	0.2280003461105822	0.13414634146341464	91	127	1
x009968	x020557	3	x015852	x020628	13	0.13065329966841588	0.10383317469931644	0.058823529411764705	91	127	1
x009968	x020557	3	x015852	x020628	14	0.16449945189604498	0.1274552219434109	0.0782122905027933	91	127	1
x009968	x020557	3	x015852	x020628	15	0.13971693767778692	0.11170719044734793	0.05555555555555555	91	127	1
x009968	x020557	3	x015852	x020628	16	0.18676103346222261	0.15107726918750536	0.09340659340659341	91	127	1
x009968	x020557	3	x015852	x020628	17	0.21542579581858368	0.17305529116552734	0.1016949152542373	91	127	1
x009968	x020557	3	x015852	x020628	18	0.18252161925005295	0.1400882581984944	0.07602339181286549	91	127	1
x009968	x020557	3	x015852	x020628	19	0.1510550334287688	0.12581119667733842	0.07303370786516854	91	127	1
x009968	x020557	3	x015852	x020628	20	0.1693184986202475	0.13057021718439044	0.08196721311475409	91	127	1
x009969	x020557	1	x008944	x015852	1	0	0	0	190	91	1
x009969	x020557	1	x008944	x015852	2	0.15014012014657918	0.11671486408328516	0.06103286384976526	190	91	1
x009969	x020557	1	x008944	x015852	3	0.22464513337815217	0.17027183342972815	0.10294117647058823	190	91	1
x009969	x020557	1	x008944	x015852	4	0.19344551797899945	0.1473684210526316	0.0945945945945946	190	91	1
x009969	x020557	1	x008944	x015852	5	0.19964088081625786	0.15401966454598032	0.0871559633027523	190	91	1
x009969	x020557	1	x008944	x015852	6	0.1884809891936179	0.13776749566223254	0.0867579908675799	190	91	1
x009969	x020557	1	x008944	x015852	7	0.19092765661237987	0.1478311162521689	0.08035714285714286	190	91	1
x009969	x020557	1	x008944	x015852	8	0.2420004030328351	0.18652400231347593	0.11682242990654206	190	91	1
x009969	x020557	1	x008944	x015852	9	0.19109863577804498	0.1482938114517062	0.08597285067873303	190	91	1
x009969	x020557	1	x008944	x015852	10	0.20579260035151703	0.1530942741469057	0.07555555555555556	190	91	1
x009969	x020557	1	x008944	x015852	11	0.20748026942263975	0.164545980335454	0.08962264150943396	190	91	1
x009969	x020557	1	x008944	x015852	12	0.1973865815735527	0.153556969346443	0.08108108108108109	190	91	1
x009969	x020557	1	x008944	x015852	13	0.1955690616025868	0.15355696934644303	0.08695652173913043	190	91	1
x009969	x020557	1	x008944	x015852	14	0.21255646272833806	0.1578947368421052	0.1050228310502283	190	91	1
x009969	x020557	1	x008944	x015852	15	0.2035156279133743	0.1602082128397918	0.07981220657276995	190	91	1
x009969	x020557	1	x008944	x015852	16	0.20153452635493985	0.16020821283979178	0.084070796460177	190	91	1
