window_size	method	k	silhouette	within_cluster_dispersion	between_cluster_distance	cluster_sizes	transition_count	segment_fragmentation
50	hierarchical	2	0.05971753871704984	0.8977344809992897	0.9505834698750506	8715,18	2	1.5
50	hierarchical	3	0.03475764252826333	0.8974358402600621	0.9388965442825219	8688,27,18	16	5.666666666666667
50	hierarchical	4	0.025449863769113575	0.897114529801004	0.9355892396194558	8666,27,18,22	20	5.25
50	hierarchical	5	0.019736771369432506	0.8969130963327204	0.9309162655112011	8635,26,32,18,22	33	6.8
50	hierarchical	6	0.021816424684817995	0.8966484701794715	0.9292663017537522	8616,20,26,31,18,22	35	6
50	hierarchical	7	0.020324119592450576	0.8963909339464452	0.9279885040379557	8556,20,25,60,32,18,22	69	10
50	hierarchical	8	0.013665219683944914	0.896253347371137	0.9254016768073862	8455,20,101,25,60,32,18,22	137	17.25
50	hierarchical	9	0.016020388133493157	0.8959982351229604	0.9248142464562379	8406,20,101,25,59,31,18,22,51	172	19.22222222222222
50	hierarchical	10	0.019670574697756397	0.895692250211722	0.92484173252448	8365,20,101,25,58,42,31,18,22,51	197	19.8
50	hierarchical	11	0.020802965629836002	0.8955668574296118	0.9231517714773628	8307,20,101,25,58,42,58,31,18,22,51	231	21.09090909090909
50	hierarchical	12	0.021925758170567296	0.8940275445669208	0.923804265698749	8241,19,101,70,25,58,42,56,31,18,22,50	257	21.5
50	hierarchical	13	0.022203560513919193	0.8921609509043751	0.9218364956343044	8107,19,100,69,25,58,39,55,30,18,22,50,141	331	25.53846153846154
50	hierarchical	14	0.027100146395169968	0.8917210402929993	0.9226028734192868	8096,19,100,69,25,58,39,55,30,18,22,50,19,133	327	23.428571428571427
50	hierarchical	15	0.030890140105175493	0.8913541600158886	0.9228563222742684	8045,19,100,68,25,58,39,55,30,18,51,22,50,19,134	367	24.533333333333335
100	hierarchical	2	0.07081022662895609	0.834231739127144	0.893912495902188	4344,18	2	1.5
100	hierarchical	3	0.0622224578608012	0.8336404087218977	0.8931969469149244	4327,17,18	4	1.6666666666666667
100	hierarchical	4	0.05081777875372432	0.8331632068455445	0.888954895401193	4310,17,17,18	6	1.75
100	hierarchical	5	0.04793099667169527	0.8326016004984728	0.8886980932944073	4293,17,17,18,17	8	1.8
100	hierarchical	6	0.03743524807061493	0.8323592792691397	0.8822460018808395	4275,17,17,18,18,17	10	1.8333333333333333
100	hierarchical	7	0.032991111654685344	0.8320806188929687	0.878462097483565	4255,17,20,17,18,18,17	14	2.142857142857143
100	hierarchical	8	0.0273931087994037	0.8319219268436273	0.8740806258525256	4238,17,17,20,17,18,18,17	16	2.125
100	hierarchical	9	0.03048049955518092	0.831546789723272	0.873303160398006	4219,17,17,20,17,19,18,18,17	19	2.2222222222222223
100	hierarchical	10	0.031339440865388445	0.8312624555269317	0.8716984750383001	4202,17,17,20,17,19,18,17,18,17	21	2.2
100	hierarchical	11	0.03423260896927478	0.8310224851766473	0.869963680144833	9,4193,17,17,20,17,19,18,17,18,17	22	2.090909090909091
100	hierarchical	12	0.03828258716801189	0.8306423515828768	0.8696795037521109	9,4175,17,17,20,17,19,18,18,17,18,17	24	2.0833333333333335
100	hierarchical	13	0.03895436897180267	0.8304215099794806	0.8681906876869457	9,4158,17,17,17,20,17,19,18,18,17,18,17	26	2.076923076923077
100	hierarchical	14	0.04209588668286117	0.8301223134440194	0.8674495520619558	9,4140,17,17,17,20,17,19,18,18,18,17,18,17	28	2.0714285714285716
100	hierarchical	15	0.04590826968861915	0.8299128865302955	0.8662103400648109	9,4122,17,17,17,20,17,19,18,18,18,17,18,17,18	30	2.066666666666667
200	hierarchical	2	0.09496002766326651	0.7541924059885936	0.8296194681505219	2160,16	2	1.5
200	hierarchical	3	0.04865289342918843	0.7538738302236363	0.8076512687447032	2143,17,16	4	1.6666666666666667
200	hierarchical	4	0.034501238265871786	0.7536030662315071	0.7986162758884728	2132,17,14,13	5	1.5
200	hierarchical	5	0.03070446014347103	0.7533165909103894	0.7943782433489678	2115,17,14,13,17	7	1.6
200	hierarchical	6	0.033610924102956324	0.7528807431015815	0.794618892159195	2098,17,17,14,13,17	9	1.6666666666666667
200	hierarchical	7	0.034241460270744616	0.752608408350503	0.7920753620131097	2088,17,17,13,11,13,17	10	1.5714285714285714
200	hierarchical	8	0.035068584913339314	0.7523368413373654	0.7901908660674248	2079,17,17,13,11,13,17,9	11	1.5
200	hierarchical	9	0.036390432588433476	0.7521270304747999	0.7880036021466049	2063,17,16,17,13,11,13,17,9	13	1.5555555555555556
200	hierarchical	10	0.03870854741012393	0.7518531829600852	0.7869304044059682	2046,17,16,17,13,11,13,17,17,9	15	1.6
200	hierarchical	11	0.041581304014661036	0.7516793531509828	0.785108523762122	2029,17,17,16,17,13,11,13,17,17,9	17	1.6363636363636365
200	hierarchical	12	0.04195203792874624	0.7515385647793439	0.7833199262762008	2011,17,17,16,18,17,13,11,13,17,17,9	19	1.6666666666666667
200	hierarchical	13	0.04454980842183872	0.7513327619856167	0.782304726253252	1995,17,17,16,16,18,17,13,11,13,17,17,9	21	1.6923076923076923
200	hierarchical	14	0.04727009953437572	0.751172192948614	0.7811093092761567	1979,17,17,16,16,16,18,17,13,11,13,17,17,9	23	1.7142857142857142
200	hierarchical	15	0.05147801732399954	0.7509398112857796	0.780526683254689	1962,17,17,16,16,16,18,17,13,11,13,17,17,17,9	25	1.7333333333333334
500	hierarchical	2	0.019102253837682836	0.6276304656814123	0.6398729381611638	456,409	1	1
500	hierarchical	3	0.02586157026701995	0.6220872995674096	0.6414447935499904	332,127,406	2	1
500	hierarchical	4	0.0294702832662171	0.6162830455419617	0.6413785415770662	52,280,127,406	3	1
500	hierarchical	5	0.03245375174265127	0.6107213340570267	0.6400954586879425	52,280,125,129,279	4	1
500	hierarchical	6	0.03940049657811929	0.6057057659286037	0.6405023405176001	51,78,203,125,129,279	5	1
500	hierarchical	7	0.04485451457636529	0.6015071406385427	0.6405322469552085	51,78,202,62,66,127,279	6	1
500	hierarchical	8	0.049774878295194315	0.5963072677745002	0.6405519699205298	51,78,201,37,27,65,127,279	7	1
500	hierarchical	9	0.05344510824898752	0.5913921919760918	0.6406389395854887	51,78,201,37,27,62,18,112,279	8	1
500	hierarchical	10	0.06028714045261444	0.5860964378028324	0.64066971081124	51,78,201,37,26,26,38,17,112,279	9	1
500	hierarchical	11	0.06504088430773677	0.5809262612384779	0.6407379706999811	51,62,18,199,37,26,26,38,17,112,279	10	1
500	hierarchical	12	0.07164837485292448	0.5757306491481028	0.6405665441270493	51,62,17,73,127,37,26,26,38,17,112,279	11	1
500	hierarchical	13	0.07713599875232861	0.5710953383726349	0.6405694973520123	48,17,48,17,73,127,37,26,26,38,17,112,279	12	1
500	hierarchical	14	0.08303163004320128	0.5658348409840903	0.6406477050744787	48,17,48,17,73,114,17,33,26,26,38,17,112,279	13	1
500	hierarchical	15	0.0911040890105125	0.5604286353762239	0.6405758981722249	48,17,48,17,73,114,17,33,26,26,38,17,109,54,228	14	1
1000	hierarchical	2	0.0483642609133653	0.52488518008509	0.5515991305560668	192,236	1	1
1000	hierarchical	3	0.06291876165811926	0.5140428024147714	0.5519815105328776	31,161,236	2	1
1000	hierarchical	4	0.0773161149264594	0.5033131270951974	0.5524438499298879	29,32,132,235	3	1
1000	hierarchical	5	0.08989173283897627	0.4939082404341864	0.5522135758414178	29,31,100,35,233	4	1
1000	hierarchical	6	0.10026120580202295	0.4839218222303909	0.551807059509139	29,30,32,70,34,233	5	1
1000	hierarchical	7	0.11016975287809083	0.47520215241799774	0.5515441067065677	29,30,31,55,18,32,233	6	1
1000	hierarchical	8	0.12987893879855927	0.46345731365623166	0.5498624795852357	29,30,31,55,18,31,101,133	7	1
1000	hierarchical	9	0.14160237174917462	0.45421705643889626	0.5494924977923819	29,30,31,55,18,29,43,61,132	8	1
1000	hierarchical	10	0.1545973405943775	0.4444228735127205	0.5483720786088943	29,30,31,55,18,29,43,60,87,46	9	1
1000	hierarchical	11	0.1665308433957727	0.4354912867370843	0.5483330604071472	29,30,31,55,17,15,17,41,60,87,46	10	1
1000	hierarchical	12	0.17672660140513774	0.42683194133809044	0.54805975152913	29,30,31,55,17,15,17,39,19,44,86,46	11	1
1000	hierarchical	13	0.19143690242608025	0.41765845182161504	0.5480618506883705	29,30,31,55,17,15,16,26,16,17,44,86,46	12	1
1000	hierarchical	14	0.20368972538521216	0.40885709694366407	0.5478970411734	29,30,29,18,40,16,15,16,26,16,17,44,86,46	13	1
1000	hierarchical	15	0.21943932499321112	0.3993544715052182	0.5477242449554578	29,30,29,18,40,16,15,16,26,16,17,42,30,58,46	14	1
50	k_medoids	2	0.00768512170091371	0.8947657857374979	0.9017209319720157	4361,4372	945	473
50	contiguous_segmentation	2	-0.002993285524050252	0.8978354829389232	0.895166006013053	7190,1543	1	1
50	k_medoids	3	0.010282383360058772	0.8884362743921763	0.9033463782016274	3157,3724,1852	1147	382.6666666666667
50	contiguous_segmentation	3	-0.006333077152852762	0.8977318529546628	0.8955443028806159	5,7185,1543	2	1
50	k_medoids	4	0.0029883246534432696	0.888420386276576	0.9015460580572948	2045,2951,2042,1695	1440	360.25
50	contiguous_segmentation	4	-0.02309078293696194	0.8975415194952238	0.8953986062907736	5,7185,51,1492	3	1
50	k_medoids	5	0.010304371792101157	0.8876871739316531	0.9028936653946125	3142,1351,3177,1045,18	1331	266.4
50	contiguous_segmentation	5	-0.025197588307111527	0.8967106222988902	0.8952694424664082	5,7185,51,788,704	4	1
50	k_medoids	6	0.005335757351920066	0.884342848828085	0.9020353625267233	1478,958,2328,511,554,2904	1449	241.66666666666666
50	contiguous_segmentation	6	-0.027965699637611183	0.8967379728249891	0.8950354194610972	5,7185,51,485,303,704	5	1
50	k_medoids	7	0.012420008875612731	0.8862117593500409	0.9028884878964811	1915,99,3115,18,896,2671,19	1358	194.14285714285714
50	contiguous_segmentation	7	-0.02990415837788081	0.8969320575624207	0.8949878301635181	5,7185,51,485,303,298,406	6	1
50	k_medoids	8	0.007899190928456808	0.8843532180739705	0.9028548832997038	2746,18,212,1901,987,2376,300,193	1586	198.375
50	contiguous_segmentation	8	-0.03779519542154432	0.8972951507884745	0.8949496553695065	5,7185,51,485,303,298,49,357	7	1
50	k_medoids	9	0.0025717424989900235	0.8807305671540088	0.9013468796457644	472,896,1990,1319,103,531,494,1368,1560	1773	197.11111111111111
50	contiguous_segmentation	9	-0.03779519542154432	0.8972951507884745	0.8949496553695065	5,7185,51,485,7,296,298,49,357	8	1
50	k_medoids	10	0.00976249303483763	0.8800993881007876	0.9029812478177516	1828,540,3003,175,624,181,396,18,1557,411	1689	169
50	contiguous_segmentation	10	-0.03796030537771059	0.8971089538940548	0.8949574634583232	5,7185,51,445,40,7,296,298,49,357	9	1
50	k_medoids	11	0.002022370875356266	0.8799033389065289	0.9021229136810434	2439,534,546,169,1153,1965,272,72,18,1357,208	1773	161.27272727272728
50	contiguous_segmentation	11	-0.03796030537771059	0.8971089538940548	0.8949574634583232	5,7185,51,439,6,40,7,296,298,49,357	10	1
50	k_medoids	12	0.009055629972913206	0.8779777459375144	0.9020460817803159	1966,2668,18,1443,1114,33,426,180,179,225,123,358	1662	138.58333333333334
50	contiguous_segmentation	12	-0.03796030537771059	0.8971089538940548	0.8949574634583232	5,7148,37,51,439,6,40,7,296,298,49,357	11	1
50	k_medoids	13	0.009084144822968418	0.8753144259736433	0.901742832210405	1225,18,404,822,353,1074,79,269,1958,763,111,250,1407	1902	146.3846153846154
50	contiguous_segmentation	13	-0.03460417452591456	0.8971389867598216	0.8949742524315507	5,7133,15,37,51,439,6,40,7,296,298,49,357	12	1
50	k_medoids	14	0.005874940222968235	0.8776124748088382	0.9017986750201694	73,204,189,582,18,1168,604,85,1980,1758,1601,18,287,166	1831	130.85714285714286
50	contiguous_segmentation	14	-0.03403639685053873	0.8971053636856384	0.8949581042757124	5,7133,15,37,51,55,384,6,40,7,296,298,49,357	13	1
50	k_medoids	15	0.0030343289132953684	0.8740981442208038	0.9010562902618134	149,467,18,1193,387,1702,537,132,93,151,358,49,793,1678,1026	1886	125.8
50	contiguous_segmentation	15	-0.03403639685053873	0.8971053636856384	0.8949581042757124	5,7133,15,37,51,55,18,366,6,40,7,296,298,49,357	14	1
100	k_medoids	2	0.010324199802950174	0.8305297044088712	0.839262344296137	2299,2063	247	124
100	contiguous_segmentation	2	-0.0019096802345915673	0.8338614044757395	0.8322551359563524	3220,1142	1	1
100	k_medoids	3	0.007339498370848413	0.8292831359118512	0.8391703312147256	2017,1951,394	306	102.33333333333333
100	contiguous_segmentation	3	-0.0023298914442179495	0.8336846185493785	0.8326486061014278	5,3215,1142	2	1
100	k_medoids	4	0.009509712709995538	0.82842545499903	0.839267238856708	2174,703,17,1468	357	89.5
100	contiguous_segmentation	4	-0.004457708655033247	0.8335023087984924	0.8327288615803985	5,3215,1127,15	3	1
100	k_medoids	5	0.005072453318022185	0.8257644876598885	0.8381543300965548	335,1796,1147,699,385	388	77.8
100	contiguous_segmentation	5	-0.008160510528015703	0.8328823170311738	0.8321164417232628	5,3215,789,338,15	4	1
100	k_medoids	6	0.0006833435808483391	0.8243014885463221	0.8371249895884075	546,468,797,610,861,1080	525	87.66666666666667
100	contiguous_segmentation	6	-0.0103646352729334	0.8323148708775836	0.8316964750106799	5,3215,325,464,338,15	5	1
100	k_medoids	7	0.008961919178371401	0.8225848888624893	0.8385646361912727	1376,17,366,567,1341,58,637	435	62.285714285714285
100	contiguous_segmentation	7	-0.008316208081159175	0.8322052894563047	0.8316975015378779	5,3215,18,307,464,338,15	6	1
100	k_medoids	8	0.0012367936909077582	0.8213186597856134	0.8369836186572717	468,275,912,923,318,706,406,354	516	64.625
100	contiguous_segmentation	8	-0.010937963486213753	0.8326172632435339	0.8315762026280967	5,3215,18,307,464,155,183,15	7	1
100	k_medoids	9	0.01372069439929665	0.8222346421617253	0.8376950265414652	708,16,18,1004,17,909,58,902,730	511	56.888888888888886
100	contiguous_segmentation	9	-0.014024956446829537	0.8327443667834578	0.8315644218654129	5,3215,18,307,464,155,41,142,15	8	1
100	k_medoids	10	0.0051423034781461615	0.8206143283608683	0.8374072283869775	733,358,17,106,778,18,551,32,442,1327	493	49.4
100	contiguous_segmentation	10	-0.015629110685857754	0.832500959986641	0.8315532862285299	5,3215,18,307,464,155,41,37,105,15	9	1
100	k_medoids	11	0.004749828480656712	0.8183739469269495	0.8377000198327954	1294,565,493,298,25,18,143,530,55,408,533	481	43.81818181818182
100	contiguous_segmentation	11	-0.020363860044751003	0.8325056513950471	0.8314177982393433	5,3215,18,307,383,81,155,41,37,105,15	10	1
100	k_medoids	12	0.010480720336857464	0.8180592092066846	0.8369667123716142	520,250,365,17,732,303,17,328,33,790,353,654	503	42
