target_a	target_b	control_rank	control_a	control_b	match_cost	count_a	count_b	structural_similarity	reliability	normalized_graphemic_distance	position_similarity	left_similarity	right_similarity	predecessor_js_similarity	successor_js_similarity
x009968	x020557	1	x008944	x015852	1.1234405001941412	190	91	0.29343574320313903	0.8642768232342558	0.7142857142857143	0.874500019867462	0.005807209741955127	0	0.011334512537851116	0
x009968	x020557	2	x008944	x015853	1.4609155724888896	190	58	0.2742146698852352	0.8215594870690227	0.7142857142857143	0.8130147118444503	0.00467065399339359	0.004958643817861595	0.009425387664412366	0.009351155856766491
x009968	x020557	3	x015852	x020628	1.558427886282598	91	127	0.29537065620355446	0.8460528642686237	0.7142857142857143	0.810358784723914	0.07575318388674929	0	0.11401093974377874	0
x009969	x020557	1	x008944	x015852	0.9193646484726349	190	91	0.29343574320313903	0.8642768232342558	0.7142857142857143	0.874500019867462	0.005807209741955127	0	0.011334512537851116	0
x009969	x020557	2	x015852	x020628	1.2004299522888355	91	127	0.29537065620355446	0.8460528642686237	0.7142857142857143	0.810358784723914	0.07575318388674929	0	0.11401093974377874	0
x009969	x020557	3	x008944	x015853	1.2568397207673834	190	58	0.2742146698852352	0.8215594870690227	0.7142857142857143	0.8130147118444503	0.00467065399339359	0.004958643817861595	0.009425387664412366	0.009351155856766491
x009969	x020558	1	x015852	x020628	0.8024142965146803	91	127	0.29537065620355446	0.8460528642686237	0.7142857142857143	0.810358784723914	0.07575318388674929	0	0.11401093974377874	0
x009969	x020558	2	x015852	x020629	0.9148424594947544	91	115	0.2951676663876634	0.8380438701057575	0.7142857142857143	0.8445113017029005	0.04099169746008971	0	0.06295289284822447	0
x009969	x020558	3	x008706	x015852	0.9235226476910651	116	91	0.2970346785721302	0.8387469650842402	0.7142857142857143	0.858521142033211	0.02886029928631866	0.0037225943968610007	0.037298023715153894	0.010283690590281114
x009436	x012697	1	x000053	x015852	2.000117148837103	342	91	0.3039941850269163	0.8642768232342558	0.5714285714285714	0.8880902784700424	0.023892276610706482	0	0.036916249915506016	0
x009436	x012697	2	x009249	x015853	2.162188896874745	383	58	0.28969314299898297	0.8215594870690227	0.7142857142857143	0.826821716260523	0.042257712736425826	0	0.05817519433671858	0
x009436	x012697	3	x008944	x015852	2.1942754640043556	190	91	0.29343574320313903	0.8642768232342558	0.7142857142857143	0.874500019867462	0.005807209741955127	0	0.011334512537851116	0
x009970	x020556	1	x008944	x015852	0.5352784422115174	190	91	0.29343574320313903	0.8642768232342558	0.7142857142857143	0.874500019867462	0.005807209741955127	0	0.011334512537851116	0
x009970	x020556	2	x015852	x018931	0.8127828479973207	91	229	0.29677468451767847	0.8642768232342558	0.5714285714285714	0.8679832234754917	0.022340830077543724	0	0.041359040051097695	0
x009970	x020556	3	x008944	x015853	0.8727535145062659	190	58	0.2742146698852352	0.8215594870690227	0.7142857142857143	0.8130147118444503	0.00467065399339359	0.004958643817861595	0.009425387664412366	0.009351155856766491
x009970	x020558	1	x015852	x020628	0.474034272166308	91	127	0.29537065620355446	0.8460528642686237	0.7142857142857143	0.810358784723914	0.07575318388674929	0	0.11401093974377874	0
x009970	x020558	2	x015852	x020629	0.5067706180519824	91	115	0.2951676663876634	0.8380438701057575	0.7142857142857143	0.8445113017029005	0.04099169746008971	0	0.06295289284822447	0
x009970	x020558	3	x008706	x015852	0.5154508062482931	116	91	0.2970346785721302	0.8387469650842402	0.7142857142857143	0.858521142033211	0.02886029928631866	0.0037225943968610007	0.037298023715153894	0.010283690590281114
x009971	x020556	1	x018931	x020105	0.20701356156907758	229	41	0.2641639394418083	0.786419633193657	0.7142857142857143	0.792491818325425	0	0	0	0
x009971	x020556	2	x000714	x012123	0.30837265999839913	224	39	0.270565888097046	0.7811554559805131	0.7142857142857143	0.811697664291138	0	0	0	0
x009971	x020556	3	x012698	x020720	0.3461735433586851	224	40	0.2773511906504079	0.7838352207719937	0.7142857142857143	0.8230014811746643	0.009052090776559473	0	0.010815088669218431	4.440892098500626e-16
