record_type	token_a	token_b	control	parameter	observed_gain	control_mean	control_p95	percentile	mean_gain_full	mean_gain_ablated
pair	x009436	x012697	random_space		0.03762446704435425	0.04063766323679111	0.04379152412909291	4.5		
pair	x009436	x012697	generic_smoothing		0.03762446704435425	0.631630114904736	0.6337039053603768	0		
pair	x009436	x012697	random_space_ablated		0.10706450949143403	0.12365034494054747	0.1272700565491971	0		
pair	x009436	x012697	generic_smoothing_ablated		0.10706450949143403	0.6194570470363127	0.620740244123106	0		
pair	x009968	x020557	random_space		0.049486486956414596	0.05161509146696118	0.05578372608671691	19		
pair	x009968	x020557	generic_smoothing		0.049486486956414596	0.6903309015420217	0.6932281063279172	0		
pair	x009968	x020557	random_space_ablated		0.12919390068457687	0.15188977227977632	0.15679023332174297	0		
pair	x009968	x020557	generic_smoothing_ablated		0.12919390068457687	0.6811614182702277	0.6831604594689191	0		
pair	x009969	x020557	random_space		0.04845948383374121	0.06284072960388094	0.06791119038836532	0		
pair	x009969	x020557	generic_smoothing		0.04845948383374121	0.6924191704738809	0.6964541241384167	0		
pair	x009969	x020557	random_space_ablated		0.14057442540516563	0.16308104721668853	0.16879927897214714	0		
pair	x009969	x020557	generic_smoothing_ablated		0.14057442540516563	0.6809292271376954	0.6836680307264371	0		
pair	x009970	x020556	random_space		0.05968936889213807	0.06555810722559179	0.07079763797089911	5		
pair	x009970	x020556	generic_smoothing		0.05968936889213807	0.7177707701671716	0.7225338018425008	0		
pair	x009970	x020556	random_space_ablated		0.13897641249282194	0.15939968647156016	0.16467084805386673	0		
pair	x009970	x020556	generic_smoothing_ablated		0.13897641249282194	0.7178235559975887	0.719811908188065	0		
pair	x009969	x020558	random_space		0.06581134731920317	0.07125139140259465	0.07673156686668496	8		
pair	x009969	x020558	generic_smoothing		0.06581134731920317	0.7122175636325035	0.7169804161270514	0		
pair	x009969	x020558	random_space_ablated		0.15525315285343277	0.1771444747686004	0.18338071656204763	0		
pair	x009969	x020558	generic_smoothing_ablated		0.15525315285343277	0.7119171987415699	0.7145230170240194	0		
pair	x009970	x020558	random_space		0.07526692584709435	0.08179926989477698	0.08842817492352258	5		
pair	x009970	x020558	generic_smoothing		0.07526692584709435	0.7392669911190611	0.7442972921949756	0		
pair	x009970	x020558	random_space_ablated		0.1733712674166774	0.19455638521924168	0.20154848609997295	0		
pair	x009970	x020558	generic_smoothing_ablated		0.1733712674166774	0.7356802592869385	0.7381512101496683	0		
pair	x009971	x020556	random_space		0.05423157146908055	0.06255634308801179	0.06886102503060973	0.5		
pair	x009971	x020556	generic_smoothing		0.05423157146908055	0.7519862196021577	0.757954950990809	0		
pair	x009971	x020556	random_space_ablated		0.15904109635017355	0.18050577988044883	0.18735308845058032	0		
pair	x009971	x020556	generic_smoothing_ablated		0.15904109635017355	0.7444711039138459	0.7470111964152079	0		
sweep			threshold	0.5					0.16981780925465959	0.34662794530845625
sweep			threshold	0.6					0.0839661165379101	0.23317113935031222
sweep			threshold	0.65					0.055795664480289456	0.14335353781346885
sweep			threshold	0.7					0.021466357436257057	0.10117826420853172
sweep			threshold	0.75					0.008425579760278096	0.06684975689099708
sweep			knn	3					0.17495933102628025	0.20935700392094964
sweep			knn	5					0.2124488404868161	0.2502399636652771
sweep			knn	10					0.25045700042769803	0.2910182031271905
sweep			knn	20					0.2803468375913294	0.3220548427222398
sweep			family_control	0					0.007821080099484854	0.007821080099484854
shuffle			global		0.06413640305657153				0.2750327650962918	
shuffle			line-preserving		0.06959448647738228				0.24996389022193852	
