block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G0/generic#0	G1/generic#0	42	45	31	0.5535714286	0.6733196729	1
G0/generic#0	G2/generic#0	42	44	26	0.4333333333	0.5763200753	0
G0/generic#0	G3/generic#0	42	38	29	0.568627451	0.7052284246	0
G0/generic#0	G0/generic#1	42	40	28	0.5185185185	0.6400739796	0
G0/generic#0	G1/generic#1	42	37	26	0.4905660377	0.6274035566	0
G0/generic#0	G2/generic#1	42	32	25	0.5102040816	0.6796959503	0
G0/generic#0	G3/generic#1	42	26	17	0.3333333333	0.5136689721	0
G0/generic#0	G0/generic#2	42	49	31	0.5166666667	0.6263901449	0
G0/generic#0	G1/generic#2	42	39	27	0.5	0.6305060488	0
G0/generic#0	G2/generic#2	42	41	29	0.537037037	0.6810230087	0
G0/generic#0	G3/generic#2	42	60	37	0.5692307692	0.7279179586	0
G0/generic#0	G0/generic#3	42	45	32	0.5818181818	0.6986153075	0
G0/generic#0	G1/generic#3	42	47	34	0.6181818182	0.7385601491	0
G0/generic#0	G2/generic#3	42	44	24	0.3870967742	0.595786302	0
G0/generic#0	G3/generic#3	42	39	33	0.6875	0.7883272593	0
G0/generic#0	G0/generic#4	42	34	20	0.3571428571	0.5410064035	0
G0/generic#0	G1/generic#4	42	42	31	0.5849056604	0.7044231136	0
G0/generic#0	G2/generic#4	42	37	25	0.462962963	0.6406359835	0
G0/generic#0	G3/generic#4	42	35	23	0.4259259259	0.5888092648	1
G0/generic#0	G0/generic#5	42	38	21	0.3559322034	0.5483617176	0
G0/generic#0	G1/generic#5	42	31	24	0.4897959184	0.6384643442	0
G0/generic#0	G2/generic#5	42	10	8	0.1818181818	0.3673874523	0
G0/generic#0	G3/generic#5	42	25	16	0.3137254902	0.5391451518	0
G0/generic#0	G0/generic#6	42	40	31	0.6078431373	0.7471326589	0
G0/generic#0	G1/generic#6	42	29	19	0.3653846154	0.5655042188	0
G0/generic#0	G2/generic#6	42	31	22	0.431372549	0.5732717277	0
G0/generic#0	G3/generic#6	42	26	19	0.387755102	0.5830812738	0
G0/generic#0	G0/generic#7	42	34	25	0.4901960784	0.6299929042	0
G0/generic#0	G1/generic#7	42	35	24	0.4528301887	0.5987200244	0
G0/generic#0	G2/generic#7	42	24	15	0.2941176471	0.451860712	0
G0/generic#0	G3/generic#7	42	28	20	0.4	0.6033839989	0
G0/generic#0	G0/generic#8	42	22	15	0.306122449	0.5109967548	0
G0/generic#0	G1/generic#8	42	27	19	0.38	0.5290259011	0
G0/generic#0	G2/generic#8	42	15	11	0.2391304348	0.4309489796	0
G0/generic#0	G3/generic#8	42	33	20	0.3636363636	0.5560837922	0
G0/generic#0	G0/generic#9	42	19	14	0.2978723404	0.4794046395	0
G0/generic#0	G1/generic#9	42	29	22	0.4489795918	0.6680266504	0
G0/generic#0	G2/generic#9	42	38	28	0.5384615385	0.6495953749	0
G0/generic#0	G3/generic#9	42	43	32	0.6037735849	0.7023200348	0
G0/generic#0	G0/generic#10	42	39	22	0.3728813559	0.5583976336	0
G0/generic#0	G1/generic#10	42	24	17	0.3469387755	0.6041219992	1
G0/generic#0	G2/generic#10	42	23	17	0.3541666667	0.5278518381	0
G0/generic#0	G3/generic#10	42	48	31	0.5254237288	0.6338926496	0
G0/generic#0	G0/generic#11	42	41	21	0.3387096774	0.5330843454	0
G0/generic#0	G1/generic#11	42	26	16	0.3076923077	0.4618022167	0
G0/generic#0	G2/generic#11	42	37	22	0.3859649123	0.5197914912	0
G0/generic#0	G3/generic#11	42	50	35	0.6140350877	0.7600298001	0
G0/generic#0	G0/generic#12	42	46	30	0.5172413793	0.6387673483	0
G0/generic#0	G1/generic#12	42	33	21	0.3888888889	0.5470275882	0
G0/generic#0	G2/generic#12	42	38	26	0.4814814815	0.6422552012	0
G0/generic#0	G3/generic#12	42	52	30	0.46875	0.5836682268	0
G0/generic#0	G0/generic#13	42	43	30	0.5454545455	0.6589287954	0
G0/generic#0	G1/generic#13	42	50	32	0.5333333333	0.6783069148	0
G0/generic#0	G2/generic#13	42	31	21	0.4038461538	0.5769989545	0
G0/generic#0	G3/generic#13	42	33	19	0.3392857143	0.580593321	0
G0/generic#0	G0/generic#14	42	53	39	0.6964285714	0.8202813237	0
G0/generic#0	G1/generic#14	42	40	21	0.3442622951	0.5165353213	0
G0/generic#0	G2/generic#14	42	47	26	0.4126984127	0.5508296026	0
G0/generic#0	G3/generic#14	42	32	24	0.48	0.643427602	0
G0/generic#0	G0/generic#15	42	48	33	0.5789473684	0.7185336333	0
G0/generic#0	G1/generic#15	42	56	37	0.606557377	0.7776226309	0
G0/generic#0	G2/generic#15	42	47	33	0.5892857143	0.7126490599	1
G0/generic#0	G3/generic#15	42	12	12	0.2857142857	0.5177854212	0
G1/generic#0	G2/generic#0	45	44	29	0.4833333333	0.6364441929	0
G1/generic#0	G3/generic#0	45	38	30	0.5660377358	0.6836391781	1
G1/generic#0	G0/generic#1	45	40	29	0.5178571429	0.6958565191	0
G1/generic#0	G1/generic#1	45	37	32	0.64	0.7519277453	0
G1/generic#0	G2/generic#1	45	32	28	0.5714285714	0.6857890234	0
G1/generic#0	G3/generic#1	45	26	24	0.5106382979	0.6951690802	0
G1/generic#0	G0/generic#2	45	49	38	0.6785714286	0.8104473108	0
G1/generic#0	G1/generic#2	45	39	29	0.5272727273	0.6534628351	0
G1/generic#0	G2/generic#2	45	41	32	0.5925925926	0.7336411984	0
G1/generic#0	G3/generic#2	45	60	38	0.5671641791	0.7064993071	0
G1/generic#0	G0/generic#3	45	45	28	0.4516129032	0.6146551847	0
G1/generic#0	G1/generic#3	45	47	32	0.5333333333	0.6350817017	0
G1/generic#0	G2/generic#3	45	44	27	0.435483871	0.5983780596	0
G1/generic#0	G3/generic#3	45	39	33	0.6470588235	0.74630946	0
G1/generic#0	G0/generic#4	45	34	23	0.4107142857	0.6051872574	0
G1/generic#0	G1/generic#4	45	42	33	0.6111111111	0.7445916746	0
G1/generic#0	G2/generic#4	45	37	27	0.4909090909	0.6616132644	0
G1/generic#0	G3/generic#4	45	35	31	0.6326530612	0.7638659533	0
G1/generic#0	G0/generic#5	45	38	23	0.3833333333	0.6130025613	0
G1/generic#0	G1/generic#5	45	31	25	0.4901960784	0.6433168866	0
G1/generic#0	G2/generic#5	45	10	9	0.1956521739	0.4266643848	0
G1/generic#0	G3/generic#5	45	25	19	0.3725490196	0.600504058	0
G1/generic#0	G0/generic#6	45	40	31	0.5740740741	0.7064274444	0
G1/generic#0	G1/generic#6	45	29	22	0.4230769231	0.6192092653	0
G1/generic#0	G2/generic#6	45	31	27	0.5510204082	0.7213542682	0
G1/generic#0	G3/generic#6	45	26	18	0.3396226415	0.5145377434	0
G1/generic#0	G0/generic#7	45	34	27	0.5192307692	0.6733321676	0
G1/generic#0	G1/generic#7	45	35	22	0.3793103448	0.550642886	0
G1/generic#0	G2/generic#7	45	24	20	0.4081632653	0.620714702	0
G1/generic#0	G3/generic#7	45	28	19	0.3518518519	0.5130945955	0
G1/generic#0	G0/generic#8	45	22	18	0.3673469388	0.5513235004	0
G1/generic#0	G1/generic#8	45	27	21	0.4117647059	0.5858073686	0
G1/generic#0	G2/generic#8	45	15	11	0.2244897959	0.4165410334	0
G1/generic#0	G3/generic#8	45	33	26	0.5	0.7116497743	0
