source	target	sign	permutations	empirical_p	fdr_q	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000052	x001848	preferred	1000	0.01498501499	0.1583455914	0.5	0.02878561717	EXPECTED_FROM_NULL
x000052	x001850	preferred	1000	1	1	1	0.02989975903	EXPECTED_FROM_NULL
x000052	x002004	preferred	1000	1	1	0	0.02887532912	EXPECTED_FROM_NULL
x000052	x002364	preferred	1000	1	1	1	0.03253590637	EXPECTED_FROM_NULL
x000052	x004652	preferred	1000	1	1	1	0.03033936568	EXPECTED_FROM_NULL
x000052	x004654	preferred	1000	0.1038961039	0.3246299684	1	0.03189914365	EXPECTED_FROM_NULL
x000052	x006712	preferred	1000	0.07592407592	0.2783882784	1	0.03260665698	EXPECTED_FROM_NULL
x000052	x007532	preferred	1000	1	1	1	0.03036599541	EXPECTED_FROM_NULL
x000052	x008133	preferred	1000	1	1	1	0.03260721362	EXPECTED_FROM_NULL
x000052	x008224	preferred	10000	9.9990001e-05	0.008132520081	0.25	0.03515314238	BACKBONE_PREFERRED
x000052	x008225	preferred	1000	0.1028971029	0.3233908948	1	0.0327729014	EXPECTED_FROM_NULL
x000052	x008485	preferred	1000	0.02397602398	0.1898278712	1	0.02877418026	EXPECTED_FROM_NULL
x000052	x008516	preferred	1000	0.1238761239	0.3598306455	1	0.03439745147	EXPECTED_FROM_NULL
x000052	x010485	preferred	1000	0.1058941059	0.3266894026	1	0.03401140474	EXPECTED_FROM_NULL
x000052	x010760	preferred	1000	1	1	1	0.03360311045	EXPECTED_FROM_NULL
x000052	x010892	preferred	1000	0.01398601399	0.1538461538	0.25	0.03814297372	EXPECTED_FROM_NULL
x000052	x010893	preferred	1000	0.1148851149	0.3429940471	0.5	0.03324601911	EXPECTED_FROM_NULL
x000052	x010894	preferred	1000	0.07292707293	0.2729933943	0.3333333333	0.0324077507	EXPECTED_FROM_NULL
x000052	x010976	preferred	1000	0.07892107892	0.2824322344	0.5	0.03274637812	EXPECTED_FROM_NULL
x000052	x010977	preferred	1000	1	1	0.5	0.03329777993	EXPECTED_FROM_NULL
x000052	x011260	preferred	1000	0.01598401598	0.1618909392	0.3333333333	0.04192119375	EXPECTED_FROM_NULL
x000052	x011261	preferred	1000	0.3046953047	0.7516564318	1	0.04633165587	EXPECTED_FROM_NULL
x000052	x011262	preferred	10000	0.005599440056	0.1089050515	0.3333333333	0.03499177082	EXPECTED_FROM_NULL
x000052	x011263	preferred	1000	1	1	1	0.02912994997	EXPECTED_FROM_NULL
x000052	x011444	preferred	1000	0.08091908092	0.283904331	1	0.03074389325	EXPECTED_FROM_NULL
x000052	x011445	preferred	1000	0.1408591409	0.3929999315	1	0.03074389325	EXPECTED_FROM_NULL
x000052	x011446	preferred	1000	1	1	1	0.02995097446	EXPECTED_FROM_NULL
x000052	x011933	preferred	1000	0.1148851149	0.3429940471	1	0.03626513853	EXPECTED_FROM_NULL
x000052	x011934	preferred	1000	0.03496503497	0.2040133779	1	0.02992591857	EXPECTED_FROM_NULL
x000052	x011976	preferred	1000	0.03196803197	0.2023636741	0.5	0.02822188068	EXPECTED_FROM_NULL
x000052	x012773	preferred	1000	1	1	0	0.03988112807	EXPECTED_FROM_NULL
x000052	x014776	preferred	1000	1	1	1	0.03032956142	EXPECTED_FROM_NULL
x000052	x017120	preferred	1000	0.1118881119	0.3385656058	1	0.03626520896	EXPECTED_FROM_NULL
x000052	x017121	preferred	1000	1	1	1	0.03042733647	EXPECTED_FROM_NULL
x000052	x017122	preferred	1000	1	1	0.3333333333	0.03274490511	EXPECTED_FROM_NULL
x000052	x018072	preferred	1000	0.1218781219	0.3547948797	1	0.03068865299	EXPECTED_FROM_NULL
x000052	x019085	preferred	1000	1	1	0	0.03131159919	EXPECTED_FROM_NULL
x000052	x019220	preferred	1000	0.1368631369	0.3862677806	0.5	0.03512293662	EXPECTED_FROM_NULL
x000052	x019221	preferred	1000	0.1838161838	0.4813294023	1	0.03770209494	EXPECTED_FROM_NULL
x000052	x019542	preferred	1000	1	1	1	0.03305042191	EXPECTED_FROM_NULL
x000052	x020316	preferred	10000	0.000199980002	0.01450665744	0.2	0.0467860221	BACKBONE_PREFERRED
x000052	x020317	preferred	1000	0.1198801199	0.3520330873	1	0.03633921232	EXPECTED_FROM_NULL
x000052	x020318	preferred	10000	0.001799820018	0.05367463254	0.3333333333	0.03775502004	EXPECTED_FROM_NULL
x000052	x020319	preferred	1000	0.06093906094	0.2527982064	0.3333333333	0.02970282477	EXPECTED_FROM_NULL
x000052	x020420	preferred	1000	0.05394605395	0.2429382698	1	0.03331796195	EXPECTED_FROM_NULL
x000052	x020576	preferred	1000	1	1	1	0.02833318764	EXPECTED_FROM_NULL
x000052	x020584	preferred	1000	1	1	0	0.03149936567	EXPECTED_FROM_NULL
x000052	x020622	preferred	1000	1	1	1	0.03275046785	EXPECTED_FROM_NULL
x000052	x020888	preferred	1000	1	1	0	0.02988642377	EXPECTED_FROM_NULL
x000052	x020889	preferred	1000	0.05394605395	0.2429382698	1	0.03296049057	EXPECTED_FROM_NULL
x000052	x021140	preferred	1000	1	1	1	0.02818684674	EXPECTED_FROM_NULL
x000053	x000715	depleted	1000	0.7782217782	1	1	0.07906429094	EXPECTED_FROM_NULL
x000053	x002777	preferred	1000	0.08391608392	0.2891280735	1	0.03889727817	EXPECTED_FROM_NULL
x000053	x004585	preferred	1000	0.03396603397	0.203039722	1	0.0352923421	EXPECTED_FROM_NULL
x000053	x004653	preferred	1000	1	1	0	0.03305171417	EXPECTED_FROM_NULL
x000053	x007612	preferred	1000	0.01598401598	0.1618909392	1	0.03287467336	EXPECTED_FROM_NULL
x000053	x008132	preferred	10000	0.00299970003	0.0706245165	0.5	0.03820090443	EXPECTED_FROM_NULL
x000053	x008133	preferred	1000	0.01798201798	0.1687543226	0.5	0.03738590122	EXPECTED_FROM_NULL
