token	block	direction	counterpart	raw_count	probability	log2_enrichment
x000052	G0/generic#0	incoming	x000052	0	0.001577287066	-2.753750178
x000052	G0/generic#0	incoming	x000053	0	0.001577287066	-2.016784584
x000052	G0/generic#0	incoming	x000054	0	0.001577287066	-1.168787678
x000052	G0/generic#0	incoming	x000055	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000080	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000081	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000082	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000392	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000393	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000404	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000405	0	0.001577287066	-1.168787678
x000052	G0/generic#0	incoming	x000408	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000544	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000545	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000546	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000547	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000633	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000636	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000637	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000638	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000696	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000697	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000698	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000699	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000712	0	0.001577287066	-2.016784584
x000052	G0/generic#0	incoming	x000713	0	0.001577287066	-2.016784584
x000052	G0/generic#0	incoming	x000714	0	0.001577287066	-2.753750178
x000052	G0/generic#0	incoming	x000715	0	0.001577287066	-1.168787678
x000052	G0/generic#0	incoming	x000784	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000785	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000786	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000816	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000817	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000818	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000826	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000944	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000945	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x000946	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x000947	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001052	0	0.001577287066	-1.168787678
x000052	G0/generic#0	incoming	x001053	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x001054	1	0.004731861199	1.153140417
x000052	G0/generic#0	incoming	x001055	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001088	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001168	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x001169	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x001170	0	0.001577287066	-1.654214505
x000052	G0/generic#0	incoming	x001171	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001292	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001304	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x001305	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001307	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x001488	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001489	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001490	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001491	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x001596	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x001597	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001598	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001599	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001616	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x001617	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001784	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001848	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x001849	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x001850	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x002004	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002172	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002364	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002372	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002528	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002536	0	0.001577287066	-1.654214505
x000052	G0/generic#0	incoming	x002537	0	0.001577287066	-1.168787678
x000052	G0/generic#0	incoming	x002538	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002539	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x002552	0	0.001577287066	-1.168787678
x000052	G0/generic#0	incoming	x002553	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002554	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002555	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002616	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002617	0	0.001577287066	1.153140417
