block	transitions	log_loss_m1	log_loss_m2	delta_m1_minus_m2
G0/generic#0	120	5.674384882	6.389987433	-0.7156025506
G1/generic#0	98	5.790622682	6.424886428	-0.6342637467
G2/generic#0	139	5.805582404	6.407984596	-0.602402192
G3/generic#0	139	5.694658441	6.384948273	-0.6902898321
G0/generic#1	105	5.82304575	6.421792571	-0.598746821
G1/generic#1	117	5.784441176	6.417735057	-0.6332938804
G2/generic#1	135	5.819434055	6.435520031	-0.6160859755
G3/generic#1	111	5.834626375	6.401920351	-0.5672939765
G0/generic#2	154	5.790527363	6.404384544	-0.6138571804
G1/generic#2	106	5.95580475	6.414439336	-0.4586345853
G2/generic#2	148	5.824590921	6.428496083	-0.6039051616
G3/generic#2	171	5.887845191	6.429203859	-0.5413586672
G0/generic#3	198	5.84305295	6.422420654	-0.5793677042
G1/generic#3	171	5.684533446	6.366247343	-0.681713897
G2/generic#3	138	5.849347983	6.372241937	-0.522893954
G3/generic#3	134	5.816239658	6.383130544	-0.5668908856
G0/generic#4	194	5.892526055	6.42982909	-0.5373030353
G1/generic#4	148	5.657898531	6.391255654	-0.7333571235
G2/generic#4	125	5.761613996	6.418600615	-0.6569866189
G3/generic#4	203	5.815947243	6.398029418	-0.5820821744
G0/generic#5	167	5.767742314	6.395824353	-0.6280820391
G1/generic#5	117	5.837708956	6.416999046	-0.5792900902
G2/generic#5	156	5.887750926	6.414434747	-0.5266838203
G3/generic#5	133	5.642774878	6.419255585	-0.776480707
G0/generic#6	164	5.853549294	6.415297043	-0.561747749
G1/generic#6	119	5.97058795	6.398668537	-0.4280805873
G2/generic#6	126	5.633873543	6.405066496	-0.7711929534
G3/generic#6	86	5.675632852	6.409735305	-0.7341024529
G0/generic#7	147	5.842289584	6.376220695	-0.5339311108
G1/generic#7	144	5.764302378	6.39759263	-0.6332902515
G2/generic#7	110	5.872597417	6.424493838	-0.5518964215
G3/generic#7	110	5.731627275	6.415116259	-0.6834889842
G0/generic#8	170	5.766919522	6.411195747	-0.6442762254
G1/generic#8	145	5.796631763	6.400154474	-0.6035227113
G2/generic#8	123	5.745732867	6.418316157	-0.6725832899
G3/generic#8	108	6.002024284	6.414461191	-0.4124369075
G0/generic#9	147	5.876014665	6.40541927	-0.5294046045
G1/generic#9	153	5.653051085	6.352321151	-0.6992700664
G2/generic#9	182	5.751727765	6.408852405	-0.6571246396
G3/generic#9	138	5.778846457	6.404589939	-0.6257434813
G0/generic#10	217	5.759436292	6.394275123	-0.6348388313
G1/generic#10	173	5.881862453	6.41337373	-0.5315112775
G2/generic#10	119	5.708585297	6.376420254	-0.6678349568
G3/generic#10	178	5.887401255	6.401524984	-0.5141237288
G0/generic#11	159	5.863534711	6.411428239	-0.5478935277
G1/generic#11	145	5.896896309	6.401448778	-0.5045524687
G2/generic#11	146	5.803526492	6.420581394	-0.6170549027
G3/generic#11	229	5.813775562	6.383300605	-0.5695250431
G0/generic#12	152	5.621667156	6.407115071	-0.7854479153
G1/generic#12	158	5.820753385	6.400722567	-0.5799691825
G2/generic#12	185	5.752732488	6.423930151	-0.6711976635
G3/generic#12	210	5.772886195	6.412877022	-0.6399908275
G0/generic#13	170	5.862649092	6.422719004	-0.5600699114
G1/generic#13	221	5.84509472	6.388544941	-0.5434502215
G2/generic#13	225	5.859254845	6.41623683	-0.5569819856
G3/generic#13	214	5.798170208	6.40951349	-0.6113432825
G0/generic#14	187	5.853774751	6.410100452	-0.5563257008
G1/generic#14	195	5.876644213	6.385675605	-0.5090313921
G2/generic#14	181	5.748881203	6.405202112	-0.6563209083
G3/generic#14	175	5.75266538	6.410730062	-0.6580646813
G0/generic#15	203	5.893441578	6.424745766	-0.5313041886
G1/generic#15	251	5.905829806	6.411147869	-0.5053180636
G2/generic#15	279	5.756453254	6.399148584	-0.6426953304
G3/generic#15	91	5.94914487	6.435085518	-0.4859406487
