source	target	relation	eligible_blocks	joint_classes	currier_classes	hands	median_log2_enrichment	sign_consistency	transfer_fraction	empirical_p	fdr_q	status
x000052	x008224	preferred	44	4	G0,G1,G2,G3	generic	1.593284379	0.9318181818	0.9318181818	9.9990001e-05	0.008132520081	BACKBONE_PREFERRED
x000052	x020316	preferred	44	4	G0,G1,G2,G3	generic	0.3574925801	0.7954545455	0.7954545455	0.000199980002	0.01450665744	BACKBONE_PREFERRED
x000053	x010892	preferred	38	4	G0,G1,G2,G3	generic	1.522271216	0.8684210526	0.8684210526	9.9990001e-05	0.008132520081	BACKBONE_PREFERRED
x000053	x017121	preferred	38	4	G0,G1,G2,G3	generic	1.584194006	0.7894736842	0.7894736842	0.001199880012	0.0407655437	BACKBONE_PREFERRED
x001168	x010485	preferred	11	4	G0,G1,G2,G3	generic	1.828076212	1	1	0.000299970003	0.01750259757	BACKBONE_PREFERRED
x008448	x001596	preferred	5	2	G0,G1	generic	1.563566208	0.8	0.8	0.00099990001	0.03676344694	BACKBONE_PREFERRED
x008688	x001598	preferred	7	3	G0,G2,G3	generic	1.594036084	0.8571428571	0.8571428571	0.000299970003	0.01750259757	BACKBONE_PREFERRED
x008704	x008148	preferred	25	4	G0,G1,G2,G3	generic	1.641487681	0.84	0.84	0.000499950005	0.02439756024	BACKBONE_PREFERRED
x008704	x010284	preferred	25	4	G0,G1,G2,G3	generic	1.629909907	0.96	0.96	0.000799920008	0.03204455674	BACKBONE_PREFERRED
x008705	x000784	preferred	13	4	G0,G1,G2,G3	generic	1.635798466	1	1	0.001299870013	0.04153394184	BACKBONE_PREFERRED
x008705	x004158	preferred	13	4	G0,G1,G2,G3	generic	0.9631239978	0.7692307692	0.7692307692	0.001599840016	0.04879512049	BACKBONE_PREFERRED
x008945	x008708	preferred	12	4	G0,G1,G2,G3	generic	1.616571339	0.9166666667	0.9166666667	9.9990001e-05	0.008132520081	BACKBONE_PREFERRED
