window_size	method	k	silhouette	within_cluster_dispersion	between_cluster_distance	cluster_sizes	transition_count	segment_fragmentation
50	hierarchical	2	0.026222806479027395	0.9346146555969721	0.9556523918301566	8711,22	6	3.5
50	hierarchical	3	0.01928505661178661	0.9343881681172973	0.9562864309785625	8675,22,36	26	9
50	hierarchical	4	0.015067920953883684	0.9341683418000798	0.9561686011747468	8647,28,22,36	40	10.25
50	hierarchical	5	0.015482631758910887	0.9339260926696937	0.9565702847750697	8600,47,28,22,36	59	12
50	hierarchical	6	0.011221119393129817	0.9337863201151915	0.9547714831586854	8538,48,27,22,35,63	98	16.5
50	hierarchical	7	0.011713607964667423	0.9336577148512418	0.953360539575957	8418,48,27,22,119,36,63	186	26.714285714285715
50	hierarchical	8	0.01169625576392732	0.9336090260541317	0.9512464439935792	8342,44,27,81,22,118,36,63	233	29.25
50	hierarchical	9	0.01450428233545348	0.9334220845935185	0.9512728981991021	8313,44,27,80,22,117,35,60,35	246	27.444444444444443
50	hierarchical	10	0.017543956065350176	0.9332411619323553	0.9512007251439175	8272,40,44,27,80,22,117,36,60,35	272	27.3
50	hierarchical	11	0.021112578389725457	0.9330464613833452	0.9512436718520381	8229,41,44,27,47,79,22,114,36,59,35	294	26.818181818181817
50	hierarchical	12	0.02487448213251011	0.9328706433273237	0.9510957387708275	8159,41,44,27,46,77,22,112,79,35,56,35	342	28.583333333333332
50	hierarchical	13	0.02720372379757112	0.932762676529694	0.9504374796947505	8057,41,44,27,46,76,22,111,78,35,55,35,106	410	31.615384615384617
50	hierarchical	14	0.02722853608493837	0.931487389798548	0.9493776741979935	7944,118,40,44,27,45,76,22,109,79,34,57,34,104	488	34.92857142857143
50	hierarchical	15	0.0311143219948233	0.9313071312868201	0.949339640535847	7895,116,38,43,27,46,74,66,22,107,74,34,55,34,102	514	34.333333333333336
100	hierarchical	2	0.04714895900177234	0.8854830121501858	0.9251411795901756	4345,17	2	1.5
100	hierarchical	3	0.04153838712780437	0.8850680362353165	0.9257481269820598	4327,17,18	4	1.6666666666666667
100	hierarchical	4	0.030589392587285574	0.8848412078237797	0.9196288869753403	4309,17,18,18	6	1.75
100	hierarchical	5	0.027101755675299998	0.8845821356394934	0.9172649430867623	4292,17,17,18,18	8	1.8
100	hierarchical	6	0.02309562957831715	0.8843956044227689	0.9143767101041385	4274,17,17,18,18,18	10	1.8333333333333333
100	hierarchical	7	0.0222911883410604	0.8842325167147808	0.9120330548700956	4256,17,18,17,18,18,18	14	2.142857142857143
100	hierarchical	8	0.022171199646098413	0.884087584697297	0.9100795538175935	4238,17,18,17,18,18,18,18	16	2.125
100	hierarchical	9	0.02337514480796031	0.8838814894706507	0.9093049400098449	4220,18,17,18,17,18,18,18,18	18	2.111111111111111
100	hierarchical	10	0.02472819702210303	0.8838025865827237	0.9073538367895853	4198,22,18,17,18,17,18,18,18,18	24	2.5
100	hierarchical	11	0.027392489244707403	0.8836641388154234	0.9063312620453996	4181,21,18,17,18,18,17,18,18,18,18	26	2.4545454545454546
100	hierarchical	12	0.030199980612011415	0.883547351188142	0.9052960055767133	4163,21,18,17,18,18,18,17,18,18,18,18	28	2.4166666666666665
100	hierarchical	13	0.034994080037873694	0.8831175850794045	0.9067885471935623	4145,21,18,17,18,18,18,17,18,18,18,18,18	30	2.3846153846153846
100	hierarchical	14	0.03893543720570001	0.88293134221467	0.9063152429868089	4127,21,18,17,18,18,18,18,17,18,18,18,18,18	32	2.357142857142857
100	hierarchical	15	0.03988356186672384	0.8817966970905166	0.9061300983454064	4091,21,18,17,18,18,18,36,18,17,18,18,18,18,18	36	2.466666666666667
200	hierarchical	2	0.06402587095808071	0.8165309539684503	0.8683605942018813	2159,17	2	1.5
200	hierarchical	3	0.035285649828207234	0.8162961197853634	0.8540475017749745	2142,17,17	4	1.6666666666666667
200	hierarchical	4	0.026790173489093693	0.8161040421696916	0.8477701081658906	2125,17,17,17	6	1.75
200	hierarchical	5	0.026034038555133057	0.8157835172048484	0.8476671754353867	2108,17,17,17,17	8	1.8
200	hierarchical	6	0.02757370211218624	0.8155764751546908	0.8453310201295768	2091,17,17,17,17,17	10	1.8333333333333333
200	hierarchical	7	0.029757854568255596	0.8152610940068397	0.8454428680886882	2073,18,17,17,17,17,17	12	1.8571428571428572
200	hierarchical	8	0.031222642733919725	0.8149508333672631	0.8453870566690667	2056,17,18,17,17,17,17,17	14	1.875
200	hierarchical	9	0.0349048610228784	0.8146809160821294	0.8448150927728142	2039,17,18,17,17,17,17,17,17	16	1.8888888888888888
200	hierarchical	10	0.03794088485108256	0.8144303584257963	0.844126056263554	2022,17,18,17,17,17,17,17,17,17	18	1.9
200	hierarchical	11	0.04233802118671941	0.8140911221769365	0.8443568039546121	2005,17,18,17,17,17,17,17,17,17,17	20	1.9090909090909092
200	hierarchical	12	0.0439502655433921	0.8139209840673528	0.8430927270093852	1988,17,18,17,17,17,17,17,17,17,17,17	22	1.9166666666666667
200	hierarchical	13	0.04792077132836559	0.8136516492796643	0.8427697637126091	1976,17,18,17,17,17,17,17,15,14,17,17,17	23	1.8461538461538463
200	hierarchical	14	0.050932432523425816	0.8134826346443248	0.8417710575046511	1959,17,18,17,17,17,17,17,17,15,14,17,17,17	25	1.8571428571428572
200	hierarchical	15	0.05420733164448529	0.8133379838949865	0.840742140803476	1943,17,18,17,16,17,17,17,17,17,15,14,17,17,17	27	1.8666666666666667
500	hierarchical	2	0.017294035223643117	0.6914586296587902	0.7036327258522707	457,408	1	1
500	hierarchical	3	0.019381174335862256	0.6855295256011806	0.7027580813842209	456,129,280	2	1
500	hierarchical	4	0.022342382603611776	0.6800398855921693	0.7029116210871795	454,20,111,280	3	1
500	hierarchical	5	0.030379948298848148	0.6742148019202765	0.7042987567675061	331,124,19,111,280	4	1
500	hierarchical	6	0.035562967768212474	0.6695521964859863	0.7043160936677729	329,40,87,18,111,280	5	1
500	hierarchical	7	0.03972199514158625	0.6641765933138545	0.7043310866417096	329,38,27,62,18,111,280	6	1
500	hierarchical	8	0.04548883288091452	0.658976447968823	0.7043440951915195	329,38,27,37,26,17,111,280	7	1
500	hierarchical	9	0.05199311367968742	0.653029195185608	0.7041645878048874	53,276,38,27,37,26,17,111,280	8	1
500	hierarchical	10	0.058646362904018326	0.6475880018541156	0.7039442407781628	53,276,38,27,37,26,17,109,54,228	9	1
500	hierarchical	11	0.06431003275503087	0.6424587619683391	0.7037957271778695	53,276,38,27,37,26,16,38,73,53,228	10	1
500	hierarchical	12	0.0709396551757515	0.6376053202959602	0.7040291388525048	52,239,41,35,27,37,26,16,38,73,53,228	11	1
500	hierarchical	13	0.07885718149402476	0.6318507071291626	0.7042841235777012	51,66,174,41,35,27,37,26,16,38,73,53,228	12	1
500	hierarchical	14	0.0829895690764893	0.626967201408935	0.7042602873508521	51,66,174,40,22,15,26,37,26,16,38,73,53,228	13	1
500	hierarchical	15	0.08941749676356966	0.6219772390168882	0.7040774681307054	51,64,88,89,39,22,15,26,37,26,16,38,73,53,228	14	1
1000	hierarchical	2	0.05578975196021469	0.5853712801438248	0.6200064003117594	61,367	1	1
1000	hierarchical	3	0.05837082925143212	0.5730073124600301	0.6133356955020177	59,105,264	2	1
1000	hierarchical	4	0.07269856571715842	0.5618903969760418	0.6132894465751141	29,31,104,264	3	1
1000	hierarchical	5	0.08968085220112514	0.5492869121137395	0.6116605141973895	29,31,102,132,134	4	1
1000	hierarchical	6	0.10504429825717163	0.538346174139021	0.6117366945084787	29,31,100,34,101,133	5	1
1000	hierarchical	7	0.11719814208306253	0.5279081218198605	0.6115581848577917	29,31,100,33,42,60,133	6	1
1000	hierarchical	8	0.13031949726548878	0.5175469596038821	0.6111657755651727	29,30,32,70,32,42,60,133	7	1
1000	hierarchical	9	0.14308107119717287	0.5076125648957939	0.6110630131671709	29,30,31,55,18,30,42,60,133	8	1
1000	hierarchical	10	0.15425983762803616	0.49792256587963485	0.6108790083674088	29,30,29,18,40,17,30,42,60,133	9	1
1000	hierarchical	11	0.16729697682568467	0.4878119527630669	0.610869749431818	29,30,29,18,40,17,29,27,18,58,133	10	1
1000	hierarchical	12	0.17919418075710514	0.4779376069134794	0.610662026496934	29,30,29,18,40,17,29,27,16,17,44,132	11	1
1000	hierarchical	13	0.19080829055926615	0.46828186030903834	0.61058448832864	29,30,29,18,40,16,15,16,26,16,17,44,132	12	1
1000	hierarchical	14	0.18323252590318076	0.46760950599582785	0.6104734385176684	29,30,29,18,40,16,15,16,26,16,17,44,125,7	13	1
1000	hierarchical	15	0.19860562243452023	0.456388057118591	0.6104837844663118	29,30,29,18,40,16,15,16,26,16,17,41,19,109,7	14	1
50	k_medoids	2	0.0068222232157252915	0.9316279522624223	0.9380300676688111	4275,4458	882	441.5
50	contiguous_segmentation	2	-0.0011701956944119086	0.9339839024522919	0.9328839303529075	6458,2275	1	1
50	k_medoids	3	0.00441136208042372	0.930249962335414	0.939526019580957	4947,3226,560	943	314.6666666666667
50	contiguous_segmentation	3	-0.005514246548105662	0.9339407784226372	0.9330178968349536	6,6452,2275	2	1
50	k_medoids	4	0.003012405871952938	0.9290144355208448	0.9379975706284344	3260,3732,1089,652	1321	330.5
50	contiguous_segmentation	4	-0.005514246548105662	0.9339407784226372	0.9330178968349536	6,6452,25,2250	3	1
50	k_medoids	5	0.003575331803142473	0.9256803159576174	0.9376706544017289	2378,1319,2545,370,2121	1502	300.6
50	contiguous_segmentation	5	-0.005295768081023192	0.93387084329495	0.9331931476405962	6,6424,28,25,2250	4	1
50	k_medoids	6	0.001781561116404097	0.9251211462737898	0.9377209515869656	2250,2428,1000,2451,381,223	1526	254.5
50	contiguous_segmentation	6	-0.008690887443237065	0.9339252825890836	0.9334439528425784	6,347,6077,28,25,2250	5	1
50	k_medoids	7	-0.0006730653716897747	0.9250148534186525	0.9370920133755849	1790,1758,399,621,2076,346,1743	1780	254.42857142857142
50	contiguous_segmentation	7	-0.01329142569818485	0.9335753688445011	0.9334544564055278	6,259,88,6077,28,25,2250	6	1
50	k_medoids	8	-0.0007095176120082337	0.9251672812706918	0.9380607168954235	3254,1343,724,417,769,1156,1030,40	1741	217.75
50	contiguous_segmentation	8	-0.01329142569818485	0.9335753688445011	0.9334544564055278	6,259,16,72,6077,28,25,2250	7	1
50	k_medoids	9	0.0010947434685161907	0.9209842918944748	0.9366655421389418	1308,1214,1505,683,945,918,130,1275,755	2040	226.77777777777777
