position	support_50	support_100	support_200	support_500	support_1000	support_count	support_fraction	mean_position	mean_jump_strength	max_jump_strength	position_uncertainty
17673	0	1	1	1	1	4	0.8	17672.5	0.08855647702160854	0.10000000000000002	27.5
17288	0	1	1	1	1	4	0.8	17287.5	0.08821180102016828	0.10000000000000002	17.5
4260	0	1	1	1	1	4	0.8	4260	0.08798440960103374	0.09622556248918268	40
16075	0	1	1	1	1	4	0.8	16075	0.08616810834683102	0.10000000000000002	25
24175	0	1	1	1	1	4	0.8	24175	0.08592473856037962	0.10000000000000002	25
17110	0	1	1	1	1	4	0.8	17110	0.0856747442360032	0.09622556248918268	30
19990	0	1	1	1	1	4	0.8	19990	0.08556779299297097	0.09622556248918268	30
23010	0	1	1	1	1	4	0.8	23010	0.0853286061258117	0.10000000000000002	40
16878	0	1	1	1	1	4	0.8	16877.5	0.08270603367794088	0.09622556248918268	27.5
10980	0	1	1	1	1	4	0.8	10980	0.08118284163161642	0.10000000000000002	30
23300	0	1	1	1	0	3	0.6	23300	0.09478846646650654	0.10000000000000002	0
17463	0	1	1	1	0	3	0.6	17463.333333333332	0.09354824309900556	0.10000000000000002	36.66666666666788
32427	1	1	1	0	0	3	0.6	32426.666666666668	0.09299697667174332	0.09622556248918267	26.66666666666788
15303	0	1	1	1	0	3	0.6	15303.333333333334	0.09237903363133937	0.10000000000000002	6.66666666666606
2830	0	1	1	1	0	3	0.6	2830	0.09233835304330046	0.10000000000000002	30
10530	0	1	1	1	0	3	0.6	10530	0.09223316440230496	0.10000000000000002	20
20247	0	1	1	1	0	3	0.6	20246.666666666668	0.09210796591005535	0.09786311756931668	26.66666666666788
28173	0	1	1	1	0	3	0.6	28173.333333333332	0.09194212879956534	0.10000000000000002	33.33333333333212
15427	0	1	1	1	0	3	0.6	15426.666666666666	0.09156531035130809	0.09622556248918268	36.66666666666606
29407	0	1	1	1	0	3	0.6	29406.666666666668	0.09145779006576696	0.09622556248918268	13.33333333333212
5727	0	1	1	0	1	3	0.6	5726.666666666667	0.09130653369163555	0.10000000000000002	33.33333333333303
41273	0	1	1	1	0	3	0.6	41273.333333333336	0.09127364036170711	0.1	36.66666666666424
22890	0	1	1	1	0	3	0.6	22890	0.09094828263831094	0.09622556248918268	20
23647	0	1	1	1	0	3	0.6	23646.666666666668	0.0909055772028666	0.10000000000000002	46.66666666666788
24853	0	1	1	1	0	3	0.6	24853.333333333332	0.09086015405243743	0.09622556248918267	16.66666666666788
21773	0	1	1	1	0	3	0.6	21773.333333333332	0.09085856742860646	0.10000000000000002	23.33333333333212
14340	0	1	1	1	0	3	0.6	14340	0.09057776437994784	0.09622556248918268	20
22733	0	1	1	1	0	3	0.6	22733.333333333332	0.0905730202717856	0.09622556248918268	43.33333333333212
25023	0	1	1	1	0	3	0.6	25023.333333333332	0.09055612610189816	0.10000000000000002	26.66666666666788
24687	0	1	1	1	0	3	0.6	24686.666666666668	0.09047304159304322	0.10000000000000002	13.33333333333212
29593	0	1	1	1	0	3	0.6	29593.333333333332	0.09038922489373755	0.0957262351386333	13.33333333333212
22073	0	1	1	0	1	3	0.6	22073.333333333332	0.09036830886721534	0.10000000000000002	33.33333333333212
18723	0	1	1	1	0	3	0.6	18723.333333333332	0.09028723180616897	0.10000000000000002	36.66666666666788
5887	0	1	1	1	0	3	0.6	5886.666666666667	0.09019653687798895	0.09622556248918267	13.33333333333303
23400	0	1	1	1	0	3	0.6	23400	0.09016291298362074	0.10000000000000002	20
15150	0	1	1	1	0	3	0.6	15150	0.09014922604832629	0.10000000000000002	10
20390	0	1	1	1	0	3	0.6	20390	0.09008985314932079	0.10000000000000002	30
28320	0	1	1	1	0	3	0.6	28320	0.09000296985486209	0.09622556248918268	20
38660	0	1	1	1	0	3	0.6	38660	0.0899377015788149	0.10000000000000002	20
10183	0	1	1	0	1	3	0.6	10183.333333333334	0.0896214187625019	0.10000000000000002	33.33333333333394
12093	0	1	1	1	0	3	0.6	12093.333333333334	0.08961880938495345	0.09622556248918268	33.33333333333394
6180	0	1	1	1	0	3	0.6	6180	0.08950832321149078	0.10000000000000002	40
20593	0	1	1	0	1	3	0.6	20593.333333333332	0.08924453324880707	0.10000000000000002	13.33333333333212
23173	0	1	0	1	1	3	0.6	23173.333333333332	0.08903559345545899	0.10000000000000002	26.66666666666788
20867	0	1	1	1	0	3	0.6	20866.666666666668	0.08883795613759958	0.09622556248918268	23.33333333333212
2710	0	1	1	1	0	3	0.6	2710	0.08877110180489442	0.10000000000000002	10
4083	0	1	1	1	0	3	0.6	4083.3333333333335	0.08836427647786914	0.10000000000000002	23.333333333333485
6490	0	1	1	0	1	3	0.6	6490	0.08825104324455395	0.10000000000000002	20
31770	0	1	1	0	1	3	0.6	31770	0.08807141488653168	0.0962255624891827	40
8977	0	1	1	1	0	3	0.6	8976.666666666666	0.08798352872226493	0.10000000000000002	26.66666666666606
39940	0	1	1	1	0	3	0.6	39940	0.08780741844675331	0.09622556248918268	30
7573	0	1	1	1	0	3	0.6	7573.333333333333	0.0876032076902483	0.09622556248918267	26.66666666666697
