source	target	global_count	eligible_blocks	positive_blocks	negative_blocks	neutral_blocks	joint_classes	currier_classes	hands	joint_class_ids	currier_ids	hand_ids	median_log2_enrichment	mean_log2_enrichment	between_block_sd	sign	sign_consistency	tested_blocks	successful_sign_predictions	transfer_fraction	empirical_p	fdr_q	permutations	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000078	x002776	1	6	5	1	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.533434197	1.088952776	0.7911422728	preferred	0.8333333333	6	5	0.8333333333	1	1	1000	0	0.2639108687	EXPECTED_FROM_NULL
x000078	x006983	1	6	5	1	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.559351353	1.353113193	0.6964036835	preferred	0.8333333333	6	5	0.8333333333	1	1	1000	0	0.2179917597	EXPECTED_FROM_NULL
x000078	x010070	1	6	6	0	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.559351353	1.617273609	0.1210836566	preferred	1	6	6	1	0.01598401598	0.1802767368	1000	1	0.1845930753	EXPECTED_FROM_NULL
x000078	x012336	2	6	5	1	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.547535061	1.353113193	0.6855620955	preferred	0.8333333333	6	5	0.8333333333	1	1	1000	0	0.2192529382	EXPECTED_FROM_NULL
x000078	x012337	1	6	5	1	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.559351353	1.353113193	0.7091245041	preferred	0.8333333333	6	5	0.8333333333	1	1	1000	0	0.2165056025	EXPECTED_FROM_NULL
x000078	x012340	1	6	6	0	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.559351353	1.617273609	0.1210836566	preferred	1	6	6	1	0.01429857014	0.1802767368	10000	1	0.1845930753	EXPECTED_FROM_NULL
x000078	x016338	1	6	5	1	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.547535061	1.149381122	1.064360911	preferred	0.8333333333	6	5	0.8333333333	1	1	1000	0	0.1960286326	EXPECTED_FROM_NULL
x000078	x016341	1	6	4	2	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.52173157	0.9661251768	0.9807100284	preferred	0.6666666667	6	4	0.6666666667	1	1	1000	0	0.2533068544	EXPECTED_FROM_NULL
x000078	x016343	2	6	5	1	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.547535061	1.230285594	0.9833161016	preferred	0.8333333333	6	5	0.8333333333	1	1	1000	1	0.2011112061	EXPECTED_FROM_NULL
x000078	x016890	1	6	6	0	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.559351353	1.617273609	0.1210836566	preferred	1	6	6	1	1	1	1000	0	0.1845930753	EXPECTED_FROM_NULL
x000078	x016892	1	6	6	0	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.559351353	1.617273609	0.1210836566	preferred	1	6	6	1	1	1	1000	0	0.1845930753	EXPECTED_FROM_NULL
x000078	x016894	1	6	5	1	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.559351353	1.353113193	0.7091245041	preferred	0.8333333333	6	5	0.8333333333	1	1	1000	0	0.2165056025	EXPECTED_FROM_NULL
x000078	x016895	2	6	5	1	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.1649514	0.9661251768	0.7867543516	preferred	0.8333333333	6	5	0.8333333333	9.9990001e-05	0.05246975302	10000	0.5	0.3038543942	EXPECTED_FROM_NULL
x000078	x017171	1	6	6	0	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.547535061	1.353113193	0.59079615	preferred	1	6	6	1	0.02797202797	0.1990280906	1000	1	0.2206301075	EXPECTED_FROM_NULL
x000078	x017902	1	6	6	0	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.559351353	1.617273609	0.1210836566	preferred	1	6	6	1	1	1	1000	0	0.1845930753	EXPECTED_FROM_NULL
x000078	x025683	1	6	6	0	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.559351353	1.617273609	0.1210836566	preferred	1	6	6	1	1	1	1000	0	0.1845930753	EXPECTED_FROM_NULL
x000078	x025684	1	6	3	3	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	0.7409529469	0.70196476	1.009599257	preferred	0.5	6	0	0	1	1	1000	0	0.3227515417	EXPECTED_FROM_NULL
x000078	x025685	1	6	5	1	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.547648726	1.353113193	0.685667201	preferred	0.8333333333	6	5	0.8333333333	1	1	1000	0	0.219240737	EXPECTED_FROM_NULL
x000078	x028831	1	6	6	0	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.547535061	1.353113193	0.5683863116	preferred	1	6	6	1	1	1	1000	0	0.2155831905	EXPECTED_FROM_NULL
x000078	x028834	1	6	6	0	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.559351353	1.617273609	0.1210836566	preferred	1	6	6	1	1	1	1000	0	0.1845930753	EXPECTED_FROM_NULL
x000078	x030475	2	6	5	1	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.547648726	1.353113193	0.685667201	preferred	0.8333333333	6	5	0.8333333333	1	1	1000	0	0.219240737	EXPECTED_FROM_NULL
x000078	x030477	1	6	6	0	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.559351353	1.617273609	0.1210836566	preferred	1	6	6	1	1	1	1000	1	0.1845930753	EXPECTED_FROM_NULL
x000078	x030479	1	6	4	2	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	0.8364594807	0.70196476	0.9398684267	preferred	0.6666666667	6	4	0.6666666667	1	1	1000	0	0.2928768458	EXPECTED_FROM_NULL
x000078	x030934	1	6	6	0	0	2	2	1	G0/generic,G2/generic	G0,G2	generic	1.547535061	1.49444601	0.3496028371	preferred	1	6	6	1	1	1	1000	1	0.1997646667	EXPECTED_FROM_NULL
x000079	x003547	1	7	7	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.658359169	1.64429043	0.1337987205	preferred	1	7	7	1	1	1	1000	0	0.1607909633	EXPECTED_FROM_NULL
x000079	x012337	2	7	7	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.619947121	1.417867215	0.6077348053	preferred	1	7	7	1	1	1	1000	0	0.1864681257	EXPECTED_FROM_NULL
x000079	x012775	1	7	6	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.518085065	0.9650207864	0.8216563241	preferred	0.8571428571	7	6	0.8571428571	1	1	1000	0	0.2372524951	EXPECTED_FROM_NULL
x000079	x015729	1	7	7	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.658359169	1.64429043	0.1337987205	preferred	1	7	7	1	1	1	1000	0	0.1607909633	EXPECTED_FROM_NULL
x000079	x016338	1	7	6	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.619947121	1.243239726	0.9750026108	preferred	0.8571428571	7	6	0.8571428571	1	1	1000	0	0.1644363087	EXPECTED_FROM_NULL
x000079	x016342	1	7	5	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.008685218	0.6491783889	1.003558029	preferred	0.7142857143	7	5	0.7142857143	0.02897102897	0.2022736106	1000	1	0.2255303581	EXPECTED_FROM_NULL
x000079	x016343	1	7	7	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.658359169	1.64429043	0.1337987205	preferred	1	7	7	1	1	1	1000	0	0.1607909633	EXPECTED_FROM_NULL
x000079	x016890	1	7	6	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.619947121	1.191444001	1.160297251	preferred	0.8571428571	7	6	0.8571428571	1	1	1000	0	0.1654094317	EXPECTED_FROM_NULL
x000079	x016893	1	7	7	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.518085065	1.191444001	0.7450093923	preferred	1	7	7	1	1	1	1000	0	0.2219047155	EXPECTED_FROM_NULL
x000079	x017900	1	7	5	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.451077156	0.8597399872	1.008224578	preferred	0.7142857143	7	5	0.7142857143	1	1	1000	0	0.2533660063	EXPECTED_FROM_NULL
x000079	x019162	1	7	6	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.658359169	1.191444001	0.8549633203	preferred	0.8571428571	7	6	0.8571428571	1	1	1000	0	0.2150017862	EXPECTED_FROM_NULL
x000079	x025683	1	7	6	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.658359169	1.417867215	0.6919920515	preferred	0.8571428571	7	6	0.8571428571	1	1	1000	0	0.1815695211	EXPECTED_FROM_NULL
x000079	x029314	1	7	7	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.518085065	1.191444001	0.7726656421	preferred	1	7	7	1	1	1	1000	0	0.2219047155	EXPECTED_FROM_NULL
x000079	x030474	1	7	7	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.658359169	1.417867215	0.6242078811	preferred	1	7	7	1	0.01139886011	0.1802767368	10000	1	0.1864681257	EXPECTED_FROM_NULL
x000079	x030479	2	7	7	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.518085065	1.191444001	0.6733620245	preferred	1	7	7	1	1	1	1000	0	0.1997821118	EXPECTED_FROM_NULL
x000080	x004167	1	12	11	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.494531988	1.175898798	0.8380640359	preferred	0.9166666667	12	11	0.9166666667	0.03496503497	0.21649442	1000	1	0.1186559469	EXPECTED_FROM_NULL
x000080	x012198	1	12	9	3	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.609555015	1.175898798	0.9395831415	preferred	0.75	12	9	0.75	0.01198801199	0.1802767368	1000	1	0.1151606064	EXPECTED_FROM_NULL
x000080	x012337	1	12	12	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.494531988	1.237312598	0.6781790622	preferred	1	12	12	1	1	1	1000	0	0.1249323897	EXPECTED_FROM_NULL
x000080	x012340	1	12	11	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.617423833	1.501473014	0.5297594588	preferred	0.9166666667	12	11	0.9166666667	1	1	1000	0	0.1016000354	EXPECTED_FROM_NULL
x000080	x012341	2	12	12	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.568619679	1.501473014	0.4151776706	preferred	1	12	12	1	0.02397602398	0.1877823669	1000	1	0.1029525127	EXPECTED_FROM_NULL
