token	direction	global_count	eligible_blocks	joint_classes	pairwise_js_mean	pairwise_js_median	pairwise_js_min	pairwise_js_sd	lobo_median_correlation	lobo_mean_correlation	lobo_median_spearman	sign_agreement	permutation_p	sign_permutation_p	entropy_effect	entropy_sign_consistency	entropy_permutation_p	entropy_status	replicated
x000078	outgoing	176	6	2	0.9985746769	0.9988716181	0.9977557907	0.0005111441169	0.5653882637	0.5655029526	0.4043159185	0.8018490755	0.02197802198	0.2677322677	0.3824200422	1	0.01098901099	REPRODUCIBLY_BROAD	false
x000079	outgoing	165	7	4	0.9996779031	0.9994364347	0.9988716181	0.0003369443163	0.582858665	0.571241349	0.4084465862	0.8627115014	0.06193806194	0.5154845155	0.3792266717	1	0.03196803197	REPRODUCIBLY_BROAD	false
x000080	outgoing	179	12	4	0.9987073773	0.9988774814	0.9966407669	0.0008493507768	0.5750954276	0.569529412	0.3980378506	0.8193403298	0.006993006993	0.8501498501	0.3683665453	1	0.03596403596	REPRODUCIBLY_BROAD	false
x000081	outgoing	194	12	4	0.998909643	0.9988774814	0.9971930914	0.000666594654	0.5711669661	0.5716228901	0.3960435043	0.7946026987	0.03996003996	0.5954045954	0.366503004	1	0.000999000999	REPRODUCIBLY_BROAD	false
x000082	outgoing	185	10	3	0.9993520994	0.9994364347	0.9971930914	0.0007357764415	0.5814108633	0.5910690523	0.4170366384	0.8416791604	0.1798201798	0.6083916084	0.3805828956	1	0.001998001998	REPRODUCIBLY_BROAD	false
x000083	outgoing	192	15	4	0.9991113378	0.9994364347	0.9971930914	0.0006774092552	0.5994308666	0.5863902993	0.430515752	0.8250874563	0.00999000999	0.3826173826	0.3730744973	1	0.01098901099	REPRODUCIBLY_BROAD	false
x000819	outgoing	45	1	1	0	0	1	0	0	0	0	0.3433283358	0.000999000999	0.000999000999	0.3647190951	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x001068	outgoing	204	13	4	0.9962205097	0.9960929561	0.9939889472	0.001053678619	0.6016991162	0.5832746481	0.4385009579	0.832083958	0.09090909091	0.1618381618	0.3673380863	1	0.6123876124	INSUFFICIENT_SUPPORT	false
x001069	outgoing	196	14	4	0.9959153363	0.9960814049	0.99442476	0.000955299684	0.5815586565	0.5835503742	0.4176009644	0.8490040694	0.7512487512	0.6633366633	0.3707661903	1	0.6153846154	INSUFFICIENT_SUPPORT	false
x001070	outgoing	191	15	4	0.9969838687	0.9971930914	0.9938891216	0.001077770895	0.5943087992	0.5771440024	0.4141873325	0.8323838081	0.2987012987	0.3786213786	0.3694394164	1	0.6283716284	INSUFFICIENT_SUPPORT	false
x001071	outgoing	220	18	4	0.9961589858	0.9960929561	0.9927855818	0.001183062986	0.5700703722	0.5690497068	0.4074873815	0.830501416	0.6983016983	0.6783216783	0.3710176182	1	0.8331668332	INSUFFICIENT_SUPPORT	false
x001072	outgoing	195	11	4	0.9966033913	0.9966407669	0.99442476	0.001111982892	0.5915504133	0.5779150827	0.4273510503	0.8380809595	0.3436563437	0.3426573427	0.373977775	1	0.3566433566	INSUFFICIENT_SUPPORT	false
x001073	outgoing	181	9	4	0.996547641	0.996634974	0.9949762965	0.0007454670951	0.5595863493	0.5490922204	0.3688493477	0.8234216225	0.9090909091	0.4605394605	0.3847535845	1	0.6993006993	INSUFFICIENT_SUPPORT	false
x001582	outgoing	58	1	1	0	0	1	0	0	0	0	0.1394302849	0.000999000999	0.000999000999	0.3780945538	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x001754	outgoing	53	1	1	0	0	1	0	0	0	0	0.1349325337	0.000999000999	0.000999000999	0.3364284718	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x001756	outgoing	60	1	1	0	0	1	0	0	0	0	0.1484257871	0.000999000999	0.000999000999	0.3698968155	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x002234	outgoing	54	1	1	0	0	1	0	0	0	0	0.1724137931	0.000999000999	0.000999000999	0.4033384037	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x002235	outgoing	42	1	1	0	0	1	0	0	0	0	0.311844078	0.000999000999	0.000999000999	0.3363657009	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x003807	outgoing	59	1	1	0	0	1	0	0	0	0	0.1334332834	0.000999000999	0.000999000999	0.3327046263	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x012673	outgoing	64	2	1	0.9972047123	0.9972047123	0.9972047123	0	0.4187522828	0.4187522828	0.3583592607	0.8215892054	0.000999000999	0.000999000999	0.4330497608	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x012676	outgoing	64	1	1	0	0	1	0	0	0	0	0.1484257871	0.000999000999	0.000999000999	0.3777288771	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x013056	outgoing	104	3	2	0.9970104989	0.9966407669	0.9966407669	0.0006403944872	0.4732510016	0.4765429927	0.3496807735	0.8260869565	0.3576423576	0.5074925075	0.3885172589	1	0.3356643357	INSUFFICIENT_SUPPORT	false
x013057	outgoing	126	7	4	0.9967599511	0.9966407669	0.9955265926	0.0007133464913	0.5711288774	0.5538286152	0.3692239183	0.8479331763	0.1728271728	0.6973026973	0.3837120118	1	0.5874125874	INSUFFICIENT_SUPPORT	false
x013058	outgoing	93	3	2	0.9962698046	0.9960814049	0.9955265926	0.0008531584432	0.4507070938	0.4462336865	0.3323465044	0.7566216892	0.1528471528	0.08491508492	0.3731913255	1	0.9420579421	INSUFFICIENT_SUPPORT	false
x013060	outgoing	114	3	1	0.9977534323	0.9977557907	0.9971930914	0.0005591654265	0.4823380534	0.4790985177	0.3472335151	0.8190904548	0.08991008991	0.1288711289	0.3977213093	1	0.1228771229	INSUFFICIENT_SUPPORT	false
