segment_count	segment	checkpoint_n	vocabulary_size	heaps_beta	beta_effective	new_type_rate
4	0	100	95	0.81711251687440978	0	0.40785139092240119
4	0	200	177	0.81711251687440978	0.89774994175205025	0.40785139092240119
4	0	500	389	0.81711251687440978	0.85936655654481064	0.40785139092240119
4	0	1000	689	0.81711251687440978	0.82473382771810011	0.40785139092240119
4	0	2000	1171	0.81711251687440978	0.76516518779692322	0.40785139092240119
4	0	4000	2070	0.81711251687440978	0.82188969188547256	0.40785139092240119
4	0	8000	3568	0.81711251687440978	0.7854848475336178	0.40785139092240119
4	0	10928	4457	0.81711251687440978	0.71330593971784251	0.40785139092240119
4	1	100	91	0.81231302176794362	0	0.38881771595900438
4	1	200	177	0.81231302176794362	0.95981090988430229	0.38881771595900438
4	1	500	382	0.81231302176794362	0.83954890000829929	0.38881771595900438
4	1	1000	674	0.81231302176794362	0.81917595314610947	0.38881771595900438
4	1	2000	1183	0.81231302176794362	0.81162957715793016	0.38881771595900438
4	1	4000	1991	0.81231302176794362	0.75104314738071321	0.38881771595900438
4	1	8000	3403	0.81231302176794362	0.77331393024450579	0.38881771595900438
4	1	10928	4249	0.81231302176794362	0.71188101988119212	0.38881771595900438
4	2	100	95	0.80436101299102414	0	0.38131405563689602
4	2	200	180	0.80436101299102414	0.92199748799872805	0.38131405563689602
4	2	500	376	0.80436101299102414	0.80392856423746362	0.38131405563689602
4	2	1000	683	0.80436101299102414	0.86115291661245286	0.38131405563689602
4	2	2000	1252	0.80436101299102414	0.87427707864252757	0.38131405563689602
4	2	4000	2055	0.80436101299102414	0.71490383163642657	0.38131405563689602
4	2	8000	3307	0.80436101299102414	0.68638465162207107	0.38131405563689602
4	2	10928	4167	0.80436101299102414	0.74115014561495673	0.38131405563689602
4	3	100	88	0.80655316398099985	0	0.35657425199011805
4	3	200	165	0.80655316398099985	0.90689059560851859	0.35657425199011805
4	3	500	369	0.80655316398099985	0.87837969122936232	0.35657425199011805
4	3	1000	659	0.80655316398099985	0.83665764894765571	0.35657425199011805
4	3	2000	1139	0.80655316398099985	0.78941737670005974	0.35657425199011805
4	3	4000	1937	0.80655316398099985	0.76605620689514164	0.35657425199011805
4	3	8000	3160	0.80655316398099985	0.70610060446121259	0.35657425199011805
4	3	10929	3897	0.80655316398099985	0.67195385790056206	0.35657425199011805
8	0	100	95	0.82624358939564668	0	0.4820644216691069
8	0	200	177	0.82624358939564668	0.89774994175205025	0.4820644216691069
8	0	500	389	0.82624358939564668	0.85936655654481064	0.4820644216691069
8	0	1000	689	0.82624358939564668	0.82473382771810011	0.4820644216691069
8	0	2000	1171	0.82624358939564668	0.76516518779692322	0.4820644216691069
8	0	4000	2070	0.82624358939564668	0.82188969188547256	0.4820644216691069
8	0	5464	2634	0.82624358939564668	0.77257205517937588	0.4820644216691069
8	1	100	92	0.83439813674592378	0	0.47584187408491946
8	1	200	172	0.83439813674592378	0.9027027986450854	0.47584187408491946
8	1	500	390	0.83439813674592378	0.89344160519422844	0.47584187408491946
8	1	1000	705	0.83439813674592378	0.85414913353654542	0.47584187408491946
8	1	2000	1220	0.83439813674592378	0.79118598516409278	0.47584187408491946
8	1	4000	2052	0.83439813674592378	0.7501495831568048	0.47584187408491946
8	1	5464	2600	0.83439813674592378	0.75891813056515001	0.47584187408491946
8	2	100	91	0.82299648184107299	0	0.45735724743777451
8	2	200	177	0.82299648184107299	0.95981090988430229	0.45735724743777451
8	2	500	382	0.82299648184107299	0.83954890000829929	0.45735724743777451
8	2	1000	674	0.82299648184107299	0.81917595314610947	0.45735724743777451
8	2	2000	1183	0.82299648184107299	0.81162957715793016	0.45735724743777451
8	2	4000	1991	0.82299648184107299	0.75104314738071321	0.45735724743777451
8	2	5464	2499	0.82299648184107299	0.72864146568402055	0.45735724743777451
8	3	100	92	0.83719779557589336	0	0.47858711566617862
8	3	200	176	0.83719779557589336	0.93586966258028592	0.47858711566617862
8	3	500	378	0.83719779557589336	0.83424416944383228	0.47858711566617862
8	3	1000	708	0.83719779557589336	0.90536312586192402	0.47858711566617862
8	3	2000	1234	0.83719779557589336	0.80152112906642103	0.47858711566617862
8	3	4000	2099	0.83719779557589336	0.76635977214273598	0.47858711566617862
8	3	5464	2615	0.83719779557589336	0.70475276305064416	0.47858711566617862
8	4	100	95	0.82340033303339388	0	0.4624816983894583
8	4	200	180	0.82340033303339388	0.92199748799872805	0.4624816983894583
8	4	500	376	0.82340033303339388	0.80392856423746362	0.4624816983894583
8	4	1000	683	0.82340033303339388	0.86115291661245286	0.4624816983894583
8	4	2000	1252	0.82340033303339388	0.87427707864252757	0.4624816983894583
8	4	4000	2055	0.82340033303339388	0.71490383163642657	0.4624816983894583
8	4	5464	2527	0.82340033303339388	0.66292323437015122	0.4624816983894583
8	5	100	94	0.8233810575971785	0	0.45717423133235724
