checkpoint_n	vocabulary_size	type_token_ratio	hapax_count	dis_count	tri_count	beta_effective
100	95	0.94999999999999996	91	3	1	0
200	177	0.88500000000000001	161	11	3	0.89774994175205025
500	389	0.77800000000000002	325	38	14	0.85936655654481064
1000	689	0.68899999999999995	548	78	27	0.82473382771810011
2000	1171	0.58550000000000002	913	118	47	0.76516518779692322
4000	2070	0.51749999999999996	1610	197	72	0.82188969188547256
8000	3568	0.44600000000000001	2680	400	143	0.7854848475336178
16000	5737	0.35856250000000001	4046	711	304	0.68518090273166421
32000	9201	0.28753125000000002	6164	1253	499	0.681494149336206
43713	11074	0.25333424839292656	7184	1583	664	0.59404334488662525
