rank	opening_candidate	closing_candidate	score	reliability	ranking_scope	line_probability	page_probability	directionality	ranking_z_score	permutation_p	mean_distance	adjacent_share	page_balance_stddev	AABB	ABAB
1	x030943	x028392	0.401390	0.809524	page	0.094118	0.576471	0.529572	3.546988	0.00990099	20.673469	0.000000	1.327778	3	2
2	x019146	x028393	0.376071	0.746835	page	0.203390	0.627119	0.577385	3.387134	0.00990099	16.297297	0.216216	1.222572	2	1
3	x015014	x028902	0.348263	0.869281	page	0.090226	0.323308	0.226845	3.720968	0.00990099	18.837209	0.023256	0.865474	0	2
4	x013060	x019048	0.347529	0.759036	page	0.000000	0.206349	0.187302	3.583566	0.00990099	32.000000	0.000000	0.468570	1	0
5	x031099	x001068	0.336435	0.692308	page	0.111111	0.555556	0.505556	3.047807	0.00990099	21.360000	0.000000	0.848421	2	0
6	x030946	x028393	0.333440	0.636364	page	0.057143	0.628571	0.598376	2.184006	0.029703	24.318182	0.000000	1.235183	1	0
7	x019047	x028393	0.330421	0.888268	page	0.157233	0.471698	0.350917	2.656520	0.019802	16.613333	0.173333	1.142416	4	5
8	x013874	x028392	0.329287	0.921569	page	0.080851	0.400000	0.265356	2.659070	0.00990099	18.670213	0.000000	1.360709	4	3
9	x001578	x019046	0.328501	0.818182	page	0.022222	0.233333	0.188490	3.517744	0.00990099	30.333333	0.000000	0.724829	2	0
10	x028396	x028393	0.322348	0.918033	page	0.044643	0.464286	0.295547	2.074173	0.019802	23.875000	0.000000	1.100589	11	7
11	x030946	x028394	0.322104	0.636364	page	0.057143	0.485714	0.472261	2.723485	0.019802	22.058824	0.000000	1.090043	1	0
12	x001579	x000079	0.321690	0.811321	page	0.093023	0.267442	0.200513	3.477273	0.00990099	17.217391	0.130435	0.715281	1	0
13	x030836	x019046	0.321611	0.851852	page	0.052174	0.286957	0.215208	3.597391	0.00990099	21.757576	0.030303	0.687074	1	1
14	x013872	x019045	0.319717	0.927798	page	0.046647	0.218659	0.051344	3.606151	0.00990099	21.546667	0.000000	1.051354	3	2
15	x030944	x028902	0.318303	0.777778	page	0.042857	0.328571	0.289986	2.016220	0.019802	27.782609	0.000000	0.834154	2	0
16	x028464	x000078	0.317234	0.775281	page	0.072464	0.275362	0.241692	2.220934	0.019802	22.105263	0.000000	0.783687	1	0
17	x014154	x028392	0.315590	0.904306	page	0.153439	0.481481	0.333221	2.524621	0.00990099	17.461538	0.252747	1.223843	6	6
18	x018696	x011119	0.314847	0.740260	page	0.017544	0.140351	0.140351	4.871779	0.00990099	20.500000	0.000000	0.398729	0	0
19	x003829	x028392	0.314412	0.629630	page	0.205882	0.705882	0.687728	3.139348	0.00990099	19.208333	0.125000	1.345023	0	1
20	x013059	x012674	0.313946	0.780220	page	0.010526	0.105263	0.091179	3.199776	0.00990099	33.700000	0.000000	0.489548	1	0
21	x013058	x019045	0.307781	0.848485	page	0.053571	0.223214	0.164849	1.874286	0.039604	22.120000	0.000000	0.800873	2	0
