source	target	global_count	eligible_blocks	positive_blocks	negative_blocks	neutral_blocks	joint_classes	currier_classes	hands	joint_class_ids	currier_ids	hand_ids	median_log2_enrichment	mean_log2_enrichment	between_block_sd	sign	sign_consistency	tested_blocks	successful_sign_predictions	transfer_fraction	empirical_p	fdr_q	permutations	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000078	x002772	2	26	25	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.634938905	1.538410709	0.4482261514	preferred	0.9615384615	26	25	0.9615384615	1	1	1000	1	0.04642541944	EXPECTED_FROM_NULL
x000078	x003546	1	26	26	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.623515174	1.477450613	0.537539331	preferred	1	26	26	1	1	1	1000	0	0.04861186132	EXPECTED_FROM_NULL
x000078	x010069	1	26	23	3	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.622799906	1.294570324	0.7230787557	preferred	0.8846153846	26	23	0.8846153846	1	1	1000	1	0.05476273059	EXPECTED_FROM_NULL
x000078	x011298	1	26	24	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.590029689	1.251825666	0.8142611009	preferred	0.9230769231	26	24	0.9230769231	1	1	1000	1	0.05203991825	EXPECTED_FROM_NULL
x000078	x012336	5	26	24	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.611672977	1.35553042	0.6579475304	preferred	0.9230769231	26	24	0.9230769231	0.07292707293	0.2887500507	1000	1	0.05278491377	EXPECTED_FROM_NULL
x000078	x012338	1	26	24	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.594355706	1.237880663	0.8015883418	preferred	0.9230769231	26	24	0.9230769231	0.05394605395	0.2549660865	1000	1	0.05202640418	EXPECTED_FROM_NULL
x000078	x012727	1	26	25	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.634938905	1.538410709	0.4461629509	preferred	0.9615384615	26	25	0.9615384615	0.02197802198	0.2055860806	1000	1	0.04659237389	EXPECTED_FROM_NULL
x000078	x015728	1	26	25	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.634938905	1.477450613	0.534870508	preferred	0.9615384615	26	25	0.9615384615	0.02797202797	0.2135959279	1000	1	0.04851079365	EXPECTED_FROM_NULL
x000078	x016140	1	26	25	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.582093016	1.266225494	0.7369112036	preferred	0.9615384615	26	25	0.9615384615	1	1	1000	1	0.05452898144	EXPECTED_FROM_NULL
x000078	x016338	2	26	25	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.568128644	1.200540138	0.7595124087	preferred	0.9615384615	26	25	0.9615384615	0.06393606394	0.2728830105	1000	0.5	0.05504771032	EXPECTED_FROM_NULL
x000078	x016339	1	26	22	4	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.535295909	1.022385109	0.8412517875	preferred	0.8461538462	26	22	0.8461538462	0.1458541459	0.4651172691	1000	1	0.06700783247	EXPECTED_FROM_NULL
x000078	x016340	1	26	24	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.590029689	1.237880663	0.7928202136	preferred	0.9230769231	26	24	0.9230769231	1	1	1000	0	0.05440026385	EXPECTED_FROM_NULL
x000078	x016464	2	26	26	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.635941182	1.538410709	0.460240794	preferred	1	26	26	1	0.02197802198	0.2055860806	1000	1	0.04668559824	EXPECTED_FROM_NULL
x000078	x016890	1	26	22	4	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.511900558	0.9144099195	0.9422713951	preferred	0.8461538462	26	22	0.8461538462	1	1	1000	1	0.06727789797	EXPECTED_FROM_NULL
x000078	x016891	1	26	21	5	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.568128644	1.026655544	0.9128426422	preferred	0.8076923077	26	21	0.8076923077	1	1	1000	0	0.06092070639	EXPECTED_FROM_NULL
x000078	x016892	1	26	20	6	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.582093016	0.9373506172	0.9683007712	preferred	0.7692307692	26	20	0.7692307692	1	1	1000	0	0.06243945656	EXPECTED_FROM_NULL
x000078	x016893	2	26	24	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.611672977	1.388145686	0.6606105688	preferred	0.9230769231	26	24	0.9230769231	0.03496503497	0.2205990731	1000	1	0.05004956383	EXPECTED_FROM_NULL
