token	direction	global_count	eligible_blocks	joint_classes	pairwise_js_mean	pairwise_js_median	pairwise_js_min	pairwise_js_sd	lobo_median_correlation	lobo_mean_correlation	lobo_median_spearman	sign_agreement	permutation_p	sign_permutation_p	entropy_effect	entropy_sign_consistency	entropy_permutation_p	entropy_status	replicated
x000078	outgoing	297	26	4	0.9990233251	0.9988448457	0.9971114637	0.0006126217173	0.6302133664	0.6238353126	0.4398409963	0.8592117759	0.000999000999	0.8401598402	0.415655245	1	0.000999000999	REPRODUCIBLY_BROAD	false
x000079	outgoing	254	26	4	0.9986344438	0.9988386346	0.9959677788	0.0008528332351	0.6153360724	0.6068550958	0.4319617696	0.8407526116	0.000999000999	0.8571428571	0.391489623	1	0.02297702298	REPRODUCIBLY_BROAD	false
x000080	outgoing	211	14	4	0.9983937923	0.9982745595	0.9965372133	0.0008115092281	0.6102383536	0.5965626893	0.4215280628	0.8304673721	0.000999000999	0.4005994006	0.3934386305	1	0.000999000999	REPRODUCIBLY_BROAD	false
x000081	outgoing	163	8	3	0.9994222337	1	0.9976843942	0.0006674389222	0.5941674547	0.5894829079	0.411635138	0.837191358	0.03996003996	0.6723276723	0.4259082715	1	0.000999000999	REPRODUCIBLY_BROAD	false
x000082	outgoing	116	4	4	0.9987486819	0.9988435024	0.9976905667	0.0006728613177	0.5332417578	0.5338952283	0.387013193	0.861882716	0.01398601399	0.2407592408	0.4635965329	1	0.02097902098	REPRODUCIBLY_BROAD	false
x000083	outgoing	50	1	1	0	0	1	0	0	0	0	0.1558641975	0.000999000999	0.000999000999	0.4721709253	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000818	outgoing	42	1	1	0	0	1	0	0	0	0	0.1342592593	0.000999000999	0.000999000999	0.3950252177	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x001068	outgoing	340	35	4	0.9957392698	0.9959800098	0.9903525447	0.001528909066	0.6049048613	0.6003004375	0.4302737626	0.8506613757	0.9060939061	0.8941058941	0.4012682046	1	0.2717282717	INSUFFICIENT_SUPPORT	false
x001069	outgoing	281	27	4	0.9964090823	0.9965372133	0.992041747	0.001201212217	0.6043935129	0.5996033335	0.4318496069	0.846650663	0.2797202797	0.6883116883	0.3930358544	1	0.8741258741	INSUFFICIENT_SUPPORT	false
x001070	outgoing	242	25	4	0.9963025583	0.9965372133	0.9920178059	0.001298664361	0.606951988	0.5950680383	0.4176658008	0.8441975309	0.6773226773	0.9160839161	0.394409273	1	0.986013986	INSUFFICIENT_SUPPORT	false
x001071	outgoing	162	7	4	0.9957139714	0.9955170482	0.9938219884	0.00113105639	0.5763247738	0.576433715	0.4079811953	0.8652998236	0.6623376623	0.01798201798	0.4342922961	1	0.3836163836	INSUFFICIENT_SUPPORT	false
x001072	outgoing	96	1	1	0	0	1	0	0	0	0	0.1080246914	0.000999000999	0.000999000999	0.4386370144	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x001752	outgoing	103	3	2	0.9961575903	0.9959677788	0.9959677788	0.0003287631315	0.4868752127	0.4777072939	0.3472989581	0.8492798354	0.03296703297	0.4405594406	0.4145162598	1	0.6413586414	INSUFFICIENT_SUPPORT	false
x001753	outgoing	76	2	1	0.9965372133	0.9965372133	0.9965372133	0	0.3938893138	0.3938893138	0.3097524036	0.8287037037	0.000999000999	0.000999000999	0.4111419715	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x001754	outgoing	76	1	1	0	0	1	0	0	0	0	0.1111111111	0.000999000999	0.000999000999	0.4031511011	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x002232	outgoing	77	1	1	0	0	1	0	0	0	0	0.1651234568	0.000999000999	0.000999000999	0.438205307	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x002233	outgoing	69	1	1	0	0	1	0	0	0	0	0.1651234568	0.000999000999	0.000999000999	0.438205307	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x002234	outgoing	48	1	1	0	0	1	0	0	0	0	0.3117283951	0.000999000999	0.000999000999	0.3724738357	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x002235	outgoing	35	1	1	0	0	1	0	0	0	0	0.1358024691	0.000999000999	0.000999000999	0.3804389263	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x003804	outgoing	70	1	1	0	0	1	0	0	0	0	0.3287037037	0.000999000999	0.000999000999	0.3862851858	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x011118	outgoing	88	1	1	0	0	1	0	0	0	0	0.137345679	0.000999000999	0.000999000999	0.3991052028	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x012672	outgoing	106	5	2	0.9971162157	0.9971114637	0.9959677788	0.0008581761122	0.5734588888	0.5633825704	0.4029552854	0.8469135802	0.2667332667	0.4335664336	0.4330818287	1	0.3746253746	INSUFFICIENT_SUPPORT	false
x012673	outgoing	73	2	2	0.9965433477	0.9965433477	0.9965433477	0	0.4353487753	0.4353487753	0.344005234	0.7391975309	0.000999000999	0.000999000999	0.4260351819	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x012674	outgoing	71	1	1	0	0	1	0	0	0	0	0.1651234568	0.000999000999	0.000999000999	0.4145162598	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x013032	outgoing	103	1	1	0	0	1	0	0	0	0	0.1265432099	0.000999000999	0.000999000999	0.3782088841	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x013056	outgoing	193	15	4	0.9959708902	0.9959800098	0.9937012351	0.0009739564175	0.6081676224	0.6059884956	0.4204490161	0.8336419753	0.1868131868	0.6873126873	0.4152890732	1	0.8601398601	INSUFFICIENT_SUPPORT	false
x013057	outgoing	139	6	3	0.9955190638	0.9955170482	0.9942637728	0.0008887142746	0.540968461	0.549690064	0.3699124688	0.8359053498	0.07392607393	0.3056943057	0.3975398218	1	0.984015984	INSUFFICIENT_SUPPORT	false
x013058	outgoing	112	2	2	0.9965372133	0.9965372133	0.9965372133	0	0.4764727114	0.4764727114	0.3932928944	0.8472222222	0.000999000999	0.000999000999	0.4483846642	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x013059	outgoing	95	3	2	0.9980734121	0.9982621758	0.9976905667	0.0003315644499	0.5425613379	0.533598195	0.4026486013	0.8621399177	0.1348651349	0.8371628372	0.4218362934	1	0.5304695305	INSUFFICIENT_SUPPORT	false
x013254	outgoing	38	2	2	0.9971237707	0.9971237707	0.9971237707	0	0.3764695323	0.3764695323	0.2951557212	0.8533950617	0.000999000999	0.000999000999	0.4049102142	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x013375	outgoing	47	2	2	0.9959677788	0.9959677788	0.9959677788	0	0.3889163107	0.3889163107	0.2940295996	0.7145061728	0.000999000999	0.000999000999	0.4298418223	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x013416	outgoing	134	7	4	0.9985687522	0.9988386346	0.9971114637	0.0008086762492	0.5736336794	0.5815384755	0.3951248736	0.8555996473	0.1418581419	0.7912087912	0.4476490505	1	0.01098901099	REPRODUCIBLY_BROAD	false
x013417	outgoing	137	7	4	0.9985106152	0.9988386346	0.9976905667	0.0005314521554	0.5971680347	0.6000970696	0.4150699258	0.8630952381	0.03896103896	0.7332667333	0.4406042262	1	0.005994005994	REPRODUCIBLY_BROAD	false
x013418	outgoing	89	1	1	0	0	1	0	0	0	0	0.1512345679	0.000999000999	0.000999000999	0.3916017974	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x013419	outgoing	57	1	1	0	0	1	0	0	0	0	0.1851851852	0.000999000999	0.000999000999	0.4755137805	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x013872	outgoing	343	38	4	0.9953844931	0.9955170482	0.9894651902	0.001501130078	0.6157207658	0.606986716	0.4298963164	0.8121751137	0.003996003996	0.3526473526	0.3815327074	1	0.8351648352	INSUFFICIENT_SUPPORT	false
x013873	outgoing	310	30	4	0.9953789621	0.9954214141	0.9910832813	0.001373528579	0.611356522	0.6056736458	0.4254341358	0.8124485597	0.007992007992	0.002997002997	0.3943121925	1	0.2487512488	INSUFFICIENT_SUPPORT	true
x013874	outgoing	235	23	4	0.9960268128	0.9960916463	0.9920941912	0.001282994631	0.6143672992	0.6105300239	0.4273352337	0.8155528717	0.02897102897	0.1878121878	0.3946981556	1	0.2237762238	INSUFFICIENT_SUPPORT	false
x013875	outgoing	182	13	4	0.9965988791	0.9966026463	0.9926969203	0.00129749293	0.6141811968	0.6066707522	0.4255526609	0.8088793922	0.001998001998	0.6043956044	0.3919963378	1	0.4425574426	INSUFFICIENT_SUPPORT	false
x013876	outgoing	111	3	2	0.9980769563	0.9982745595	0.9971114637	0.0008834243488	0.5187006824	0.5055317863	0.3716307949	0.8492798354	0.1598401598	0.5284715285	0.4309062233	1	0.02297702298	REPRODUCIBLY_BROAD	false
x014154	outgoing	189	12	4	0.9960768082	0.9959677788	0.9948432128	0.0007635583164	0.5835197532	0.5732644041	0.3989461375	0.885159465	0.987012987	0.9480519481	0.3916896119	1	0.7522477522	INSUFFICIENT_SUPPORT	false
x014155	outgoing	162	9	4	0.9949673494	0.9949472634	0.9925902573	0.0008369739699	0.583342695	0.5740620961	0.3766267569	0.8264746228	0.6223776224	0.6073926074	0.3932121745	1	0.98001998	INSUFFICIENT_SUPPORT	false
x014156	outgoing	124	5	4	0.9963279642	0.9961035451	0.9953970274	0.0007438446429	0.5018294933	0.5140864562	0.3431662807	0.8808641975	0.977022977	0.974025974	0.4191173287	1	0.7572427572	INSUFFICIENT_SUPPORT	false
x014157	outgoing	94	1	1	0	0	1	0	0	0	0	0.1342592593	0.000999000999	0.000999000999	0.3765685161	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x014158	outgoing	72	1	1	0	0	1	0	0	0	0	0.1280864198	0.000999000999	0.000999000999	0.4161251414	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x014952	outgoing	149	7	4	0.9966505292	0.9965433477	0.9953970274	0.0006186808602	0.5655714892	0.5586770797	0.4075493365	0.8505291005	0.9150849151	0.2577422577	0.3909679123	1	0.8231768232	INSUFFICIENT_SUPPORT	false
x014953	outgoing	94	3	2	0.9962473761	0.9966710943	0.9949472634	0.001148454996	0.4191178051	0.4212287093	0.2877584202	0.7052469136	0.9420579421	0.7502497502	0.3771845094	1	0.1428571429	INSUFFICIENT_SUPPORT	false
x014954	outgoing	86	1	1	0	0	1	0	0	0	0	0.1296296296	0.000999000999	0.000999000999	0.3779238879	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x015012	outgoing	198	13	4	0.9950975204	0.995403124	0.9915721182	0.001241800033	0.5908022162	0.5929242846	0.4033321771	0.784662868	0.3226773227	0.7392607393	0.3811957314	1	0.995004995	INSUFFICIENT_SUPPORT	false
x015013	outgoing	172	12	4	0.9953241128	0.995403124	0.9931373863	0.001056494036	0.6036270285	0.6051512438	0.4111955024	0.8283179012	0.1078921079	0.8791208791	0.4021581215	1	0.7722277722	INSUFFICIENT_SUPPORT	false
x015014	outgoing	133	4	3	0.9947405046	0.9948968392	0.9932537946	0.001110606686	0.5367961834	0.5368754382	0.3639829297	0.8167438272	0.7262737263	0.952047952	0.377094051	1	0.999000999	INSUFFICIENT_SUPPORT	false
x015015	outgoing	109	4	3	0.994519508	0.9948982108	0.993253242	0.001056326966	0.4761908315	0.4779886377	0.3133333987	0.8410493827	0.7592407592	0.04795204795	0.389574414	1	1	INSUFFICIENT_SUPPORT	false
x017215	outgoing	55	1	1	0	0	1	0	0	0	0	0.3317901235	0.000999000999	0.000999000999	0.3592363831	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x018180	outgoing	92	3	2	0.9992261983	0.9994199802	0.9988386346	0.000335640027	0.5277649644	0.5277927789	0.3871098693	0.8477366255	0.03096903097	0.7612387612	0.4755137805	1	0.01198801199	REPRODUCIBLY_BROAD	false
x018181	outgoing	92	3	1	0.9988423339	0.9988448457	0.9982621758	0.0005789062738	0.5396632079	0.5373468904	0.3979171035	0.8271604938	0.04995004995	0.08091908092	0.4269501598	1	0.2267732268	INSUFFICIENT_SUPPORT	false
x018600	outgoing	51	1	1	0	0	1	0	0	0	0	0.3688271605	0.000999000999	0.000999000999	0.3600102133	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x018602	outgoing	54	1	1	0	0	1	0	0	0	0	0.1342592593	0.000999000999	0.000999000999	0.4210631279	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x019044	outgoing	316	36	4	0.9957367588	0.9959677788	0.9920178059	0.001435979352	0.6076226561	0.6033771078	0.4450968092	0.8416495199	0.985014985	1	0.395000675	1	0.9470529471	INSUFFICIENT_SUPPORT	false
x019045	outgoing	257	26	4	0.9961654696	0.9961094865	0.9925782501	0.001181037729	0.5987545098	0.5883985956	0.4084776024	0.8252018044	0.9230769231	0.8591408591	0.3971215477	1	0.7892107892	INSUFFICIENT_SUPPORT	false
x019046	outgoing	223	18	4	0.9963837725	0.9965433477	0.9927133315	0.001228746868	0.6030613084	0.5993041144	0.4245452882	0.8381344307	0.969030969	0.7882117882	0.4052410063	1	0.6023976024	INSUFFICIENT_SUPPORT	false
x019047	outgoing	159	8	4	0.9965750839	0.9966164228	0.9943822554	0.001113680101	0.5767201991	0.5662942807	0.400171384	0.8533950617	0.999000999	0.5494505495	0.4271920618	1	0.9420579421	INSUFFICIENT_SUPPORT	false
