segment_count	segment	checkpoint_n	vocabulary_size	heaps_beta	beta_effective	new_type_rate
4	0	100	93	0.81487079594024736	0	0.39430819912152271
4	0	200	172	0.81487079594024736	0.88710594359406669	0.39430819912152271
4	0	500	379	0.81487079594024736	0.86221730809504593	0.39430819912152271
4	0	1000	679	0.81487079594024736	0.84121372607364031	0.39430819912152271
4	0	2000	1153	0.81487079594024736	0.76390903340703964	0.39430819912152271
4	0	4000	2009	0.81487079594024736	0.80108505108151939	0.39430819912152271
4	0	8000	3440	0.81487079594024736	0.77593100085616762	0.39430819912152271
4	0	10928	4309	0.81487079594024736	0.7221671943333402	0.39430819912152271
4	1	100	91	0.80259891553860385	0	0.37234626647144947
4	1	200	175	0.80259891553860385	0.94341647163363462	0.37234626647144947
4	1	500	373	0.80259891553860385	0.82593048188142171	0.37234626647144947
4	1	1000	648	0.80259891553860385	0.79681818262938586	0.37234626647144947
4	1	2000	1141	0.80259891553860385	0.81623307340405737	0.37234626647144947
4	1	4000	1901	0.80259891553860385	0.7364597403598695	0.37234626647144947
4	1	8000	3243	0.80259891553860385	0.77057049180725501	0.37234626647144947
4	1	10928	4069	0.80259891553860385	0.72750263864603959	0.37234626647144947
4	2	100	93	0.79916144050322968	0	0.36777086383601759
4	2	200	179	0.79916144050322968	0.94465696615622552	0.36777086383601759
4	2	500	374	0.79916144050322968	0.80418797870693759	0.36777086383601759
4	2	1000	670	0.79916144050322968	0.84112282545749739	0.36777086383601759
4	2	2000	1230	0.79916144050322968	0.87642531488146724	0.36777086383601759
4	2	4000	1991	0.79916144050322968	0.69483490549390003	0.36777086383601759
4	2	8000	3204	0.79916144050322968	0.68638092668820894	0.36777086383601759
4	2	10928	4019	0.79916144050322968	0.72665183166582425	0.36777086383601759
4	3	100	90	0.79505734561913877	0	0.34623478817824138
4	3	200	166	0.79505734561913877	0.88318633501725174	0.34623478817824138
4	3	500	369	0.79505734561913877	0.87178537105807286	0.34623478817824138
4	3	1000	648	0.79505734561913877	0.81237299682422837	0.34623478817824138
4	3	2000	1109	0.79505734561913877	0.77519364727708595	0.34623478817824138
4	3	4000	1890	0.79505734561913877	0.76912686894672511	0.34623478817824138
4	3	8000	3048	0.79505734561913877	0.68947666838488575	0.34623478817824138
4	3	10929	3784	0.79505734561913877	0.69330475106988887	0.34623478817824138
8	0	100	93	0.8248439051748031	0	0.46540995607613472
8	0	200	172	0.8248439051748031	0.88710594359406669	0.46540995607613472
8	0	500	379	0.8248439051748031	0.86221730809504593	0.46540995607613472
8	0	1000	679	0.8248439051748031	0.84121372607364031	0.46540995607613472
8	0	2000	1153	0.8248439051748031	0.76390903340703964	0.46540995607613472
8	0	4000	2009	0.8248439051748031	0.80108505108151939	0.46540995607613472
8	0	5464	2543	0.8248439051748031	0.75574673236894141	0.46540995607613472
8	1	100	94	0.82301072353255122	0	0.46687408491947291
8	1	200	174	0.82301072353255122	0.88835464417109211	0.46687408491947291
8	1	500	393	0.82301072353255122	0.88918755184640652	0.46687408491947291
8	1	1000	695	0.82301072353255122	0.82248366535226314	0.46687408491947291
8	1	2000	1197	0.82301072353255122	0.78433826933263184	0.46687408491947291
8	1	4000	2006	0.82301072353255122	0.74489845366867968	0.46687408491947291
