rank	opening_candidate	closing_candidate	score	reliability	ranking_scope	line_probability	page_probability	directionality	ranking_z_score	permutation_p	mean_distance	adjacent_share	page_balance_stddev	AABB	ABAB
1	x042803	x037859	0.339703	0.764706	page	0.015385	0.276923	0.270074	2.799748	0.00990099	25.555556	0.000000	0.788287	1	0
2	x018500	x018499	0.338711	0.880952	page	0.029240	0.169591	0.068239	2.731155	0.00990099	20.862069	0.000000	0.608601	1	0
3	x017409	x038542	0.328649	0.791667	page	0.092105	0.210526	0.162139	2.931517	0.00990099	18.312500	0.000000	0.499702	1	0
4	x038536	x038537	0.326346	0.864865	page	0.036765	0.183824	0.105699	2.418319	0.019802	21.800000	0.000000	0.582093	2	0
5	x001428	x038541	0.324461	0.876543	page	0.012048	0.192771	0.087137	2.935312	0.019802	22.250000	0.031250	0.636589	3	0
6	x018497	x037861	0.319948	0.880240	page	0.054422	0.238095	0.166667	3.417150	0.00990099	22.857143	0.000000	0.828125	3	2
7	x041118	x018875	0.315454	0.791667	page	0.039474	0.236842	0.198381	4.042913	0.00990099	25.166667	0.055556	0.422515	0	1
8	x000107	x020018	0.312837	0.801980	page	0.020270	0.121622	0.059893	3.051144	0.00990099	19.555556	0.000000	0.546887	1	0
9	x024243	x042104	0.312210	0.722222	page	0.018519	0.166667	0.147436	3.496111	0.00990099	20.666667	0.000000	0.348708	1	0
10	x020020	x037851	0.310166	0.789474	page	0.043011	0.182796	0.169462	4.084219	0.00990099	25.058824	0.000000	0.439894	0	0
11	x018496	x025394	0.305721	0.871795	page	0.026667	0.146667	0.073137	3.384433	0.00990099	23.318182	0.000000	0.657080	1	0
12	x001427	x037861	0.301679	0.883041	page	0.052980	0.304636	0.183207	2.966969	0.00990099	21.413043	0.021739	0.764233	1	2
13	x018872	x025394	0.300953	0.793814	page	0.064935	0.181818	0.152406	2.295559	0.00990099	18.857143	0.000000	0.524308	1	0
14	x002106	x038540	0.300647	0.687500	page	0.045455	0.227273	0.201632	3.140254	0.00990099	21.200000	0.100000	0.533208	1	0
15	x001427	x037858	0.295617	0.883041	page	0.059603	0.298013	0.185110	2.992054	0.00990099	22.488889	0.022222	0.861941	0	2
16	x041260	x037856	0.294538	0.696970	page	0.086957	0.347826	0.329099	2.416862	0.019802	21.687500	0.000000	0.710134	2	0
17	x020023	x041113	0.289832	0.775281	page	0.057971	0.101449	0.101449	2.673358	0.029703	16.857143	0.285714	0.433104	1	0
18	x038543	x037856	0.289725	0.862069	page	0.040000	0.216000	0.141094	1.723176	0.0594059	25.518519	0.111111	0.804189	1	0
19	x042801	x001427	0.289356	0.770115	page	0.044776	0.179104	0.159237	2.347428	0.019802	22.916667	0.083333	0.580930	1	0
20	x016897	x025397	0.289175	0.733333	page	0.018182	0.200000	0.165035	2.627853	0.00990099	28.000000	0.000000	0.545453	1	0
21	x018497	x025392	0.288954	0.874214	page	0.027211	0.149660	0.084912	2.427731	0.019802	18.818182	0.000000	0.653300	2	0
22	x041118	x037860	0.286945	0.791667	page	0.052632	0.328947	0.274893	1.356505	0.138614	24.560000	0.040000	0.792418	2	0
23	x037857	x001424	0.286002	0.878788	page	0.036066	0.160656	0.036518	3.629511	0.00990099	19.795918	0.000000	0.800131	2	3
24	x001429	x037856	0.285702	0.874214	page	0.043165	0.273381	0.183494	2.787161	0.00990099	23.105263	0.052632	0.751716	1	1
