token	block	direction	conditional_entropy	effective_successor_predecessor_count	baseline_entropy	entropy_effect	eligible
x001430	G0/generic#0	outgoing	6.496340967	662.7123048	6.17007403	0.3262669365	true
x018496	G0/generic#0	outgoing	6.492520234	660.1850892	6.17007403	0.3224462039	true
x018502	G0/generic#0	outgoing	6.494420398	661.4407421	6.17007403	0.3243463685	true
x037856	G0/generic#0	outgoing	6.498282149	664	6.17007403	0.3282081194	true
x037861	G0/generic#0	outgoing	6.498282149	664	6.17007403	0.3282081194	true
x037862	G0/generic#0	outgoing	6.498282149	664	6.17007403	0.3282081194	true
x037863	G0/generic#0	outgoing	6.498282149	664	6.17007403	0.3282081194	true
x037861	G0/generic#0	incoming	6.488780283	657.7206404	6.17007403	0.3187062525	true
x037862	G0/generic#0	incoming	6.485119474	655.3172527	6.17007403	0.3150454437	true
x000107	G1/generic#0	outgoing	6.496340967	662.7123048	6.165878434	0.3304625323	true
x018501	G1/generic#0	outgoing	6.496340967	662.7123048	6.165878434	0.3304625323	true
x018877	G1/generic#0	outgoing	6.490347822	658.7524521	6.165878434	0.324469388	true
x020019	G1/generic#0	outgoing	6.492520234	660.1850892	6.165878434	0.3266417996	true
x025397	G1/generic#0	outgoing	6.494420398	661.4407421	6.165878434	0.3285419643	true
x025398	G1/generic#0	outgoing	6.496340967	662.7123048	6.165878434	0.3304625323	true
x037860	G1/generic#0	outgoing	6.496340967	662.7123048	6.165878434	0.3304625323	true
x037861	G1/generic#0	outgoing	6.498282149	664	6.165878434	0.3324037152	true
x037863	G1/generic#0	outgoing	6.496340967	662.7123048	6.165878434	0.3304625323	true
x000107	G1/generic#0	incoming	6.488780283	657.7206404	6.165878434	0.3229018483	true
x037860	G1/generic#0	incoming	6.484786956	655.0993845	6.165878434	0.3189085219	true
x037861	G1/generic#0	incoming	6.488780283	657.7206404	6.165878434	0.3229018483	true
x000104	G2/generic#0	outgoing	6.498282149	664	6.12417132	0.3741108293	true
x000110	G2/generic#0	outgoing	6.498282149	664	6.12417132	0.3741108293	true
x018500	G2/generic#0	outgoing	6.496340967	662.7123048	6.12417132	0.3721696464	true
x019943	G2/generic#0	outgoing	6.488780283	657.7206404	6.12417132	0.3646089624	true
x025392	G2/generic#0	outgoing	6.496340967	662.7123048	6.12417132	0.3721696464	true
x025396	G2/generic#0	outgoing	6.496340967	662.7123048	6.12417132	0.3721696464	true
x037858	G2/generic#0	outgoing	6.498282149	664	6.12417132	0.3741108293	true
x037861	G2/generic#0	outgoing	6.498282149	664	6.12417132	0.3741108293	true
x037862	G2/generic#0	outgoing	6.494420398	661.4407421	6.12417132	0.3702490784	true
x037863	G2/generic#0	outgoing	6.498282149	664	6.12417132	0.3741108293	true
x038540	G2/generic#0	outgoing	6.488780283	657.7206404	6.12417132	0.3646089624	true
x018500	G2/generic#0	incoming	6.488780283	657.7206404	6.12417132	0.3646089624	true
x037858	G2/generic#0	incoming	6.488780283	657.7206404	6.12417132	0.3646089624	true
x018498	G3/generic#0	outgoing	6.496340967	662.7123048	6.2008603	0.295480667	true
x037856	G3/generic#0	outgoing	6.498282149	664	6.2008603	0.29742185	true
x038536	G3/generic#0	outgoing	6.490640264	658.945127	6.2008603	0.2897799644	true
x042800	G3/generic#0	outgoing	6.492520234	660.1850892	6.2008603	0.2916599344	true
x000108	G0/generic#1	outgoing	6.496340967	662.7123048	6.185540272	0.3108006947	true
x025397	G0/generic#1	outgoing	6.496340967	662.7123048	6.185540272	0.3108006947	true
x037859	G0/generic#1	outgoing	6.498282149	664	6.185540272	0.3127418776	true
x037863	G0/generic#1	outgoing	6.498282149	664	6.185540272	0.3127418776	true
x038540	G0/generic#1	outgoing	6.498282149	664	6.185540272	0.3127418776	true
x025396	G1/generic#1	outgoing	6.494420398	661.4407421	6.164689524	0.3297308741	true
x025397	G1/generic#1	outgoing	6.494420398	661.4407421	6.164689524	0.3297308741	true
x025398	G1/generic#1	outgoing	6.494420398	661.4407421	6.164689524	0.3297308741	true
x037857	G1/generic#1	outgoing	6.498282149	664	6.164689524	0.3335926251	true
x037860	G1/generic#1	outgoing	6.498282149	664	6.164689524	0.3335926251	true
x037862	G1/generic#1	outgoing	6.498282149	664	6.164689524	0.3335926251	true
x041118	G1/generic#1	outgoing	6.496340967	662.7123048	6.164689524	0.3316514422	true
x037857	G1/generic#1	incoming	6.488780283	657.7206404	6.164689524	0.3240907582	true
x037860	G1/generic#1	incoming	6.488780283	657.7206404	6.164689524	0.3240907582	true
x018500	G2/generic#1	outgoing	6.490640264	658.945127	6.198973896	0.2916663679	true
x037860	G2/generic#1	outgoing	6.496340967	662.7123048	6.198973896	0.2973670705	true
x038539	G2/generic#1	outgoing	6.490640264	658.945127	6.198973896	0.2916663679	true
x042807	G2/generic#1	outgoing	6.492520234	660.1850892	6.198973896	0.2935463378	true
x037860	G2/generic#1	incoming	6.486940086	656.5114182	6.198973896	0.28796619	true
x000110	G3/generic#1	outgoing	6.498282149	664	6.189296831	0.3089853182	true
x025395	G3/generic#1	outgoing	6.492520234	660.1850892	6.189296831	0.3032234026	true
x025399	G3/generic#1	outgoing	6.490640264	658.945127	6.189296831	0.3013434326	true
x037856	G3/generic#1	outgoing	6.498282149	664	6.189296831	0.3089853182	true
x037857	G3/generic#1	outgoing	6.498282149	664	6.189296831	0.3089853182	true
x037859	G3/generic#1	outgoing	6.496340967	662.7123048	6.189296831	0.3070441352	true
x038537	G3/generic#1	outgoing	6.496340967	662.7123048	6.189296831	0.3070441352	true
x037856	G3/generic#1	incoming	6.488780283	657.7206404	6.189296831	0.2994834512	true
x000109	G0/generic#2	outgoing	6.496340967	662.7123048	6.165935148	0.3304058184	true
x001425	G0/generic#2	outgoing	6.496340967	662.7123048	6.165935148	0.3304058184	true
x037861	G0/generic#2	outgoing	6.496340967	662.7123048	6.165935148	0.3304058184	true
x037862	G0/generic#2	outgoing	6.498282149	664	6.165935148	0.3323470013	true
x037863	G0/generic#2	outgoing	6.498282149	664	6.165935148	0.3323470013	true
x037861	G0/generic#2	incoming	6.488780283	657.7206404	6.165935148	0.3228451344	true
x037862	G0/generic#2	incoming	6.479402022	651.5811986	6.165935148	0.3134668739	true
x000111	G1/generic#2	outgoing	6.498282149	664	6.165209167	0.3330729824	true
x001425	G1/generic#2	outgoing	6.490640264	658.945127	6.165209167	0.3254310968	true
x001427	G1/generic#2	outgoing	6.494420398	661.4407421	6.165209167	0.3292112314	true
x025397	G1/generic#2	outgoing	6.492520234	660.1850892	6.165209167	0.3273110668	true
x037856	G1/generic#2	outgoing	6.498282149	664	6.165209167	0.3330729824	true
x037857	G1/generic#2	outgoing	6.494420398	661.4407421	6.165209167	0.3292112314	true
x037860	G1/generic#2	outgoing	6.498282149	664	6.165209167	0.3330729824	true
