window_start	window_end	tokens	new_types	new_type_rate
0	500	500	395	0.79000000000000004
500	1000	500	312	0.624
1000	1500	500	270	0.54000000000000004
1500	2000	500	245	0.48999999999999999
2000	2500	500	223	0.44600000000000001
2500	3000	500	242	0.48399999999999999
3000	3500	500	237	0.47399999999999998
3500	4000	500	211	0.42199999999999999
4000	4500	500	203	0.40600000000000003
4500	5000	500	206	0.41199999999999998
5000	5500	500	187	0.374
5500	6000	500	215	0.42999999999999999
6000	6500	500	219	0.438
6500	7000	500	216	0.432
7000	7500	500	160	0.32000000000000001
7500	8000	500	161	0.32200000000000001
8000	8500	500	152	0.30399999999999999
8500	9000	500	168	0.33600000000000002
9000	9500	500	162	0.32400000000000001
9500	10000	500	153	0.30599999999999999
10000	10500	500	161	0.32200000000000001
10500	11000	500	165	0.33000000000000002
11000	11500	500	130	0.26000000000000001
11500	12000	500	134	0.26800000000000002
12000	12500	500	163	0.32600000000000001
12500	13000	500	138	0.27600000000000002
13000	13500	500	131	0.26200000000000001
13500	14000	500	125	0.25
14000	14500	500	136	0.27200000000000002
14500	15000	500	152	0.30399999999999999
15000	15500	500	102	0.20399999999999999
15500	16000	500	135	0.27000000000000002
16000	16500	500	130	0.26000000000000001
16500	17000	500	148	0.29599999999999999
17000	17500	500	146	0.29199999999999998
17500	18000	500	121	0.24199999999999999
18000	18500	500	157	0.314
18500	19000	500	133	0.26600000000000001
19000	19500	500	120	0.23999999999999999
19500	20000	500	126	0.252
20000	20500	500	146	0.29199999999999998
20500	21000	500	138	0.27600000000000002
21000	21500	500	113	0.22600000000000001
21500	22000	500	102	0.20399999999999999
22000	22500	500	123	0.246
22500	23000	500	122	0.24399999999999999
23000	23500	500	136	0.27200000000000002
23500	24000	500	157	0.314
24000	24500	500	93	0.186
24500	25000	500	92	0.184
25000	25500	500	97	0.19400000000000001
25500	26000	500	128	0.25600000000000001
26000	26500	500	89	0.17799999999999999
26500	27000	500	85	0.17000000000000001
27000	27500	500	90	0.17999999999999999
27500	28000	500	113	0.22600000000000001
28000	28500	500	95	0.19
28500	29000	500	90	0.17999999999999999
29000	29500	500	102	0.20399999999999999
29500	30000	500	112	0.224
30000	30500	500	113	0.22600000000000001
30500	31000	500	117	0.23400000000000001
31000	31500	500	91	0.182
31500	32000	500	88	0.17599999999999999
32000	32500	500	104	0.20799999999999999
32500	33000	500	86	0.17199999999999999
33000	33500	500	100	0.20000000000000001
33500	34000	500	88	0.17599999999999999
34000	34500	500	99	0.19800000000000001
34500	35000	500	106	0.21199999999999999
35000	35500	500	106	0.21199999999999999
35500	36000	500	111	0.222
36000	36500	500	81	0.16200000000000001
36500	37000	500	79	0.158
37000	37500	500	81	0.16200000000000001
37500	38000	500	98	0.19600000000000001
38000	38500	500	87	0.17399999999999999
38500	39000	500	88	0.17599999999999999
39000	39500	500	84	0.16800000000000001
39500	40000	500	93	0.186
40000	40500	500	78	0.156
40500	41000	500	75	0.14999999999999999
41000	41500	500	78	0.156
41500	42000	500	69	0.13800000000000001
42000	42500	500	82	0.16400000000000001
42500	43000	500	65	0.13
43000	43500	500	62	0.124
43500	43713	213	54	0.25352112676056338
0	1000	1000	707	0.70699999999999996
1000	2000	1000	515	0.51500000000000001
2000	3000	1000	465	0.46500000000000002
3000	4000	1000	448	0.44800000000000001
4000	5000	1000	409	0.40899999999999997
5000	6000	1000	402	0.40200000000000002
6000	7000	1000	435	0.435
7000	8000	1000	321	0.32100000000000001
8000	9000	1000	320	0.32000000000000001
9000	10000	1000	315	0.315
10000	11000	1000	326	0.32600000000000001
11000	12000	1000	264	0.26400000000000001
12000	13000	1000	301	0.30099999999999999
13000	14000	1000	256	0.25600000000000001
14000	15000	1000	288	0.28799999999999998
15000	16000	1000	237	0.23699999999999999
16000	17000	1000	278	0.27800000000000002
17000	18000	1000	267	0.26700000000000002
18000	19000	1000	290	0.28999999999999998
19000	20000	1000	246	0.246
20000	21000	1000	284	0.28399999999999997
21000	22000	1000	215	0.215
22000	23000	1000	245	0.245
23000	24000	1000	293	0.29299999999999998
24000	25000	1000	185	0.185
25000	26000	1000	225	0.22500000000000001
26000	27000	1000	174	0.17399999999999999
27000	28000	1000	203	0.20300000000000001
28000	29000	1000	185	0.185
29000	30000	1000	214	0.214
30000	31000	1000	230	0.23000000000000001
31000	32000	1000	179	0.17899999999999999
32000	33000	1000	190	0.19
33000	34000	1000	188	0.188
34000	35000	1000	205	0.20499999999999999
35000	36000	1000	217	0.217
36000	37000	1000	160	0.16
37000	38000	1000	179	0.17899999999999999
38000	39000	1000	175	0.17499999999999999
39000	40000	1000	177	0.17699999999999999
40000	41000	1000	153	0.153
41000	42000	1000	147	0.14699999999999999
42000	43000	1000	147	0.14699999999999999
43000	43713	713	116	0.16269284712482468
0	2000	2000	1222	0.61099999999999999
2000	4000	2000	913	0.45650000000000002
4000	6000	2000	811	0.40550000000000003
6000	8000	2000	756	0.378
8000	10000	2000	635	0.3175
10000	12000	2000	590	0.29499999999999998
12000	14000	2000	557	0.27850000000000003
14000	16000	2000	525	0.26250000000000001
16000	18000	2000	545	0.27250000000000002
