checkpoint_n	observed	null_mean	null_sd	effect	empirical_p
100	97	93.719999999999999	2.7461973709112755	1.1943788289738231	0.20792079207920791
200	178	177.59	4.6175642930012364	0.088791400397267156	0.49504950495049505
500	395	400.72000000000003	8.5674733731713477	-0.66764140964965779	0.7722772277227723
1000	707	716.05999999999995	13.245240654665357	-0.68401928180963256	0.72277227722772275
2000	1222	1246.77	18.69163181747383	-1.3251919490969111	0.92079207920792083
4000	2135	2131.9200000000001	26.814801882542401	0.11486193384875018	0.45544554455445546
8000	3702	3579.4899999999998	33.729362579212804	3.6321469079733624	0.0099009900990099011
16000	6009	5909.6400000000003	35.008718914007694	2.8381501260888395	0.0099009900990099011
32000	9722	9550.2199999999993	35.219761498340688	4.8773754475337299	0.0099009900990099011
43713	11776	11776	0	0	1
