ConditionedOn	Lag	Pairs	MeanDistance	Median	CILo	CIHi	NullMean
CURRIER:A	1	2357	0.265674490	0.232216791	0.259678815	0.270403467	0.658087584
CURRIER:A	2	2356	0.388779252	0.339116499	0.379812853	0.397789194	0.662464211
CURRIER:A	3	2355	0.477238124	0.409267639	0.466189890	0.487807896	0.663145301
CURRIER:A	4	2354	0.543419286	0.473258400	0.529118853	0.555788031	0.666197759
CURRIER:A	5	2353	0.552084905	0.476969601	0.539311696	0.564465091	0.656332519
CURRIER:A	6	2352	0.553709024	0.476969601	0.542732816	0.566288143	0.658947917
CURRIER:A	7	2351	0.552998519	0.476969601	0.539342003	0.566219522	0.647496916
CURRIER:A	8	2350	0.553809248	0.476969601	0.542062862	0.567432995	0.659344168
CURRIER:A	9	2349	0.557262836	0.484767986	0.545814502	0.570854828	0.663904871
CURRIER:A	10	2348	0.559790512	0.476969601	0.546153690	0.571562598	0.668046705
CURRIER:A	11	2347	0.563693678	0.482182538	0.551534690	0.577050329	0.664124205
CURRIER:A	12	2346	0.567722596	0.484767986	0.554444933	0.581079058	0.661545559
CURRIER:A	13	2345	0.570086413	0.492442890	0.557418044	0.582821470	0.665775803
CURRIER:A	14	2344	0.569373187	0.499070399	0.556617526	0.584895351	0.670553526
CURRIER:A	15	2343	0.568800922	0.494974747	0.557326651	0.583676449	0.662527688
CURRIER:B	1	4837	0.271491159	0.235590856	0.268016989	0.275402079	0.655137971
CURRIER:B	2	4836	0.391452057	0.339116499	0.385158615	0.397424918	0.658254582
CURRIER:B	3	4835	0.484175343	0.426054442	0.478148355	0.491984699	0.657798498
CURRIER:B	4	4834	0.554952783	0.482182538	0.545918232	0.563344178	0.656657349
CURRIER:B	5	4833	0.566164188	0.484767986	0.556729816	0.575853666	0.653587172
CURRIER:B	6	4832	0.574887857	0.488949141	0.563608374	0.583798194	0.650734662
CURRIER:B	7	4831	0.580488241	0.492442890	0.569584310	0.589641999	0.651903848
CURRIER:B	8	4830	0.585221150	0.497493719	0.576430946	0.594304046	0.652021325
CURRIER:B	9	4829	0.587237290	0.497493719	0.576839461	0.595765762	0.652374525
CURRIER:B	10	4828	0.586790513	0.499070399	0.576180817	0.597740991	0.654468195
CURRIER:B	11	4827	0.589075434	0.508990435	0.579458932	0.599447434	0.650686848
CURRIER:B	12	4826	0.590976716	0.504975247	0.580740590	0.600857294	0.648698200
CURRIER:B	13	4825	0.594603721	0.508798352	0.584187223	0.605371725	0.661791127
CURRIER:B	14	4824	0.596973856	0.509901951	0.588166743	0.607132643	0.647310178
CURRIER:B	15	4823	0.600226362	0.512347538	0.590327460	0.609078028	0.655738052
HAND:1	1	2244	0.266382324	0.232216791	0.260015994	0.271870526	0.693030651
HAND:1	2	2243	0.392645885	0.339116499	0.382712154	0.402658304	0.677062845
HAND:1	3	2242	0.484308808	0.418330013	0.470833432	0.495923962	0.689386864
HAND:1	4	2241	0.551816177	0.474341649	0.538612694	0.566881701	0.691015886
HAND:1	5	2240	0.563177697	0.480801587	0.549472466	0.576260229	0.680786743
HAND:1	6	2239	0.567961278	0.484767986	0.551578056	0.580705131	0.690422671
