Factor	Level	Pages	BetweenMeanDistance	WithinMeanDistance	Status
CURRIER	A	114	1.230898047	0.779085520	OK
CURRIER	B	83	1.241050977	0.925218563	OK
HAND	1	113	1.287991964	0.755079478	OK
HAND	2	47	1.136103839	0.721646803	OK
HAND	3	33	1.697530533	1.515229095	OK
HAND	4	27	1.079511977	0.691324828	OK
HAND	5	7	1.129660522	0.816844020	OK
SECTION	Astronomical	8	1.016784859	0.679876504	OK
SECTION	Biological	19	1.219881774	0.384463769	OK
SECTION	Cosmological	11	1.220329986	1.048438028	OK
SECTION	Herbal	129	1.441273884	0.739149975	OK
SECTION	Pharmaceutical	16	1.105925711	0.513226757	OK
SECTION	Stars	25	1.743367439	0.388270044	OK
SECTION	Text	7	1.778815739	2.231600217	OK
SECTION	Zodiac	12	1.133692211	0.469036108	OK
