Fold	TotalLines	CompositionByCurrier	CompositionByHand	CompositionBySection	DeltaLineEffect	NullMean	ProvenanceStatus
DISCOVERY	1956	UNKNOWN=754;A=1229;B=1035	1=1162;2=890;3=87;4=734;5=145	Astronomical=240;Biological=580;Cosmological=172;Herbal=1445;Stars=80;Text=166;Zodiac=335	0.030069436	0.041049406	REPRODUCED
REPLICATION	1807	UNKNOWN=1;A=592;B=1774	1=592;2=481;3=1134;4=160	Biological=281;Cosmological=229;Herbal=195;Pharmaceutical=458;Stars=1084;Text=120	0.003132198	0.041049406	REPRODUCED
# reference Task64 REGIME_SCALE_COMPARISON.tsv LINE row: Discovery=0.030069436 Replication=0.003132198

# standardized comparison
Stratum	DiscoveryEffect	ReplicationEffect	DeltaOfDeltas	Status
CURRIER=A	0.016130992	0.008317034	0.007813958	OK
CURRIER=B	0.015563559	0.002058098	0.013505462	OK
HAND=1	0.100926175	0.008317034	0.092609141	OK
HAND=2	0.018044872	0.008941793	0.009103079	OK
HAND=3	-0.002900342	-0.001374422	-0.001525920	OK
HAND=4	NA	NA	NA	INSUFFICIENT_DATA
HAND=5	NA	NA	NA	INSUFFICIENT_DATA
SECTION=Astronomical	NA	NA	NA	INSUFFICIENT_DATA
SECTION=Biological	0.022815068	0.020242516	0.002572553	OK
SECTION=Cosmological	0.155357489	0.004162267	0.151195222	OK
SECTION=Herbal	0.014905802	-0.005914990	0.020820792	OK
SECTION=Pharmaceutical	NA	NA	NA	INSUFFICIENT_DATA
SECTION=Stars	-0.002460652	-0.001300114	-0.001160537	OK
SECTION=Text	0.009525307	0.007002280	0.002523027	OK
SECTION=Zodiac	NA	NA	NA	INSUFFICIENT_DATA

# interpretation: TRUE_REGIME_HETEROGENEITY
