mechanism	corpus	family	progress	overfit_class
M0_IDENTITY	Astafiev	CHARACTER_ENTROPY	-4.90282047e-15	INCONCLUSIVE
M0_IDENTITY	Astafiev	LOCAL_REGIME_TOPOLOGY	0.00181766742	INCONCLUSIVE
M0_IDENTITY	Astafiev	LOCAL_TRANSITION	2.33347028e-16	INCONCLUSIVE
M0_IDENTITY	Astafiev	POSITIONAL_STRUCTURE	8.8817842e-17	INCONCLUSIVE
M0_IDENTITY	Astafiev	REPETITION_EDIT_GEOMETRY	2.48600138e-17	INCONCLUSIVE
M0_IDENTITY	Astafiev	TOKEN_FORMATION	-2.40186841e-15	INCONCLUSIVE
M0_IDENTITY	Astafiev	TOKEN_ORDER	0.00245961649	INCONCLUSIVE
M0_IDENTITY	Doyle	CHARACTER_ENTROPY	-9.59754547e-16	INCONCLUSIVE
M0_IDENTITY	Doyle	LOCAL_REGIME_TOPOLOGY	0.00331636957	INCONCLUSIVE
M0_IDENTITY	Doyle	LOCAL_TRANSITION	0	INCONCLUSIVE
M0_IDENTITY	Doyle	POSITIONAL_STRUCTURE	0	INCONCLUSIVE
M0_IDENTITY	Doyle	REPETITION_EDIT_GEOMETRY	0	INCONCLUSIVE
M0_IDENTITY	Doyle	TOKEN_FORMATION	-2.22766463e-16	INCONCLUSIVE
M0_IDENTITY	Doyle	TOKEN_ORDER	-0.00039994336	INCONCLUSIVE
M0_IDENTITY	Longfellow	CHARACTER_ENTROPY	-1.55941477e-15	INCONCLUSIVE
M0_IDENTITY	Longfellow	LOCAL_REGIME_TOPOLOGY	0.000882921362	INCONCLUSIVE
M0_IDENTITY	Longfellow	LOCAL_TRANSITION	-6.64669675e-16	INCONCLUSIVE
M0_IDENTITY	Longfellow	POSITIONAL_STRUCTURE	8.8817842e-17	INCONCLUSIVE
M0_IDENTITY	Longfellow	REPETITION_EDIT_GEOMETRY	1.12241185e-16	INCONCLUSIVE
M0_IDENTITY	Longfellow	TOKEN_FORMATION	-6.93341698e-16	INCONCLUSIVE
M0_IDENTITY	Longfellow	TOKEN_ORDER	-0.000576567888	INCONCLUSIVE
M10_STATEFUL_FORM_K2	Astafiev	CHARACTER_ENTROPY	0.0707651803	CONFIRMED
M10_STATEFUL_FORM_K2	Astafiev	LOCAL_REGIME_TOPOLOGY	0.999571376	CONFIRMED
M10_STATEFUL_FORM_K2	Astafiev	LOCAL_TRANSITION	1.38513464	CONFIRMED
M10_STATEFUL_FORM_K2	Astafiev	POSITIONAL_STRUCTURE	2.01	CONFIRMED
M10_STATEFUL_FORM_K2	Astafiev	REPETITION_EDIT_GEOMETRY	0.290906073	CONFIRMED
M10_STATEFUL_FORM_K2	Astafiev	TOKEN_FORMATION	0.537422968	CONFIRMED
M10_STATEFUL_FORM_K2	Astafiev	TOKEN_ORDER	2.52353653	CONFIRMED
M10_STATEFUL_FORM_K2	Doyle	CHARACTER_ENTROPY	0.473828483	CONFIRMED
M10_STATEFUL_FORM_K2	Doyle	LOCAL_REGIME_TOPOLOGY	0.999247971	CONFIRMED
M10_STATEFUL_FORM_K2	Doyle	LOCAL_TRANSITION	1.42610492	CONFIRMED
M10_STATEFUL_FORM_K2	Doyle	POSITIONAL_STRUCTURE	1.84166667	CONFIRMED
M10_STATEFUL_FORM_K2	Doyle	REPETITION_EDIT_GEOMETRY	0.239390859	CONFIRMED
M10_STATEFUL_FORM_K2	Doyle	TOKEN_FORMATION	0.836862766	CONFIRMED
M10_STATEFUL_FORM_K2	Doyle	TOKEN_ORDER	-0.0840398519	CONFIRMED
M10_STATEFUL_FORM_K2	Longfellow	CHARACTER_ENTROPY	0.54091482	CONFIRMED
M10_STATEFUL_FORM_K2	Longfellow	LOCAL_REGIME_TOPOLOGY	0.999230691	CONFIRMED
M10_STATEFUL_FORM_K2	Longfellow	LOCAL_TRANSITION	1.30705763	CONFIRMED
M10_STATEFUL_FORM_K2	Longfellow	POSITIONAL_STRUCTURE	2.01	CONFIRMED
M10_STATEFUL_FORM_K2	Longfellow	REPETITION_EDIT_GEOMETRY	0.130387723	CONFIRMED
M10_STATEFUL_FORM_K2	Longfellow	TOKEN_FORMATION	0.834606554	CONFIRMED
M10_STATEFUL_FORM_K2	Longfellow	TOKEN_ORDER	-0.24808194	CONFIRMED
M10_STATEFUL_FORM_K4	Astafiev	CHARACTER_ENTROPY	-0.164965411	CONFIRMED
M10_STATEFUL_FORM_K4	Astafiev	LOCAL_REGIME_TOPOLOGY	0.999571376	CONFIRMED
M10_STATEFUL_FORM_K4	Astafiev	LOCAL_TRANSITION	0.908236338	CONFIRMED
M10_STATEFUL_FORM_K4	Astafiev	POSITIONAL_STRUCTURE	1.83	CONFIRMED
M10_STATEFUL_FORM_K4	Astafiev	REPETITION_EDIT_GEOMETRY	0.0595681028	CONFIRMED
M10_STATEFUL_FORM_K4	Astafiev	TOKEN_FORMATION	0.400583538	CONFIRMED
M10_STATEFUL_FORM_K4	Astafiev	TOKEN_ORDER	2.31298127	CONFIRMED
M10_STATEFUL_FORM_K4	Doyle	CHARACTER_ENTROPY	0.466781378	CONFIRMED
M10_STATEFUL_FORM_K4	Doyle	LOCAL_REGIME_TOPOLOGY	0.999247971	CONFIRMED
M10_STATEFUL_FORM_K4	Doyle	LOCAL_TRANSITION	0.941106021	CONFIRMED
M10_STATEFUL_FORM_K4	Doyle	POSITIONAL_STRUCTURE	1.69166667	CONFIRMED
M10_STATEFUL_FORM_K4	Doyle	REPETITION_EDIT_GEOMETRY	0.0625130997	CONFIRMED
M10_STATEFUL_FORM_K4	Doyle	TOKEN_FORMATION	0.797963289	CONFIRMED
M10_STATEFUL_FORM_K4	Doyle	TOKEN_ORDER	0.0161249874	CONFIRMED
M10_STATEFUL_FORM_K4	Longfellow	CHARACTER_ENTROPY	0.452596696	CONFIRMED
M10_STATEFUL_FORM_K4	Longfellow	LOCAL_REGIME_TOPOLOGY	0.999230691	CONFIRMED
M10_STATEFUL_FORM_K4	Longfellow	LOCAL_TRANSITION	0.946020716	CONFIRMED
M10_STATEFUL_FORM_K4	Longfellow	POSITIONAL_STRUCTURE	1.83	CONFIRMED
M10_STATEFUL_FORM_K4	Longfellow	REPETITION_EDIT_GEOMETRY	-0.049017459	CONFIRMED
M10_STATEFUL_FORM_K4	Longfellow	TOKEN_FORMATION	0.790367828	CONFIRMED
M10_STATEFUL_FORM_K4	Longfellow	TOKEN_ORDER	-0.123048365	CONFIRMED
M10_STATEFUL_FORM_K8	Astafiev	CHARACTER_ENTROPY	-0.432578671	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Astafiev	LOCAL_REGIME_TOPOLOGY	0.999571376	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Astafiev	LOCAL_TRANSITION	0.669349939	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Astafiev	POSITIONAL_STRUCTURE	0.855	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Astafiev	REPETITION_EDIT_GEOMETRY	-0.045265323	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Astafiev	TOKEN_FORMATION	0.174215521	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Astafiev	TOKEN_ORDER	1.90860274	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Doyle	CHARACTER_ENTROPY	0.406020467	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Doyle	LOCAL_REGIME_TOPOLOGY	0.999247971	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Doyle	LOCAL_TRANSITION	0.635600667	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Doyle	POSITIONAL_STRUCTURE	0.879166667	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Doyle	REPETITION_EDIT_GEOMETRY	-0.0713126766	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Doyle	TOKEN_FORMATION	0.711278919	INCONCLUSIVE
M10_STATEFUL_FORM_K8	Doyle	TOKEN_ORDER	0.312326693	INCONCLUSIVE
